name,description,url,source,category,stem_fields,target_grade,cost,location_type,time_commitment,prerequisite_level,support_level,deadline,financial_barrier_level,financial_aid_available,family_income_consideration,hidden_costs_level,cost_category,diversity_focus,underrepresented_friendly,first_gen_support,cultural_competency,rural_accessible,transportation_required,internet_dependency,regional_availability,family_involvement_required,peer_network_building,mentor_access_level,source_file
DNA Day Genetics Education Resources,"Free online educational resources for teaching and learning genetics. Lesson plans, videos, activities, and reading materials. Covers fundamental genetics, genomics, genetic testing, and bioethics. Aligned with biology standards. Available to students and teachers year-round. Includes DNA Day essay question archives.",https://www.ashg.org/discover-genetics/k-12-education/,American Society of Human Genetics,Educational Resources,"Genetics, Biology, Genomics",9-12,Free,Online,Self-paced,,Medium,Rolling,,False,False,,Free,True,True,True,High,True,False,High-speed-required,National,Optional,False,Adult,ashg_dna_day_programs
ASHG K-12 Genetics Education Resources Library,"Comprehensive online library of genetics teaching materials. Curated resources covering Mendelian genetics, molecular biology, genomics, and genetic medicine. Includes videos, simulations, readings, and assessments. Free access for educators and students. Updated regularly with new content.",https://www.ashg.org/discover-genetics/k-12-education/,American Society of Human Genetics,Educational Resources,"Genetics, Biology, Genomics",9-12,Free,Online,Self-paced,,Medium,Rolling,,False,False,,Free,True,True,True,High,True,False,High-speed-required,National,Optional,False,Adult,ashg_dna_day_programs
ASHRAE Student Member Program,"Free or discounted ASHRAE membership for undergraduate students. Access to technical publications, webinars, and conferences. Network with HVAC professionals and engineers. Attend chapter meetings and technical sessions. Career resources and job board access. Professional development opportunities. Great for students interested in building systems, energy, and sustainability.",https://www.ashrae.org/about/students,ASHRAE,Professional Membership,"Engineering, HVAC, Building Systems",College,Free,Hybrid,Ongoing,,Medium,Rolling,,True,False,,Free,True,True,True,Medium,True,False,Basic,National,,True,Professional,ashrae_student_programs
ASHRAE Student Design Competition,Annual design competition for ASHRAE student members. Teams design HVAC systems for real buildings. Apply engineering principles to sustainable building design. Cash prizes and recognition at ASHRAE conferences. Work with faculty advisors and industry mentors. Build portfolio for engineering careers. Categories for undergraduate and graduate students.,https://www.ashrae.org/communities/student-zone,ASHRAE,Design Competition,"Engineering, HVAC Design, Sustainable Buildings",College,Free,Online,Semester project,Medium,Medium,Annual-Spring,,True,False,,Free,True,True,True,Medium,True,False,Basic,National,,True,Professional,ashrae_student_programs
ASHRAE Undergraduate Engineering Scholarships,"Multiple scholarship opportunities for engineering students. Awards range from $3,000 to $10,000. Focus on HVAC&R, building automation, and energy systems. Regional and national scholarship programs. Some scholarships for underrepresented groups in engineering. Application requires transcripts, essays, and recommendations. Renewable for multiple years.",https://www.ashrae.org/communities/student-zone/scholarships,ASHRAE,Scholarship,"Engineering, HVAC, Energy Systems",College,Free,Online,Application,Medium,Medium,Annual-Spring,,True,False,,Free,True,True,True,Medium,True,False,Basic,National,,True,Professional,ashrae_student_programs
ASHRAE Mentor Match Program,"Mentorship program connecting students with ASHRAE professionals. One-on-one guidance from experienced engineers. Career advice and industry insights. Support for academic and professional development. Virtual or in-person mentorship options. Help with resume, interviews, and job search. Long-term relationships building throughout college career.",https://www.ashrae.org/communities/student-zone,ASHRAE,Mentorship Program,"Engineering, Career Development",College,Free,Hybrid,Ongoing,,Medium,Rolling,,True,False,,Free,True,True,True,Medium,True,False,Basic,National,,True,Professional,ashrae_student_programs
Botball Educator Workshops,"Professional development for teachers and coaches starting Botball programs. Hands-on training with Botball kit and curriculum. Learn robot construction, programming, and game strategy. Receive curriculum materials and implementation guides. Network with experienced Botball educators. Annual workshops at multiple locations. Some workshops provide discounted or free kits. Support for grant writing and fundraising.",https://www.botball.org/,KIPR Botball,Professional Development,"Robotics Education, STEM Teaching",6-12,200,Regional,2-3 days,,High,Seasonal,Low,True,False,Equipment,$100-500,True,True,True,High,True,True,Basic,National,Optional,True,Adult,botball_programs
Botball Alumni Network,Community of Botball alumni pursuing engineering and technology careers. Mentorship for current teams from college students and professionals. Many alumni at top engineering schools and tech companies. Career guidance and internship connections. Annual alumni events at GCER. Success stories to inspire current students. Network spans 25+ years of Botball history. Lifelong robotics community.,https://www.botball.org/,KIPR Botball,Alumni Network,"Robotics, Career Development",10-12,Free,Online,Ongoing,Medium,High,Rolling,,True,False,Equipment,Free,True,True,True,High,True,False,Basic,National,Optional,True,Professional,botball_programs
Drama Program,"Intensive theater arts program with CMU School of Drama. Explore acting, directing, playwriting, and technical theater. Work on productions and develop performance skills. Learn from professional theater faculty. Includes workshops, rehearsals, and performances.",https://www.cmu.edu/pre-college/,Carnegie Mellon Pre-College,Summer Program,"Theater Arts, Performance, Communication",10-12,8500,Residential,6 weeks,Medium,High,Check CMU website,High,True,Middle+,Travel,$2000+,False,True,False,Medium,False,True,High-speed-required,National,Required,True,Professional,cmu_precollege_programs
Writing & Culture Program,"Creative writing and cultural studies program. Explore fiction, poetry, creative nonfiction, and cultural criticism. Participate in writing workshops, readings, and literary discussions. Learn from CMU writing faculty. Includes trips to Pittsburgh cultural sites.",https://www.cmu.edu/pre-college/,Carnegie Mellon Pre-College,Summer Program,"Writing, Literature, Cultural Studies",10-12,7500,Residential,6 weeks,Medium,High,Check CMU website,High,True,Middle+,Travel,$2000+,True,True,True,Medium,False,True,High-speed-required,National,Required,True,Professional,cmu_precollege_programs
The Coding School School Partnerships,"Schools partner with The Coding School to bring quantum computing and AI education to their students. Curriculum, training, and support provided. Teachers receive professional development. Students access cutting-edge technology education. Scalable to reach entire schools or districts. Focus on equity and access.",https://the-cs.org/partnerships,The Coding School,School Partnership,"Quantum Computing, Artificial Intelligence, Computer Science",9-12,Free,Online,Academic year,,High,Rolling,,False,False,,Free,True,True,True,High,True,False,High-speed-required,National,,True,Professional,coding_school_programs
Congressional App Challenge Educator Support,Resources for teachers and advisors supporting student participants. Classroom integration guides and lesson plans. How to organize school app challenge programs. Mentorship resources and industry connections. Help students find coding mentors and resources. Information sessions for educators. Certificate of participation for advisors. Build coding programs at your school.,https://www.congressionalappchallenge.us/,Congressional App Challenge,Educator Resources,Computer Science Education,9-12,Free,Online,Flexible,,Medium,Rolling,,False,False,,Free,True,True,True,High,True,False,High-speed-required,National,,True,Optional,congress_app_challenge
CyberPatriot Elementary School Cyber Education Initiative,"Cybersecurity awareness program for elementary students grades 4-5. Age-appropriate curriculum teaching digital citizenship, online safety, and basic cybersecurity concepts. Free classroom resources and activities. Introduces students to cyber careers. No competition component - purely educational. Teacher training materials provided.",https://www.uscyberpatriot.org/,CyberPatriot,Educational Program,"Cybersecurity, Digital Literacy",4-5,Free,School-based,Flexible,,High,Rolling,,False,False,Low,Free,False,True,False,Medium,True,False,Basic,National,Optional,True,Adult,cyberpatriot_programs
Destination Imagination Team Manager Training,"Training for adult team managers (parents, teachers, community members) who guide DI teams. Workshops cover DI philosophy, challenge facilitation, and team mentorship without interference. Teaches how to support student-led problem-solving. Essential for starting new teams. Benefits students through better-prepared mentors.",https://www.destinationimagination.org/get-started/,Destination Imagination,STEAM Competition,"STEAM Education, Mentorship",Adult (benefits K-12 students),Low-cost to Free,Online and regional workshops,2-4 hours (training sessions),,High,Ongoing throughout year,,,,,Free,DI inclusion and creativity initiatives,True,True,High,True,False,Basic,National,Adult participation,True,Peer,destination_imagination_programs
eCYBERMISSION Team Advisor Resources,"Comprehensive resources for teachers and team advisors. Lesson plans, project guides, and judging rubrics. Training webinars and advisor community forums. Help with team formation and project development. Competition timeline and submission requirements. Support throughout competition season. Connects advisors with Army STEM mentors. Essential for first-time advisors.",https://www.ecybermission.com/resources,Army Educational Outreach Program,Educator Resources,"STEM Education, Project Management",6-9,Free,Online,Flexible,,High,Rolling,,False,False,,Free,True,True,True,High,True,False,High-speed-required,National,Optional,True,Professional,ecybermission_programs
Envirothon Advisor Training,Professional development for teachers and team advisors. Workshops on environmental science topics and competition format. Field training sessions led by natural resource professionals. Curriculum integration strategies. Networking with other advisors. Access to advisor-only resources. Annual advisor meetings at state competitions. Support for new and experienced advisors.,https://envirothon.org/advisors/,Envirothon,Professional Development,"Environmental Science, Education",9-12,Free,Hybrid,Flexible,,High,Rolling,,False,False,Low,Free,True,True,True,High,True,False,Basic,National,Optional,True,Adult,envirothon_programs
ExploraVision Educational Resources and Teacher Guides,"Free educational materials supporting ExploraVision participation. Includes project planning guides, research tips, sample projects, rubrics, and classroom integration resources. Materials help teachers facilitate student teams and integrate technology forecasting into curriculum. Available online for all educators.",https://www.exploravision.org/,Toshiba/NSTA ExploraVision,Science Competition,"Technology Education, Innovation, Research Skills",K-12,Free,Online resources,Self-paced (teacher preparation),,Medium,Available year-round,,,,,Free,NSTA equity and inclusion initiatives,True,True,High,True,False,Basic,National,,False,,exploravision_programs
ExploraVision Coach Training and Workshops,"Professional development for teachers and coaches guiding ExploraVision teams. Webinars and online resources explain competition format, judging criteria, project components, and coaching strategies. Training helps educators facilitate student-led research and innovation projects. Supports successful team participation.",https://www.exploravision.org/,Toshiba/NSTA ExploraVision,Science Competition,"Technology Education, STEM Teaching",Educator (benefits K-12 students),Free,Online webinars,1-2 hours (workshop sessions),,High,Ongoing throughout registration period,,,,,Free,NSTA equity and inclusion initiatives,True,True,High,True,False,High-speed-required,National,,True,Peer,exploravision_programs
Future City - Educator Curriculum and Resources,"Comprehensive curriculum materials and resources for teachers facilitating Future City teams. Includes lesson plans, engineering design activities, project management guides, rubrics, and timeline templates. Free downloadable resources align with NGSS standards and support student learning in engineering, sustainability, and urban planning. Professional development webinars help educators guide teams effectively.",https://futurecity.org/resources,DiscoverE Future City,Engineering Competition,"Engineering Education, Urban Planning, Sustainability",6-8,Free,Online resources,Self-paced (educator preparation),,High,Available year-round,,,,,Free,DiscoverE diversity and inclusion initiatives,True,True,High,True,False,Basic,National,,False,,future_city_competition
Google Code-in (Educational Archive),"Archive of Google's student competition for pre-university students (ages 13-17) focused on open source software development. While no longer active, the educational materials and project ideas remain valuable for learning open source contribution, coding, documentation, and design.",https://codein.withgoogle.com/archive/,Google Coding Competitions,Coding Competition,"Computer Science, Software Development, Open Source",9-12,Free,Online,Self-paced (archived materials),Medium,Low,Self-paced (archived program),,,,,Free,Youth engagement in tech,True,Limited,High,True,False,High-speed-required,International,Parental consent required (under 18),True,Medium,google_code_jam
Google Educator Training: CS,"Professional development for teachers to integrate computer science into their classrooms. Free online courses covering CS pedagogy, curriculum implementation, and classroom management. Earn badges and certification. Access to educator community and resources. Self-paced learning for K-12 teachers.",https://edu.google.com/teacher-center/,Google CS Education,Teacher Training,Computer Science,K-12,Free,Online,Self-paced,,High,Rolling,,False,False,,Free,True,True,True,High,True,False,High-speed-required,International,Optional,True,,google_cs_edu_programs
Google Tech Exchange,"Computer science enrichment program for university students from historically underrepresented groups. While primarily for college students, offers mentorship and career pathway information valuable for high school planning. Connect with Google engineers and learn about tech careers.",https://buildyourfuture.withgoogle.com/programs/tech-exchange,Google CS Education,Computer Science Program,Computer Science,11-12,Free,Hybrid,Varies,Medium,High,Rolling,,False,False,,Free,True,True,True,High,True,False,High-speed-required,International,Optional,True,Professional,google_cs_edu_programs
Google Computer Science Education Resources,"Comprehensive library of free CS teaching materials, lesson plans, and activities for K-12 educators. Curriculum maps aligned to standards. Video tutorials, assessment tools, and differentiation strategies. Supports various CS frameworks including AP CS Principles and AP CS A.",https://edu.google.com/computer-science/,Google CS Education,Computer Science Program,Computer Science,K-12,Free,Hybrid,Flexible,,High,Rolling,,False,False,,Free,True,True,True,High,True,False,High-speed-required,International,Optional,True,Adult,google_cs_edu_programs
Google Summer of Code - Standard Track,"Premier open source program connecting student developers with open source organizations. Contributors work on 12-week coding projects with mentorship from experienced developers. Students write code, fix bugs, create documentation, and contribute to real-world open source software. Receive stipend upon successful completion. Gain professional software development experience.",https://summerofcode.withgoogle.com/,Google Summer of Code,Open Source Program,"Computer Science, Software Development, Open Source",12 (must be 18+ or college student),Free,Online/Remote,"12 weeks (summer, ~175 hours)",High,High,March-April (application period),,Stipend provided ($1500-$3000 depending on project size),,,Free,Google diversity and inclusion initiatives,True,True,High,True,False,High-speed-required,International,,True,Professional,google_summer_code_programs
Google Summer of Code - Extended Track,"Extended timeline option for Google Summer of Code allowing contributors to work on larger, more complex projects over 22 weeks. Provides additional time for ambitious open source contributions requiring deeper engagement. Same mentorship structure and support as standard track. Higher stipend reflects extended commitment. Ideal for comprehensive feature development.",https://summerofcode.withgoogle.com/,Google Summer of Code,Open Source Program,"Computer Science, Software Development, Open Source",12 (must be 18+ or college student),Free,Online/Remote,"22 weeks (summer, ~350 hours)",High,High,March-April (application period),,Stipend provided ($3000-$6000 depending on project size),,,Free,Google diversity and inclusion initiatives,True,True,High,True,False,High-speed-required,International,,True,Professional,google_summer_code_programs
Google Summer of Code - Open Source Mentorship,"High-quality mentorship component where contributors work one-on-one with experienced open source developers. Mentors provide technical guidance, code review, career advice, and professional development. Regular meetings, feedback sessions, and communication through project channels. Learn industry best practices, version control, testing, and documentation. Builds professional network in open source community.",https://summerofcode.withgoogle.com/how-it-works,Google Summer of Code,Open Source Program,"Computer Science, Software Development, Professional Development",12 (must be 18+ or college student),Free,Online/Remote,12-22 weeks (integrated with project),High,High,March-April (application period),,Included in stipend,,,Free,Google diversity and inclusion initiatives,True,True,High,True,False,High-speed-required,International,,True,Professional,google_summer_code_programs
Google Summer of Code - Diverse Project Opportunities,"Wide variety of participating open source organizations across multiple domains. Projects span web development, mobile apps, data science, machine learning, cloud computing, security, accessibility, and more. Organizations include major projects like Python, Git, Apache, Mozilla, and hundreds of others. Contributors choose projects matching their interests and skills. Exposure to different technologies and communities.",https://summerofcode.withgoogle.com/programs,Google Summer of Code,Open Source Program,"Computer Science, Software Development, Web Development, Data Science, AI/ML",12 (must be 18+ or college student),Free,Online/Remote,12-22 weeks (project dependent),High,High,March-April (application period),,Stipend provided,,,Free,Multiple organizations with diversity initiatives,True,True,High,True,False,High-speed-required,International,,True,Professional,google_summer_code_programs
Google Summer of Code - Open Source Community Engagement,"Integration into global open source community through GSoC participation. Contributors join mailing lists, chat channels, forums, and development teams. Attend virtual meetings, participate in code reviews, and collaborate with international developers. Build lasting connections with open source maintainers and fellow contributors. Access to GSoC alumni network. Foundation for continued open source involvement.",https://summerofcode.withgoogle.com/,Google Summer of Code,Open Source Program,"Computer Science, Software Development, Community Building",12 (must be 18+ or college student),Free,Online/Remote,12-22 weeks plus ongoing community involvement,High,High,March-April (application period),,Stipend provided,,,Free,Google diversity and inclusion initiatives,True,True,High,True,False,High-speed-required,International,,True,Professional,google_summer_code_programs
Google Summer of Code - Contributor Application Support,"Resources and support for preparing competitive GSoC applications. Organizations publish project ideas lists, contribution guides, and communication channels. Prospective contributors explore projects, make preliminary contributions, and engage with communities before applying. Application workshops, tips from past participants, and organization-specific guidance. No cost to explore and prepare applications.",https://summerofcode.withgoogle.com/how-it-works,Google Summer of Code,Open Source Program,"Computer Science, Software Development, Technical Writing",12 (must be 18+ or college student),Free,Online/Remote,Flexible preparation (weeks to months before application),Medium,Medium,January-March (pre-application period),,,,,Free,Google diversity and inclusion initiatives,True,True,High,True,False,High-speed-required,International,,True,Peer,google_summer_code_programs
Explore available learning,Use this course catalog to explore all of the free learning you'll be able to access when you join IBM SkillsBuild for Students and Educators. Interested in exploring technology topics? Looking to sharpen your workplace skills? We cover it all! Click around to see for yourself.,https://skillsbuild.org/students/course-catalog,IBM SkillsBuild,Career Readiness,Artificial Intelligence,9-12,Free,Online,2-5 hours,,Medium,,,False,False,,Free,True,True,True,High,True,False,High-speed-required,National,,False,,ibm_skillsbuild_programs
JASON Teacher Training and Professional Development,"Professional development for educators implementing JASON curriculum. While targeting teachers, enhances quality of STEM instruction benefiting students. Training covers inquiry-based learning, digital platform use, and integration strategies. Improved teaching leads to better student engagement and learning outcomes in science and engineering.",https://www.jason.org/programs/,JASON Learning,STEM Program,"STEM Education, Inquiry-based Learning",Teacher (benefits K-12 students),Included with school subscription,Online workshops,Ongoing professional development,,High,None (ongoing offerings),,,,,Free,Equitable STEM education practices,True,True,High,True,False,High-speed-required,National,,False,Professional,jason_learning_programs
Lockheed Martin STEM Teacher Professional Development,"Professional development program for educators teaching STEM subjects. Teachers learn about aerospace engineering, defense technology, and industry careers. Includes curriculum materials, hands-on activities, and ongoing support from Lockheed Martin education team.",https://www.lockheedmartin.com/en-us/who-we-are/communities/stem-education.html,Lockheed Martin,Professional Development,"Engineering, Technology, Mathematics, Science",Educators,Free,Hybrid,2-3 days,,Medium,Check Lockheed Martin website,,False,False,,Free,True,True,False,High,True,False,Basic,National,,True,Professional,lockheed_martin_programs
STEM Education,"Advancing science, technology, engineering and mathematics (STEM) education is a critical focus for Lockheed Martin. We know firsthand the importance of educating our young people in these areas. Our future success and our nation’s technological advantage depend on a constant supply of highly trained, highly capable technical talent. We believe strongly that advancing STEM education requires collaboration among industry, educators, policymakers and families. As an industry leader in defense tech",https://www.lockheedmartin.com/en-us/who-we-are/communities/stem-education.html,Lockheed Martin,Engineering Challenge,"Engineering, Defense Technology, Aerospace, Cybersecurity",9-12,Free,Virtual,Varies,Medium,Medium,Check Lockheed Martin website,,False,False,,Free,True,True,True,High,True,False,Basic,National,,True,Professional,lockheed_martin_programs
M3 Challenge Advisor Network,"Community of math teachers and team advisors supporting M3 Challenge teams. Share strategies, resources, and experiences. Help with team preparation and logistics. Access to exclusive advisor materials. Discussion forums and networking. Training on mathematical modeling pedagogy. Connect with experienced advisors. Support for first-time participants.",https://m3challenge.siam.org/,MathWorks/SIAM,Educator Network,"Mathematics Education, Mentorship",9-12,Free,Online,Flexible,,Medium,Rolling,,False,False,,Free,True,True,True,Medium,True,False,Basic,Select-States,,True,Adult,mathworks_m3_programs
TEALS Teacher Professional Development,Professional development program for teachers building computer science teaching capacity. Industry volunteers co-teach to transfer CS knowledge to teachers. Goal is sustainable CS programs after TEALS support ends. Multi-year partnership model. Teachers gain confidence and skills to teach CS independently.,https://www.microsoft.com/en-us/teals,Microsoft TEALS,Teacher Training,Computer Science,9-12,Free,School-based,2-3 years,,High,Check TEALS website,,False,False,,Free,True,True,True,High,True,False,Basic,National,Optional,True,Professional,microsoft_teals_programs
TEALS Computer Science Equity Initiative,"Initiative focused on bringing computer science education to underserved schools and communities. Prioritizes schools with limited CS access, high percentages of underrepresented students, and rural areas. Addresses CS opportunity gap. Provides full support including curriculum, volunteers, and teacher training.",https://www.microsoft.com/en-us/teals,Microsoft TEALS,School Program,Computer Science,9-12,Free,School-based,Academic year,,High,Check TEALS website,,False,False,,Free,True,True,True,High,True,False,Basic,National,Optional,True,Professional,microsoft_teals_programs
NCWIT Aspirations Educator Award,"Recognition for K-12 educators who encourage young women in computing. Teachers, counselors, and mentors nominated by Aspirations applicants. Awards honor educators who inspire and support female students in technology. Recipients recognized at award ceremonies alongside student winners. Creates supportive ecosystem for women in computing.",https://aspirations.org/recognitions-awards,NCWIT Aspirations in Computing,Computing Award,"Computer Science Education, Mentorship",Educator/Adult,Free,Online nomination,Nomination by students (automatic),K-12 educator,Low,Student application deadline,,Recognition and prizes,,,Free,Supporting women in computing,True,High,High,True,False,Basic,National,,True,Peer,ncwit_aspirations_programs
NCWIT Aspirations Virtual Awards and Networking Events,"National and regional virtual award ceremonies celebrating winners. Features keynote speakers from tech industry, networking opportunities with computing professionals, workshops on college applications and careers, and peer connections. Accessible to all award recipients regardless of location. Family and educators invited to participate.",https://aspirations.org/,NCWIT Aspirations in Computing,Computing Award,"Computer Science, Career Development, Networking",9-12,Free,Virtual event,2-4 hours (ceremony and workshops),Award recipient status,High,Spring (March-April),,,,,Free,Women in computing celebration,True,High,High,True,False,High-speed-required,National,Optional,True,Professional,ncwit_aspirations_programs
NOSB Coach Training and Support Resources,"Professional development and support for teachers and coaches leading NOSB teams. Includes webinars, coaching guides, question banks, competition strategies, and access to ocean science experts. Resources help coaches prepare students effectively regardless of their own ocean science background. Online community for coach networking.",https://nosb.org/,National Ocean Sciences Bowl,Ocean Science Competition,"Oceanography, Marine Biology, Science Education",9-12,Free,Online,Ongoing throughout season (optional),Low,Medium,Available year-round,,,,,Free,Support for all educators,True,Medium,High,True,False,High-speed-required,National,,True,Professional,nosb_programs
Physics Bowl Preparation Programs,School-based preparation programs for Physics Bowl competition. After-school study sessions and practice exams. Review of physics concepts and problem-solving strategies. Teacher-led instruction and peer collaboration. Many schools offer dedicated physics competition teams and clubs.,https://www.aapt.org/programs/physicsbowl/,American Association of Physics Teachers,Study Program,Physics,9-12,Free,School-based,2-4 hours per week,Medium,Medium,Rolling,,False,False,Low,Free,False,True,False,Medium,True,False,,National,Optional,True,Adult,physics_competitions
picoCTF for Classrooms (Educator Resources),"Free platform for teachers to integrate picoCTF into curriculum. Educators can create custom competitions, assign specific challenges, track student progress, and access teaching materials. Includes lesson plans, learning objectives, and assessment tools. Supports formal cybersecurity education in middle and high schools. Teacher accounts with classroom management features.",https://picoctf.org/,CMU picoCTF,Cybersecurity Competition,"Cybersecurity Education, Computer Science Education",6-12,Free,Online,Flexible (teacher-directed),,High,Year-round availability,,,,,Free,Equitable cybersecurity education access,True,True,High,True,False,High-speed-required,International,,True,Adult,picoctf_programs
Scratch for Educators,"Complete educator resources for teaching with Scratch. Curriculum guides, lesson plans, and classroom activities. Step-by-step tutorials for teachers new to coding. Classroom management tools and student accounts. Assessment rubrics and learning standards alignment. Professional development resources. Active educator community for sharing ideas and support. Free workshop materials.",https://scratch.mit.edu/educators,MIT Scratch,Educator Resources,"Computer Science, Education",K-12,Free,Online,Self-paced,,High,Rolling,,False,False,,Free,True,True,True,High,True,False,Basic,International,Optional,True,Peer,scratch_programming
Scratch Creative Computing Curriculum,"Complete free curriculum guide from Harvard Graduate School of Education. Seven units covering programming fundamentals through creative projects. Designed for classrooms, after-school programs, or self-study. Includes lesson plans, assessments, and facilitation tips. Emphasizes computational thinking and creativity. Used by educators worldwide. Available in multiple languages. Aligned with CS standards.",https://scratched.gse.harvard.edu/guide/,MIT Scratch,Curriculum Guide,"Computer Science, Computational Thinking",5-9,Free,Online,Semester course,,High,Rolling,,False,False,,Free,True,True,True,High,True,False,Basic,International,Optional,True,Peer,scratch_programming
