name,description,url,source,category,stem_fields,target_grade,cost,location_type,time_commitment,prerequisite_level,support_level,deadline,financial_barrier_level,financial_aid_available,family_income_consideration,hidden_costs_level,cost_category,diversity_focus,underrepresented_friendly,first_gen_support,cultural_competency,rural_accessible,transportation_required,internet_dependency,regional_availability,family_involvement_required,peer_network_building,mentor_access_level,file_source,directory_source,program_type,stem_focus,location,duration,application_deadline,eligibility,gear_support_building,contributor_community,stem_accessibility,inclusive_environment,family_involvement
Stanford Pre-Collegiate Computer Science,"Three-week intensive computer science program covering programming, algorithms, data structures, and software development. Hands-on coding projects using Python, Java, or other languages. Learn from Stanford CS faculty and graduate students. Build portfolio projects. Residential experience includes tech talks and company visits.",https://summerinstitutes.spcs.stanford.edu/,Stanford Pre-Collegiate Programs,Summer Program,"Computer Science, Programming, Software Engineering",9-12,8500,Residential,3 weeks,Medium,High,Check Stanford website,High,True,Middle+,Travel,$2000+,False,True,False,Medium,False,True,Basic,National,Required,True,Professional,stanford_precollege_programs.csv,Data,,,,,,,,,,,
Stanford Pre-Collegiate Engineering,"Engineering design and problem-solving program introducing students to various engineering disciplines. Includes mechanical, electrical, biomedical, and computer engineering projects. Team-based design challenges, lab work, and prototype building. Meet Stanford engineering faculty and tour engineering labs.",https://summerinstitutes.spcs.stanford.edu/,Stanford Pre-Collegiate Programs,Summer Program,"Engineering, Design, Technology",9-12,8500,Residential,3 weeks,Medium,High,Check Stanford website,High,True,Middle+,Travel,$2000+,False,True,False,Medium,False,True,Basic,National,Required,True,Professional,stanford_precollege_programs.csv,Data,,,,,,,,,,,
Stanford Pre-Collegiate Artificial Intelligence,"Advanced AI and machine learning program covering neural networks, computer vision, natural language processing, and AI ethics. Programming projects using Python and ML frameworks. Learn from Stanford AI researchers. Explore AI applications and future implications. Requires programming background.",https://summerinstitutes.spcs.stanford.edu/,Stanford Pre-Collegiate Programs,Summer Program,"Artificial Intelligence, Computer Science, Machine Learning",10-12,9000,Residential,3 weeks,High,High,Check Stanford website,High,True,Middle+,Travel,$2000+,False,True,False,Medium,False,True,Basic,National,Required,True,Professional,stanford_precollege_programs.csv,Data,,,,,,,,,,,
Stanford Pre-Collegiate Biomedical Sciences,"Exploration of biomedical research, biotechnology, and medical sciences. Laboratory techniques, research methods, and ethical issues in biomedicine. Visit Stanford medical facilities and research labs. Learn from medical faculty and researchers. Covers genetics, cell biology, and biomedical engineering.",https://summerinstitutes.spcs.stanford.edu/,Stanford Pre-Collegiate Programs,Summer Program,"Biomedical Science, Biology, Medicine",10-12,8500,Residential,3 weeks,Medium,High,Check Stanford website,High,True,Middle+,Travel,$2000+,False,True,False,Medium,False,True,Basic,National,Required,True,Professional,stanford_precollege_programs.csv,Data,,,,,,,,,,,
Stanford Pre-Collegiate Physics,"Advanced physics topics beyond high school curriculum including modern physics, quantum mechanics, and relativity. Laboratory experiments, problem-solving, and mathematical modeling. Taught by Stanford physics faculty. Prepares students for university-level physics. Requires strong math background.",https://summerinstitutes.spcs.stanford.edu/,Stanford Pre-Collegiate Programs,Summer Program,"Physics, Mathematics",10-12,8000,Residential,3 weeks,High,High,Check Stanford website,High,True,Middle+,Travel,$2000+,False,True,False,Medium,False,True,Basic,National,Required,True,Professional,stanford_precollege_programs.csv,Data,,,,,,,,,,,
Stanford Pre-Collegiate Data Science,"Introduction to data science covering statistics, data analysis, visualization, and machine learning applications. Work with real datasets, learn Python and R, and develop data-driven projects. Includes statistical thinking, data ethics, and communication of findings. No prior programming required.",https://summerinstitutes.spcs.stanford.edu/,Stanford Pre-Collegiate Programs,Summer Program,"Data Science, Statistics, Computer Science",9-12,8500,Residential,3 weeks,Medium,High,Check Stanford website,High,True,Middle+,Travel,$2000+,False,True,False,Medium,False,True,Basic,National,Required,True,Professional,stanford_precollege_programs.csv,Data,,,,,,,,,,,
Stanford Pre-Collegiate Game Design,"Game design and development program combining programming, art, storytelling, and game mechanics. Create original video games using industry tools. Learn game engines, 3D modeling, level design, and game theory. Team projects and portfolio development. Suitable for aspiring game developers.",https://summerinstitutes.spcs.stanford.edu/,Stanford Pre-Collegiate Programs,Summer Program,"Computer Science, Game Development, Design",9-12,8500,Residential,3 weeks,Medium,High,Check Stanford website,High,True,Middle+,Travel,$2000+,False,True,False,Medium,False,True,Basic,National,Required,True,Professional,stanford_precollege_programs.csv,Data,,,,,,,,,,,
Stanford Pre-Collegiate Robotics,"Hands-on robotics program covering robot design, programming, sensors, and autonomous systems. Build and program robots for competitions and challenges. Learn mechanical design, electronics, and control systems. Team-based projects with industry-standard robotics platforms. Tour Stanford robotics labs.",https://summerinstitutes.spcs.stanford.edu/,Stanford Pre-Collegiate Programs,Summer Program,"Robotics, Engineering, Computer Science",9-12,8500,Residential,3 weeks,Medium,High,Check Stanford website,High,True,Middle+,Travel,$2000+,False,True,False,Medium,False,True,Basic,National,Required,True,Professional,stanford_precollege_programs.csv,Data,,,,,,,,,,,
Stanford Pre-Collegiate Environmental Science,"Study environmental challenges, sustainability, and climate science. Field work, laboratory research, and data analysis. Explore Stanford sustainability initiatives and environmental research. Topics include ecology, conservation, renewable energy, and environmental policy. Scientific research skills development.",https://summerinstitutes.spcs.stanford.edu/,Stanford Pre-Collegiate Programs,Summer Program,"Environmental Science, Biology, Chemistry",9-12,8000,Residential,3 weeks,Medium,High,Check Stanford website,High,True,Middle+,Travel,$2000+,False,True,False,Medium,False,True,Basic,National,Required,True,Professional,stanford_precollege_programs.csv,Data,,,,,,,,,,,
Stanford Pre-Collegiate Chemistry,"Advanced chemistry covering topics beyond AP level including organic chemistry, chemical synthesis, and spectroscopy. Laboratory-intensive program with research-style experiments. Learn modern chemical techniques and instrumentation. Taught by Stanford chemistry faculty. Prepares for college chemistry.",https://summerinstitutes.spcs.stanford.edu/,Stanford Pre-Collegiate Programs,Summer Program,"Chemistry, Science",10-12,8500,Residential,3 weeks,High,High,Check Stanford website,High,True,Middle+,Travel,$2000+,False,True,False,Medium,False,True,Basic,National,Required,True,Professional,stanford_precollege_programs.csv,Data,,,,,,,,,,,
Stanford Pre-Collegiate Business & Entrepreneurship,"Introduction to business principles, entrepreneurship, and innovation. Develop business plans, learn marketing and finance basics, and pitch startup ideas. Guest speakers from Silicon Valley. Team projects simulating real business challenges. Includes visits to Stanford business school and local companies.",https://summerinstitutes.spcs.stanford.edu/,Stanford Pre-Collegiate Programs,Summer Program,"Business, Entrepreneurship, Technology",10-12,8000,Residential,3 weeks,Basic,High,Check Stanford website,High,True,Middle+,Travel,$2000+,False,True,False,Medium,False,True,Basic,National,Required,True,Professional,stanford_precollege_programs.csv,Data,,,,,,,,,,,
Summer Science Program (SSP) - Biochemistry at Indiana University,"39-day residential research program for rising 10th and 11th graders at Indiana University Bloomington. Students explore frontiers of biochemistry through hands-on research and coursework. Study protein biochemistry, enzyme mechanisms, and metabolic pathways. Laboratory techniques including chromatography, spectrometry, and bioinformatics analysis. Team-based research projects addressing real scientific questions. Individual components allowing personal research interests. Scientific writing and presentation skills development. Access to IU research facilities and faculty mentorship. Immersive residential experience with diverse cohort of science-minded students.",https://summerscience.org/programs/,Summer Science Program,Summer Program,"Biochemistry, Molecular Biology, Bioinformatics, Laboratory Techniques, Enzymology",10-11,Paid,In-person,39 days,High,High,February,High,Available,Optional,Travel,$1000+,True,True,True,High,True,True,Basic,National,,True,Professional,ssp_summer_program.csv,Scrapers/scrapers/data,,,,,,,,,,,
BYJU'S Future School - Coding for Beginners (Ages 6-8),"Introduction to coding through visual programming and storytelling. One-on-one live classes teaching Scratch basics, game creation, and logical thinking. Build first coding projects with personalized teacher guidance.",https://www.byjusfutureschool.com/,BYJU'S Future School,Online Class,"Computer Science, Coding, Programming, Scratch",1-3,Paid,Online,1-2 classes per week,,High,Rolling,High,Limited,Optional,Per-Class,$500-$1000,True,True,True,High,True,False,Required,International,Medium,False,Teacher,byjus_future_school.csv,Scrapers/scrapers/data,,,,,,,,,,,
BYJU'S Future School - Free Trial Classes,Free trial classes to experience one-on-one learning approach. Sample coding or math class with certified teacher. No commitment required to try platform.,https://www.byjusfutureschool.com/,BYJU'S Future School,Online Class,"Computer Science, Mathematics, Trial Program",K-12,Free,Online,1 class,,High,Rolling,,Not applicable,Not required,,Free,True,True,True,High,True,False,Required,International,Medium,False,Teacher,byjus_future_school.csv,Scrapers/scrapers/data,,,,,,,,,,,
CS Scholars,"Comprehensive computer science program for high school students. Learn programming, algorithms, data structures, and software development from CMU faculty. Work on real-world projects and collaborate with peers. Includes exposure to CMU School of Computer Science research. Residential summer experience.",https://www.cmu.edu/pre-college/,Carnegie Mellon Pre-College,Summer Program,"Computer Science, Programming, Software Engineering",10-12,9500,Residential,6 weeks,High,High,Check CMU website,High,True,Middle+,Travel,$2000+,True,True,True,Medium,False,True,High-speed-required,National,Required,True,Professional,cmu_precollege_programs.csv,Data,,,,,,,,,,,
