variation_group_id,program_family,name_1,name_2,source,url,stem_fields_1,stem_fields_2,distinguishing_feature,name_similarity,recommendation,index_1,index_2
VAR_33,Pioneer Academics,Pioneer Academics - Artificial Intelligence and Machine Learning,Pioneer Academics - Astrophysics and Cosmology,Pioneer Academics,https://pioneeracademics.com/subjects/,"Artificial Intelligence, Machine Learning, Computer Science, Neural Networks, Data Science","Astrophysics, Astronomy, Cosmology, Physics, Space Science","Subject: Artificial Intelligence; Subject: Machine Learning; Field: Artificial Intelligence, Machine Learning, Computer Science, Neural Networks, Data Science",58.18%,keep_separate,122,125
VAR_34,Pioneer Academics,Pioneer Academics - Artificial Intelligence and Machine Learning,Pioneer Academics - Environmental Science and Climate Change,Pioneer Academics,https://pioneeracademics.com/subjects/,"Artificial Intelligence, Machine Learning, Computer Science, Neural Networks, Data Science","Environmental Science, Climate Science, Ecology, Sustainability, Conservation","Subject: Artificial Intelligence; Subject: Machine Learning; Field: Artificial Intelligence, Machine Learning, Computer Science, Neural Networks, Data Science",67.74%,keep_separate,122,126
VAR_35,Pioneer Academics,Pioneer Academics - Artificial Intelligence and Machine Learning,Pioneer Academics - Computer Science and Algorithms,Pioneer Academics,https://pioneeracademics.com/subjects/,"Artificial Intelligence, Machine Learning, Computer Science, Neural Networks, Data Science","Computer Science, Algorithms, Programming, Software Engineering, Theoretical CS","Subject: Artificial Intelligence; Subject: Machine Learning; Field: Artificial Intelligence, Machine Learning, Computer Science, Neural Networks, Data Science",57.39%,keep_separate,122,127
VAR_36,Pioneer Academics,Pioneer Academics - Artificial Intelligence and Machine Learning,Pioneer Academics - Mathematics and Number Theory,Pioneer Academics,https://pioneeracademics.com/subjects/,"Artificial Intelligence, Machine Learning, Computer Science, Neural Networks, Data Science","Mathematics, Number Theory, Pure Math, Applied Math, Mathematical Modeling","Subject: Artificial Intelligence; Subject: Machine Learning; Field: Artificial Intelligence, Machine Learning, Computer Science, Neural Networks, Data Science",58.41%,keep_separate,122,128
VAR_37,Pioneer Academics,Pioneer Academics - Artificial Intelligence and Machine Learning,Pioneer Academics - Biochemistry and Molecular Biology,Pioneer Academics,https://pioneeracademics.com/subjects/,"Artificial Intelligence, Machine Learning, Computer Science, Neural Networks, Data Science","Biochemistry, Molecular Biology, Protein Science, Cell Biology, Enzymology","Subject: Artificial Intelligence; Subject: Machine Learning; Field: Artificial Intelligence, Machine Learning, Computer Science, Neural Networks, Data Science",55.93%,keep_separate,122,129
VAR_38,Pioneer Academics,Pioneer Academics - Artificial Intelligence and Machine Learning,Pioneer Academics - Physics and Quantum Mechanics,Pioneer Academics,https://pioneeracademics.com/subjects/,"Artificial Intelligence, Machine Learning, Computer Science, Neural Networks, Data Science","Physics, Quantum Mechanics, Theoretical Physics, Particle Physics, Condensed Matter","Subject: Artificial Intelligence; Subject: Machine Learning; Field: Artificial Intelligence, Machine Learning, Computer Science, Neural Networks, Data Science",58.41%,keep_separate,122,130
VAR_39,Pioneer Academics,Pioneer Academics - Artificial Intelligence and Machine Learning,Pioneer Academics - Chemistry and Materials Science,Pioneer Academics,https://pioneeracademics.com/subjects/,"Artificial Intelligence, Machine Learning, Computer Science, Neural Networks, Data Science","Chemistry, Materials Science, Chemical Engineering, Nanotechnology, Organic Chemistry","Subject: Artificial Intelligence; Subject: Machine Learning; Field: Artificial Intelligence, Machine Learning, Computer Science, Neural Networks, Data Science",55.65%,keep_separate,122,131
VAR_40,Pioneer Academics,Pioneer Academics - Artificial Intelligence and Machine Learning,Pioneer Academics - Engineering and Robotics,Pioneer Academics,https://pioneeracademics.com/subjects/,"Artificial Intelligence, Machine Learning, Computer Science, Neural Networks, Data Science","Engineering, Robotics, Mechanical Engineering, Electrical Engineering, Design","Subject: Artificial Intelligence; Subject: Machine Learning; Field: Artificial Intelligence, Machine Learning, Computer Science, Neural Networks, Data Science",57.41%,keep_separate,122,132
VAR_41,Pioneer Academics,Pioneer Academics - Artificial Intelligence and Machine Learning,Pioneer Academics - Data Science and Statistics,Pioneer Academics,https://pioneeracademics.com/subjects/,"Artificial Intelligence, Machine Learning, Computer Science, Neural Networks, Data Science","Data Science, Statistics, Analytics, Machine Learning, Quantitative Analysis","Subject: Artificial Intelligence; Subject: Machine Learning; Field: Artificial Intelligence, Machine Learning, Computer Science, Neural Networks, Data Science",63.06%,keep_separate,122,133
VAR_42,Pioneer Academics,Pioneer Academics - Artificial Intelligence and Machine Learning,Pioneer Academics - Biomedical Science and Medicine,Pioneer Academics,https://pioneeracademics.com/subjects/,"Artificial Intelligence, Machine Learning, Computer Science, Neural Networks, Data Science","Biomedical Science, Medicine, Immunology, Pathology, Clinical Research","Subject: Artificial Intelligence; Subject: Machine Learning; Field: Artificial Intelligence, Machine Learning, Computer Science, Neural Networks, Data Science",71.30%,keep_separate,122,134
VAR_43,Pioneer Academics,Pioneer Academics - Artificial Intelligence and Machine Learning,Pioneer Academics - Economics and Game Theory,Pioneer Academics,https://pioneeracademics.com/subjects/,"Artificial Intelligence, Machine Learning, Computer Science, Neural Networks, Data Science","Economics, Game Theory, Mathematics, Behavioral Economics, Quantitative Analysis","Subject: Artificial Intelligence; Subject: Machine Learning; Field: Artificial Intelligence, Machine Learning, Computer Science, Neural Networks, Data Science",58.72%,keep_separate,122,135
VAR_44,Pioneer Academics,Pioneer Academics - Artificial Intelligence and Machine Learning,Pioneer Academics - Public Health and Epidemiology,Pioneer Academics,https://pioneeracademics.com/subjects/,"Artificial Intelligence, Machine Learning, Computer Science, Neural Networks, Data Science","Public Health, Epidemiology, Biostatistics, Health Policy, Disease Prevention","Subject: Artificial Intelligence; Subject: Machine Learning; Field: Artificial Intelligence, Machine Learning, Computer Science, Neural Networks, Data Science",59.65%,keep_separate,122,136
VAR_45,Pioneer Academics,Pioneer Academics - Artificial Intelligence and Machine Learning,Pioneer Academics - Applied Mathematics and Optimization,Pioneer Academics,https://pioneeracademics.com/subjects/,"Artificial Intelligence, Machine Learning, Computer Science, Neural Networks, Data Science","Applied Mathematics, Optimization, Operations Research, Mathematical Modeling, Algorithms","Subject: Artificial Intelligence; Subject: Machine Learning; Field: Artificial Intelligence, Machine Learning, Computer Science, Neural Networks, Data Science",55.00%,keep_separate,122,137
VAR_46,Pioneer Academics,Pioneer Academics - Biotechnology and Genetic Engineering,Pioneer Academics - Neuroscience and Cognitive Science,Pioneer Academics,https://pioneeracademics.com/subjects/,"Biotechnology, Genetics, CRISPR, Molecular Biology, Bioengineering","Neuroscience, Cognitive Science, Psychology, Biology, Brain Research","Subject: Biology; Subject: Engineering; Field: Biotechnology, Genetics, CRISPR, Molecular Biology, Bioengineering",57.66%,keep_separate,123,124
VAR_47,Pioneer Academics,Pioneer Academics - Biotechnology and Genetic Engineering,Pioneer Academics - Astrophysics and Cosmology,Pioneer Academics,https://pioneeracademics.com/subjects/,"Biotechnology, Genetics, CRISPR, Molecular Biology, Bioengineering","Astrophysics, Astronomy, Cosmology, Physics, Space Science","Subject: Biology; Subject: Engineering; Field: Biotechnology, Genetics, CRISPR, Molecular Biology, Bioengineering",52.43%,keep_separate,123,125
VAR_48,Pioneer Academics,Pioneer Academics - Biotechnology and Genetic Engineering,Pioneer Academics - Environmental Science and Climate Change,Pioneer Academics,https://pioneeracademics.com/subjects/,"Biotechnology, Genetics, CRISPR, Molecular Biology, Bioengineering","Environmental Science, Climate Science, Ecology, Sustainability, Conservation","Subject: Biology; Subject: Engineering; Field: Biotechnology, Genetics, CRISPR, Molecular Biology, Bioengineering",54.70%,keep_separate,123,126
VAR_49,Pioneer Academics,Pioneer Academics - Biotechnology and Genetic Engineering,Pioneer Academics - Computer Science and Algorithms,Pioneer Academics,https://pioneeracademics.com/subjects/,"Biotechnology, Genetics, CRISPR, Molecular Biology, Bioengineering","Computer Science, Algorithms, Programming, Software Engineering, Theoretical CS","Subject: Biology; Subject: Engineering; Field: Biotechnology, Genetics, CRISPR, Molecular Biology, Bioengineering",61.11%,keep_separate,123,127
VAR_50,Pioneer Academics,Pioneer Academics - Biotechnology and Genetic Engineering,Pioneer Academics - Mathematics and Number Theory,Pioneer Academics,https://pioneeracademics.com/subjects/,"Biotechnology, Genetics, CRISPR, Molecular Biology, Bioengineering","Mathematics, Number Theory, Pure Math, Applied Math, Mathematical Modeling","Subject: Biology; Subject: Engineering; Field: Biotechnology, Genetics, CRISPR, Molecular Biology, Bioengineering",56.60%,keep_separate,123,128
VAR_51,Pioneer Academics,Pioneer Academics - Biotechnology and Genetic Engineering,Pioneer Academics - Biochemistry and Molecular Biology,Pioneer Academics,https://pioneeracademics.com/subjects/,"Biotechnology, Genetics, CRISPR, Molecular Biology, Bioengineering","Biochemistry, Molecular Biology, Protein Science, Cell Biology, Enzymology","Subject: Biology; Subject: Engineering; Field: Biotechnology, Genetics, CRISPR, Molecular Biology, Bioengineering",57.66%,keep_separate,123,129
VAR_52,Pioneer Academics,Pioneer Academics - Biotechnology and Genetic Engineering,Pioneer Academics - Physics and Quantum Mechanics,Pioneer Academics,https://pioneeracademics.com/subjects/,"Biotechnology, Genetics, CRISPR, Molecular Biology, Bioengineering","Physics, Quantum Mechanics, Theoretical Physics, Particle Physics, Condensed Matter","Subject: Biology; Subject: Engineering; Field: Biotechnology, Genetics, CRISPR, Molecular Biology, Bioengineering",58.49%,keep_separate,123,130
VAR_53,Pioneer Academics,Pioneer Academics - Biotechnology and Genetic Engineering,Pioneer Academics - Chemistry and Materials Science,Pioneer Academics,https://pioneeracademics.com/subjects/,"Biotechnology, Genetics, CRISPR, Molecular Biology, Bioengineering","Chemistry, Materials Science, Chemical Engineering, Nanotechnology, Organic Chemistry","Subject: Biology; Subject: Engineering; Field: Biotechnology, Genetics, CRISPR, Molecular Biology, Bioengineering",61.11%,keep_separate,123,131
VAR_54,Pioneer Academics,Pioneer Academics - Biotechnology and Genetic Engineering,Pioneer Academics - Engineering and Robotics,Pioneer Academics,https://pioneeracademics.com/subjects/,"Biotechnology, Genetics, CRISPR, Molecular Biology, Bioengineering","Engineering, Robotics, Mechanical Engineering, Electrical Engineering, Design","Subject: Biology; Subject: Engineering; Field: Biotechnology, Genetics, CRISPR, Molecular Biology, Bioengineering",61.39%,keep_separate,123,132
VAR_55,Pioneer Academics,Pioneer Academics - Biotechnology and Genetic Engineering,Pioneer Academics - Data Science and Statistics,Pioneer Academics,https://pioneeracademics.com/subjects/,"Biotechnology, Genetics, CRISPR, Molecular Biology, Bioengineering","Data Science, Statistics, Analytics, Machine Learning, Quantitative Analysis","Subject: Biology; Subject: Engineering; Field: Biotechnology, Genetics, CRISPR, Molecular Biology, Bioengineering",59.62%,keep_separate,123,133
VAR_56,Pioneer Academics,Pioneer Academics - Biotechnology and Genetic Engineering,Pioneer Academics - Biomedical Science and Medicine,Pioneer Academics,https://pioneeracademics.com/subjects/,"Biotechnology, Genetics, CRISPR, Molecular Biology, Bioengineering","Biomedical Science, Medicine, Immunology, Pathology, Clinical Research","Subject: Biology; Subject: Engineering; Field: Biotechnology, Genetics, CRISPR, Molecular Biology, Bioengineering",68.52%,keep_separate,123,134
VAR_57,Pioneer Academics,Pioneer Academics - Biotechnology and Genetic Engineering,Pioneer Academics - Economics and Game Theory,Pioneer Academics,https://pioneeracademics.com/subjects/,"Biotechnology, Genetics, CRISPR, Molecular Biology, Bioengineering","Economics, Game Theory, Mathematics, Behavioral Economics, Quantitative Analysis","Subject: Biology; Subject: Engineering; Field: Biotechnology, Genetics, CRISPR, Molecular Biology, Bioengineering",64.71%,keep_separate,123,135
VAR_58,Pioneer Academics,Pioneer Academics - Biotechnology and Genetic Engineering,Pioneer Academics - Public Health and Epidemiology,Pioneer Academics,https://pioneeracademics.com/subjects/,"Biotechnology, Genetics, CRISPR, Molecular Biology, Bioengineering","Public Health, Epidemiology, Biostatistics, Health Policy, Disease Prevention","Subject: Biology; Subject: Engineering; Field: Biotechnology, Genetics, CRISPR, Molecular Biology, Bioengineering",54.21%,keep_separate,123,136
VAR_59,Pioneer Academics,Pioneer Academics - Biotechnology and Genetic Engineering,Pioneer Academics - Applied Mathematics and Optimization,Pioneer Academics,https://pioneeracademics.com/subjects/,"Biotechnology, Genetics, CRISPR, Molecular Biology, Bioengineering","Applied Mathematics, Optimization, Operations Research, Mathematical Modeling, Algorithms","Subject: Biology; Subject: Engineering; Field: Biotechnology, Genetics, CRISPR, Molecular Biology, Bioengineering",56.64%,keep_separate,123,137
VAR_60,Pioneer Academics,Pioneer Academics - Neuroscience and Cognitive Science,Pioneer Academics - Astrophysics and Cosmology,Pioneer Academics,https://pioneeracademics.com/subjects/,"Neuroscience, Cognitive Science, Psychology, Biology, Brain Research","Astrophysics, Astronomy, Cosmology, Physics, Space Science","Subject: Biology; Subject: Neuroscience; Field: Neuroscience, Cognitive Science, Psychology, Biology, Brain Research",64.00%,keep_separate,124,125
VAR_61,Pioneer Academics,Pioneer Academics - Neuroscience and Cognitive Science,Pioneer Academics - Environmental Science and Climate Change,Pioneer Academics,https://pioneeracademics.com/subjects/,"Neuroscience, Cognitive Science, Psychology, Biology, Brain Research","Environmental Science, Climate Science, Ecology, Sustainability, Conservation","Subject: Biology; Subject: Neuroscience; Field: Neuroscience, Cognitive Science, Psychology, Biology, Brain Research",73.68%,keep_separate,124,126
VAR_62,Pioneer Academics,Pioneer Academics - Neuroscience and Cognitive Science,Pioneer Academics - Computer Science and Algorithms,Pioneer Academics,https://pioneeracademics.com/subjects/,"Neuroscience, Cognitive Science, Psychology, Biology, Brain Research","Computer Science, Algorithms, Programming, Software Engineering, Theoretical CS","Subject: Biology; Subject: Neuroscience; Field: Neuroscience, Cognitive Science, Psychology, Biology, Brain Research",72.38%,keep_separate,124,127
VAR_63,Pioneer Academics,Pioneer Academics - Neuroscience and Cognitive Science,Pioneer Academics - Mathematics and Number Theory,Pioneer Academics,https://pioneeracademics.com/subjects/,"Neuroscience, Cognitive Science, Psychology, Biology, Brain Research","Mathematics, Number Theory, Pure Math, Applied Math, Mathematical Modeling","Subject: Biology; Subject: Neuroscience; Field: Neuroscience, Cognitive Science, Psychology, Biology, Brain Research",54.37%,keep_separate,124,128
VAR_64,Pioneer Academics,Pioneer Academics - Neuroscience and Cognitive Science,Pioneer Academics - Biochemistry and Molecular Biology,Pioneer Academics,https://pioneeracademics.com/subjects/,"Neuroscience, Cognitive Science, Psychology, Biology, Brain Research","Biochemistry, Molecular Biology, Protein Science, Cell Biology, Enzymology","Subject: Biology; Subject: Neuroscience; Field: Neuroscience, Cognitive Science, Psychology, Biology, Brain Research",55.56%,keep_separate,124,129
VAR_65,Pioneer Academics,Pioneer Academics - Neuroscience and Cognitive Science,Pioneer Academics - Physics and Quantum Mechanics,Pioneer Academics,https://pioneeracademics.com/subjects/,"Neuroscience, Cognitive Science, Psychology, Biology, Brain Research","Physics, Quantum Mechanics, Theoretical Physics, Particle Physics, Condensed Matter","Subject: Biology; Subject: Neuroscience; Field: Neuroscience, Cognitive Science, Psychology, Biology, Brain Research",60.19%,keep_separate,124,130
VAR_66,Pioneer Academics,Pioneer Academics - Neuroscience and Cognitive Science,Pioneer Academics - Chemistry and Materials Science,Pioneer Academics,https://pioneeracademics.com/subjects/,"Neuroscience, Cognitive Science, Psychology, Biology, Brain Research","Chemistry, Materials Science, Chemical Engineering, Nanotechnology, Organic Chemistry","Subject: Biology; Subject: Neuroscience; Field: Neuroscience, Cognitive Science, Psychology, Biology, Brain Research",68.57%,keep_separate,124,131
VAR_67,Pioneer Academics,Pioneer Academics - Neuroscience and Cognitive Science,Pioneer Academics - Engineering and Robotics,Pioneer Academics,https://pioneeracademics.com/subjects/,"Neuroscience, Cognitive Science, Psychology, Biology, Brain Research","Engineering, Robotics, Mechanical Engineering, Electrical Engineering, Design","Subject: Biology; Subject: Neuroscience; Field: Neuroscience, Cognitive Science, Psychology, Biology, Brain Research",69.39%,keep_separate,124,132
VAR_68,Pioneer Academics,Pioneer Academics - Neuroscience and Cognitive Science,Pioneer Academics - Data Science and Statistics,Pioneer Academics,https://pioneeracademics.com/subjects/,"Neuroscience, Cognitive Science, Psychology, Biology, Brain Research","Data Science, Statistics, Analytics, Machine Learning, Quantitative Analysis","Subject: Biology; Subject: Neuroscience; Field: Neuroscience, Cognitive Science, Psychology, Biology, Brain Research",71.29%,keep_separate,124,133
