group_id,index1,index2,name1,name2,stem_fields1,stem_fields2,url,name_similarity,recommendation,reason
UNCLEAR_25,595,597,USACO Bronze Division,USACO Gold Division,"Computer Science, Algorithms","Computer Science, Algorithms",http://www.usaco.org/index.php?page=contests,80,need_review,Unclear - manual review needed
VAR_26,595,598,USACO Bronze Division,USACO Platinum Division,"Computer Science, Algorithms","Computer Science, Algorithms",http://www.usaco.org/index.php?page=contests,73,keep_separate,Different subject (ai)
UNCLEAR_27,596,597,USACO Silver Division,USACO Gold Division,"Computer Science, Algorithms","Computer Science, Algorithms",http://www.usaco.org/index.php?page=contests,80,need_review,Unclear - manual review needed
VAR_28,596,598,USACO Silver Division,USACO Platinum Division,"Computer Science, Algorithms","Computer Science, Algorithms",http://www.usaco.org/index.php?page=contests,73,keep_separate,Different subject (ai)
VAR_29,597,598,USACO Gold Division,USACO Platinum Division,"Computer Science, Algorithms","Computer Science, Algorithms",http://www.usaco.org/index.php?page=contests,76,keep_separate,Different subject (ai)
VAR_30,598,600,USACO Platinum Division,USACO US Open Contest,"Computer Science, Algorithms","Computer Science, Algorithms",http://www.usaco.org/index.php?page=contests,50,keep_separate,Different subject (ai)
VAR_31,616,618,Zero Robotics Programming Environment and Tutorials,Zero Robotics Summer Program,"Computer Science, C/C++ Programming, Software Development","Computer Science, Robotics, Self-directed Learning",http://zerorobotics.mit.edu/,56,keep_separate,Different STEM fields
VAR_32,612,613,Zero Robotics High School Competition,Zero Robotics 2D Simulation Rounds,"Computer Science, Robotics, Aerospace Engineering, Physics","Computer Science, Programming, Algorithm Design",http://zerorobotics.mit.edu/compete/,59,keep_separate,Different STEM fields
VAR_33,612,614,Zero Robotics High School Competition,Zero Robotics 3D Simulation Finals,"Computer Science, Robotics, Aerospace Engineering, Physics","Computer Science, Orbital Mechanics, Physics, Robotics",http://zerorobotics.mit.edu/compete/,59,keep_separate,Different STEM fields
VAR_34,612,615,Zero Robotics High School Competition,Zero Robotics ISS Finals on International Space Station,"Computer Science, Robotics, Aerospace Engineering, Physics","Computer Science, Aerospace Engineering, Robotics, Space Operations",http://zerorobotics.mit.edu/compete/,61,keep_separate,Different STEM fields
VAR_35,612,617,Zero Robotics High School Competition,Zero Robotics International Alliance Competition,"Computer Science, Robotics, Aerospace Engineering, Physics","Computer Science, International Collaboration, Project Management",http://zerorobotics.mit.edu/compete/,68,keep_separate,Different STEM fields
VAR_36,612,619,Zero Robotics High School Competition,Zero Robotics Middle School Program,"Computer Science, Robotics, Aerospace Engineering, Physics","Computer Science, Robotics, Computational Thinking",http://zerorobotics.mit.edu/compete/,69,keep_separate,Different STEM fields
VAR_37,613,614,Zero Robotics 2D Simulation Rounds,Zero Robotics 3D Simulation Finals,"Computer Science, Programming, Algorithm Design","Computer Science, Orbital Mechanics, Physics, Robotics",http://zerorobotics.mit.edu/compete/,85,keep_separate,Different STEM fields
VAR_38,613,615,Zero Robotics 2D Simulation Rounds,Zero Robotics ISS Finals on International Space Station,"Computer Science, Programming, Algorithm Design","Computer Science, Aerospace Engineering, Robotics, Space Operations",http://zerorobotics.mit.edu/compete/,56,keep_separate,Different STEM fields
VAR_39,613,617,Zero Robotics 2D Simulation Rounds,Zero Robotics International Alliance Competition,"Computer Science, Programming, Algorithm Design","Computer Science, International Collaboration, Project Management",http://zerorobotics.mit.edu/compete/,56,keep_separate,Different STEM fields
VAR_40,613,619,Zero Robotics 2D Simulation Rounds,Zero Robotics Middle School Program,"Computer Science, Programming, Algorithm Design","Computer Science, Robotics, Computational Thinking",http://zerorobotics.mit.edu/compete/,61,keep_separate,Different STEM fields
VAR_41,614,615,Zero Robotics 3D Simulation Finals,Zero Robotics ISS Finals on International Space Station,"Computer Science, Orbital Mechanics, Physics, Robotics","Computer Science, Aerospace Engineering, Robotics, Space Operations",http://zerorobotics.mit.edu/compete/,56,keep_separate,Different STEM fields
VAR_42,614,617,Zero Robotics 3D Simulation Finals,Zero Robotics International Alliance Competition,"Computer Science, Orbital Mechanics, Physics, Robotics","Computer Science, International Collaboration, Project Management",http://zerorobotics.mit.edu/compete/,56,keep_separate,Different STEM fields
VAR_43,614,619,Zero Robotics 3D Simulation Finals,Zero Robotics Middle School Program,"Computer Science, Orbital Mechanics, Physics, Robotics","Computer Science, Robotics, Computational Thinking",http://zerorobotics.mit.edu/compete/,58,keep_separate,Different STEM fields
VAR_44,615,617,Zero Robotics ISS Finals on International Space Station,Zero Robotics International Alliance Competition,"Computer Science, Aerospace Engineering, Robotics, Space Operations","Computer Science, International Collaboration, Project Management",http://zerorobotics.mit.edu/compete/,72,keep_separate,Different STEM fields
VAR_45,615,619,Zero Robotics ISS Finals on International Space Station,Zero Robotics Middle School Program,"Computer Science, Aerospace Engineering, Robotics, Space Operations","Computer Science, Robotics, Computational Thinking",http://zerorobotics.mit.edu/compete/,51,keep_separate,Different STEM fields
VAR_46,617,619,Zero Robotics International Alliance Competition,Zero Robotics Middle School Program,"Computer Science, International Collaboration, Project Management","Computer Science, Robotics, Computational Thinking",http://zerorobotics.mit.edu/compete/,53,keep_separate,Different STEM fields
VAR_47,21,22,AI4ALL at Stanford University,AI4ALL at Carnegie Mellon University,"Artificial Intelligence, Computer Science, Machine Learning","Artificial Intelligence, Robotics, Computer Science",https://ai-4-all.org/programs/,74,keep_separate,Different STEM fields
VAR_48,21,23,AI4ALL at Stanford University,AI4ALL at Princeton University,"Artificial Intelligence, Computer Science, Machine Learning","Artificial Intelligence, Computer Science, Data Science",https://ai-4-all.org/programs/,78,keep_separate,Different STEM fields
VAR_49,21,24,AI4ALL at Stanford University,AI4ALL at UC Berkeley,"Artificial Intelligence, Computer Science, Machine Learning","Artificial Intelligence, Machine Learning, Computer Science",https://ai-4-all.org/programs/,56,keep_separate,Different STEM fields
VAR_50,21,25,AI4ALL at Stanford University,AI4ALL at Boston University,"Artificial Intelligence, Computer Science, Machine Learning","Artificial Intelligence, Computer Science, Data Analysis",https://ai-4-all.org/programs/,86,keep_separate,Different STEM fields
VAR_51,21,26,AI4ALL at Stanford University,AI4ALL at University of Michigan,"Artificial Intelligence, Computer Science, Machine Learning","Artificial Intelligence, Machine Learning, Ethics",https://ai-4-all.org/programs/,66,keep_separate,Different STEM fields
VAR_52,21,27,AI4ALL at Stanford University,AI4ALL at Simon Fraser University,"Artificial Intelligence, Computer Science, Machine Learning","Artificial Intelligence, Computer Science, Sustainability",https://ai-4-all.org/programs/,81,keep_separate,Different STEM fields
VAR_53,21,28,AI4ALL at Stanford University,AI4ALL at Columbia University,"Artificial Intelligence, Computer Science, Machine Learning","Artificial Intelligence, Data Science, Urban Technology",https://ai-4-all.org/programs/,76,keep_separate,Different STEM fields
VAR_54,21,29,AI4ALL at Stanford University,AI4ALL at University of Illinois Urbana-Champaign,"Artificial Intelligence, Computer Science, Machine Learning","Artificial Intelligence, Computer Vision, NLP",https://ai-4-all.org/programs/,51,keep_separate,Different STEM fields
VAR_55,21,30,AI4ALL at Stanford University,AI4ALL Online Programs,"Artificial Intelligence, Computer Science, Machine Learning","Artificial Intelligence, Machine Learning, Computer Science",https://ai-4-all.org/programs/,51,keep_separate,Different STEM fields
VAR_56,22,23,AI4ALL at Carnegie Mellon University,AI4ALL at Princeton University,"Artificial Intelligence, Robotics, Computer Science","Artificial Intelligence, Computer Science, Data Science",https://ai-4-all.org/programs/,79,keep_separate,Different STEM fields
VAR_57,22,24,AI4ALL at Carnegie Mellon University,AI4ALL at UC Berkeley,"Artificial Intelligence, Robotics, Computer Science","Artificial Intelligence, Machine Learning, Computer Science",https://ai-4-all.org/programs/,56,keep_separate,Different STEM fields
VAR_58,22,25,AI4ALL at Carnegie Mellon University,AI4ALL at Boston University,"Artificial Intelligence, Robotics, Computer Science","Artificial Intelligence, Computer Science, Data Analysis",https://ai-4-all.org/programs/,73,keep_separate,Different STEM fields
VAR_59,22,26,AI4ALL at Carnegie Mellon University,AI4ALL at University of Michigan,"Artificial Intelligence, Robotics, Computer Science","Artificial Intelligence, Machine Learning, Ethics",https://ai-4-all.org/programs/,59,keep_separate,Different STEM fields
VAR_60,22,27,AI4ALL at Carnegie Mellon University,AI4ALL at Simon Fraser University,"Artificial Intelligence, Robotics, Computer Science","Artificial Intelligence, Computer Science, Sustainability",https://ai-4-all.org/programs/,72,keep_separate,Different STEM fields
VAR_61,22,28,AI4ALL at Carnegie Mellon University,AI4ALL at Columbia University,"Artificial Intelligence, Robotics, Computer Science","Artificial Intelligence, Data Science, Urban Technology",https://ai-4-all.org/programs/,71,keep_separate,Different STEM fields
VAR_62,22,29,AI4ALL at Carnegie Mellon University,AI4ALL at University of Illinois Urbana-Champaign,"Artificial Intelligence, Robotics, Computer Science","Artificial Intelligence, Computer Vision, NLP",https://ai-4-all.org/programs/,49,keep_separate,Different STEM fields
VAR_63,22,30,AI4ALL at Carnegie Mellon University,AI4ALL Online Programs,"Artificial Intelligence, Robotics, Computer Science","Artificial Intelligence, Machine Learning, Computer Science",https://ai-4-all.org/programs/,48,keep_separate,Different STEM fields
VAR_64,23,24,AI4ALL at Princeton University,AI4ALL at UC Berkeley,"Artificial Intelligence, Computer Science, Data Science","Artificial Intelligence, Machine Learning, Computer Science",https://ai-4-all.org/programs/,59,keep_separate,Different STEM fields
VAR_65,23,25,AI4ALL at Princeton University,AI4ALL at Boston University,"Artificial Intelligence, Computer Science, Data Science","Artificial Intelligence, Computer Science, Data Analysis",https://ai-4-all.org/programs/,84,keep_separate,Different STEM fields
VAR_66,23,26,AI4ALL at Princeton University,AI4ALL at University of Michigan,"Artificial Intelligence, Computer Science, Data Science","Artificial Intelligence, Machine Learning, Ethics",https://ai-4-all.org/programs/,65,keep_separate,Different STEM fields
VAR_67,23,27,AI4ALL at Princeton University,AI4ALL at Simon Fraser University,"Artificial Intelligence, Computer Science, Data Science","Artificial Intelligence, Computer Science, Sustainability",https://ai-4-all.org/programs/,76,keep_separate,Different STEM fields
VAR_68,23,28,AI4ALL at Princeton University,AI4ALL at Columbia University,"Artificial Intelligence, Computer Science, Data Science","Artificial Intelligence, Data Science, Urban Technology",https://ai-4-all.org/programs/,78,keep_separate,Different STEM fields
VAR_69,23,29,AI4ALL at Princeton University,AI4ALL at University of Illinois Urbana-Champaign,"Artificial Intelligence, Computer Science, Data Science","Artificial Intelligence, Computer Vision, NLP",https://ai-4-all.org/programs/,51,keep_separate,Different STEM fields
VAR_70,23,30,AI4ALL at Princeton University,AI4ALL Online Programs,"Artificial Intelligence, Computer Science, Data Science","Artificial Intelligence, Machine Learning, Computer Science",https://ai-4-all.org/programs/,50,keep_separate,Different STEM fields
VAR_71,24,25,AI4ALL at UC Berkeley,AI4ALL at Boston University,"Artificial Intelligence, Machine Learning, Computer Science","Artificial Intelligence, Computer Science, Data Analysis",https://ai-4-all.org/programs/,58,keep_separate,Different STEM fields
VAR_72,24,26,AI4ALL at UC Berkeley,AI4ALL at University of Michigan,"Artificial Intelligence, Machine Learning, Computer Science","Artificial Intelligence, Machine Learning, Ethics",https://ai-4-all.org/programs/,53,keep_separate,Different STEM fields
VAR_73,24,27,AI4ALL at UC Berkeley,AI4ALL at Simon Fraser University,"Artificial Intelligence, Machine Learning, Computer Science","Artificial Intelligence, Computer Science, Sustainability",https://ai-4-all.org/programs/,56,keep_separate,Different STEM fields
VAR_74,24,28,AI4ALL at UC Berkeley,AI4ALL at Columbia University,"Artificial Intelligence, Machine Learning, Computer Science","Artificial Intelligence, Data Science, Urban Technology",https://ai-4-all.org/programs/,60,keep_separate,Different STEM fields
VAR_75,24,29,AI4ALL at UC Berkeley,AI4ALL at University of Illinois Urbana-Champaign,"Artificial Intelligence, Machine Learning, Computer Science","Artificial Intelligence, Computer Vision, NLP",https://ai-4-all.org/programs/,40,keep_separate,Different STEM fields
VAR_76,24,30,AI4ALL at UC Berkeley,AI4ALL Online Programs,"Artificial Intelligence, Machine Learning, Computer Science","Artificial Intelligence, Machine Learning, Computer Science",https://ai-4-all.org/programs/,42,keep_separate,Different location (university)
VAR_77,25,26,AI4ALL at Boston University,AI4ALL at University of Michigan,"Artificial Intelligence, Computer Science, Data Analysis","Artificial Intelligence, Machine Learning, Ethics",https://ai-4-all.org/programs/,68,keep_separate,Different STEM fields
VAR_78,25,27,AI4ALL at Boston University,AI4ALL at Simon Fraser University,"Artificial Intelligence, Computer Science, Data Analysis","Artificial Intelligence, Computer Science, Sustainability",https://ai-4-all.org/programs/,80,keep_separate,Different STEM fields
VAR_79,25,28,AI4ALL at Boston University,AI4ALL at Columbia University,"Artificial Intelligence, Computer Science, Data Analysis","Artificial Intelligence, Data Science, Urban Technology",https://ai-4-all.org/programs/,79,keep_separate,Different STEM fields
VAR_80,25,29,AI4ALL at Boston University,AI4ALL at University of Illinois Urbana-Champaign,"Artificial Intelligence, Computer Science, Data Analysis","Artificial Intelligence, Computer Vision, NLP",https://ai-4-all.org/programs/,53,keep_separate,Different STEM fields
VAR_81,25,30,AI4ALL at Boston University,AI4ALL Online Programs,"Artificial Intelligence, Computer Science, Data Analysis","Artificial Intelligence, Machine Learning, Computer Science",https://ai-4-all.org/programs/,53,keep_separate,Different STEM fields
VAR_82,26,27,AI4ALL at University of Michigan,AI4ALL at Simon Fraser University,"Artificial Intelligence, Machine Learning, Ethics","Artificial Intelligence, Computer Science, Sustainability",https://ai-4-all.org/programs/,62,keep_separate,Different STEM fields
VAR_83,26,28,AI4ALL at University of Michigan,AI4ALL at Columbia University,"Artificial Intelligence, Machine Learning, Ethics","Artificial Intelligence, Data Science, Urban Technology",https://ai-4-all.org/programs/,66,keep_separate,Different STEM fields
VAR_84,26,29,AI4ALL at University of Michigan,AI4ALL at University of Illinois Urbana-Champaign,"Artificial Intelligence, Machine Learning, Ethics","Artificial Intelligence, Computer Vision, NLP",https://ai-4-all.org/programs/,74,keep_separate,Different STEM fields
VAR_85,26,30,AI4ALL at University of Michigan,AI4ALL Online Programs,"Artificial Intelligence, Machine Learning, Ethics","Artificial Intelligence, Machine Learning, Computer Science",https://ai-4-all.org/programs/,52,keep_separate,Different STEM fields
VAR_86,27,28,AI4ALL at Simon Fraser University,AI4ALL at Columbia University,"Artificial Intelligence, Computer Science, Sustainability","Artificial Intelligence, Data Science, Urban Technology",https://ai-4-all.org/programs/,74,keep_separate,Different STEM fields
VAR_87,27,29,AI4ALL at Simon Fraser University,AI4ALL at University of Illinois Urbana-Champaign,"Artificial Intelligence, Computer Science, Sustainability","Artificial Intelligence, Computer Vision, NLP",https://ai-4-all.org/programs/,49,keep_separate,Different STEM fields
VAR_88,27,30,AI4ALL at Simon Fraser University,AI4ALL Online Programs,"Artificial Intelligence, Computer Science, Sustainability","Artificial Intelligence, Machine Learning, Computer Science",https://ai-4-all.org/programs/,47,keep_separate,Different STEM fields
VAR_89,28,29,AI4ALL at Columbia University,AI4ALL at University of Illinois Urbana-Champaign,"Artificial Intelligence, Data Science, Urban Technology","Artificial Intelligence, Computer Vision, NLP",https://ai-4-all.org/programs/,51,keep_separate,Different STEM fields
VAR_90,28,30,AI4ALL at Columbia University,AI4ALL Online Programs,"Artificial Intelligence, Data Science, Urban Technology","Artificial Intelligence, Machine Learning, Computer Science",https://ai-4-all.org/programs/,55,keep_separate,Different STEM fields
VAR_91,29,30,AI4ALL at University of Illinois Urbana-Champaign,AI4ALL Online Programs,"Artificial Intelligence, Computer Vision, NLP","Artificial Intelligence, Machine Learning, Computer Science",https://ai-4-all.org/programs/,42,keep_separate,Different STEM fields
VAR_92,1374,1375,Amplify Science K - Needs of Plants and Animals,Amplify Science K - Pushes and Pulls,"Life Science, Biology, Ecology, Environmental Science","Physics, Forces, Motion, Engineering Design",https://amplify.com/programs/amplify-science,70,keep_separate,Different STEM fields
VAR_93,1374,1376,Amplify Science K - Needs of Plants and Animals,Amplify Science K - Sunlight and Weather,"Life Science, Biology, Ecology, Environmental Science","Earth Science, Weather, Astronomy, Climate",https://amplify.com/programs/amplify-science,67,keep_separate,Different STEM fields
VAR_94,1374,1377,Amplify Science K - Needs of Plants and Animals,Amplify Science 1 - Light and Sound,"Life Science, Biology, Ecology, Environmental Science","Physics, Light, Sound, Waves, Engineering",https://amplify.com/programs/amplify-science,66,keep_separate,Different STEM fields
VAR_95,1374,1378,Amplify Science K - Needs of Plants and Animals,Amplify Science 1 - Animal and Plant Defenses,"Life Science, Biology, Ecology, Environmental Science","Life Science, Biology, Adaptations, Biomimicry",https://amplify.com/programs/amplify-science,67,keep_separate,Different STEM fields
VAR_96,1374,1379,Amplify Science K - Needs of Plants and Animals,Amplify Science 1 - Spinning Earth,"Life Science, Biology, Ecology, Environmental Science","Astronomy, Earth Science, Space Science, Patterns",https://amplify.com/programs/amplify-science,62,keep_separate,Different STEM fields
VAR_97,1374,1380,Amplify Science K - Needs of Plants and Animals,Amplify Science 2 - Properties of Materials,"Life Science, Biology, Ecology, Environmental Science","Chemistry, Materials Science, Engineering, Physical Science",https://amplify.com/programs/amplify-science,71,keep_separate,Different STEM fields
VAR_98,1374,1381,Amplify Science K - Needs of Plants and Animals,Amplify Science 2 - Plant and Animal Relationships,"Life Science, Biology, Ecology, Environmental Science","Life Science, Ecology, Biology, Interdependence",https://amplify.com/programs/amplify-science,74,keep_separate,Different STEM fields
VAR_99,1374,1382,Amplify Science K - Needs of Plants and Animals,Amplify Science 2 - Changing Landforms,"Life Science, Biology, Ecology, Environmental Science","Earth Science, Geology, Erosion, Engineering",https://amplify.com/programs/amplify-science,64,keep_separate,Different STEM fields
VAR_100,1374,1383,Amplify Science K - Needs of Plants and Animals,Amplify Science 3 - Balancing Forces,"Life Science, Biology, Ecology, Environmental Science","Physics, Forces, Magnetism, Engineering Design",https://amplify.com/programs/amplify-science,60,keep_separate,Different STEM fields
VAR_101,1374,1384,Amplify Science K - Needs of Plants and Animals,Amplify Science 3 - Inheritance and Traits,"Life Science, Biology, Ecology, Environmental Science","Life Science, Genetics, Biology, Evolution",https://amplify.com/programs/amplify-science,70,keep_separate,Different STEM fields
VAR_102,1374,1385,Amplify Science K - Needs of Plants and Animals,Amplify Science 3 - Weather and Climate,"Life Science, Biology, Ecology, Environmental Science","Earth Science, Meteorology, Climate Science, Data Analysis",https://amplify.com/programs/amplify-science,70,keep_separate,Different STEM fields
VAR_103,1374,1386,Amplify Science K - Needs of Plants and Animals,Amplify Science 3 - Environments and Survival,"Life Science, Biology, Ecology, Environmental Science","Life Science, Ecology, Adaptations, Conservation",https://amplify.com/programs/amplify-science,70,keep_separate,Different STEM fields
VAR_104,1374,1387,Amplify Science K - Needs of Plants and Animals,Amplify Science 4 - Energy Conversions,"Life Science, Biology, Ecology, Environmental Science","Physics, Energy, Engineering, Physical Science",https://amplify.com/programs/amplify-science,64,keep_separate,Different STEM fields
VAR_105,1374,1388,Amplify Science K - Needs of Plants and Animals,Amplify Science 4 - Vision and Light,"Life Science, Biology, Ecology, Environmental Science","Physics, Biology, Light, Vision, Engineering",https://amplify.com/programs/amplify-science,67,keep_separate,Different STEM fields
VAR_106,1374,1389,Amplify Science K - Needs of Plants and Animals,Amplify Science 4 - Earth's Features,"Life Science, Biology, Ecology, Environmental Science","Earth Science, Geology, Plate Tectonics, Natural Hazards",https://amplify.com/programs/amplify-science,63,keep_separate,Different STEM fields
VAR_107,1374,1390,Amplify Science K - Needs of Plants and Animals,"Amplify Science 4 - Waves, Energy, and Information","Life Science, Biology, Ecology, Environmental Science","Physics, Waves, Communication Technology, Engineering",https://amplify.com/programs/amplify-science,64,keep_separate,Different STEM fields
VAR_108,1374,1391,Amplify Science K - Needs of Plants and Animals,Amplify Science 5 - Patterns of Earth and Sky,"Life Science, Biology, Ecology, Environmental Science","Astronomy, Earth Science, Space Science, Patterns",https://amplify.com/programs/amplify-science,72,keep_separate,Different STEM fields
VAR_109,1374,1392,Amplify Science K - Needs of Plants and Animals,Amplify Science 5 - Modeling Matter,"Life Science, Biology, Ecology, Environmental Science","Chemistry, Matter, Physical Science, Molecular Science",https://amplify.com/programs/amplify-science,61,keep_separate,Different STEM fields
VAR_110,1374,1393,Amplify Science K - Needs of Plants and Animals,Amplify Science 5 - Ecosystem Restoration,"Life Science, Biology, Ecology, Environmental Science","Life Science, Ecology, Environmental Science, Conservation",https://amplify.com/programs/amplify-science,59,keep_separate,Different STEM fields
VAR_111,1374,1394,Amplify Science K - Needs of Plants and Animals,Amplify Science 5 - Earth's Water,"Life Science, Biology, Ecology, Environmental Science","Earth Science, Hydrology, Environmental Science, Engineering",https://amplify.com/programs/amplify-science,62,keep_separate,Different STEM fields
VAR_112,1374,1395,Amplify Science K - Needs of Plants and Animals,Amplify Science 6 - Cells and Systems,"Life Science, Biology, Ecology, Environmental Science","Life Science, Biology, Anatomy, Physiology",https://amplify.com/programs/amplify-science,69,keep_separate,Different STEM fields
VAR_113,1374,1396,Amplify Science K - Needs of Plants and Animals,Amplify Science 6 - Plate Tectonics and Rock Cycling,"Life Science, Biology, Ecology, Environmental Science","Earth Science, Geology, Plate Tectonics, Geophysics",https://amplify.com/programs/amplify-science,61,keep_separate,Different STEM fields
VAR_114,1374,1397,Amplify Science K - Needs of Plants and Animals,Amplify Science 6 - Thermal Energy,"Life Science, Biology, Ecology, Environmental Science","Physics, Thermodynamics, Energy, Engineering",https://amplify.com/programs/amplify-science,57,keep_separate,Different STEM fields
VAR_115,1374,1398,Amplify Science K - Needs of Plants and Animals,Amplify Science 6 - Weather Patterns,"Life Science, Biology, Ecology, Environmental Science","Earth Science, Meteorology, Atmospheric Science, Data Analysis",https://amplify.com/programs/amplify-science,65,keep_separate,Different STEM fields
VAR_116,1374,1399,Amplify Science K - Needs of Plants and Animals,Amplify Science 7 - Chemical Reactions,"Life Science, Biology, Ecology, Environmental Science","Chemistry, Chemical Reactions, Physical Science, Molecular Science",https://amplify.com/programs/amplify-science,59,keep_separate,Different STEM fields
VAR_117,1374,1400,Amplify Science K - Needs of Plants and Animals,Amplify Science 7 - Populations and Resources,"Life Science, Biology, Ecology, Environmental Science","Life Science, Ecology, Population Biology, Environmental Science",https://amplify.com/programs/amplify-science,67,keep_separate,Different STEM fields
VAR_118,1374,1401,Amplify Science K - Needs of Plants and Animals,Amplify Science 7 - Rock Transformations,"Life Science, Biology, Ecology, Environmental Science","Earth Science, Geology, Mineralogy, Petrology",https://amplify.com/programs/amplify-science,62,keep_separate,Different STEM fields
