name,original,enhanced,original_words,enhanced_words
Brilliant.org Probability and Statistics,"Interactive probability and statistics course. Learn through games, puzzles, and real-world problems. Covers distributions, inference, and data analysis. Build statistical intuition. Great for AP Statistics preparation.","Interactive probability and statistics course. Learn through games, puzzles, and real-world problems. Covers distributions, inference, and data analysis. Build statistical intuition. Great for AP Statistics preparation. This Online Course focuses on Mathematics, Statistics and serves grade 9-12 students. The program requires Self-paced commitment, free, available online. Prerequisites: Basic level.",26,49
Brilliant.org Chemistry,"Interactive chemistry exploring atoms, molecules, reactions, and chemical principles. Visual approach to understanding chemical concepts. Labs and simulations. Covers general chemistry topics. Great supplement to school chemistry.","Interactive chemistry exploring atoms, molecules, reactions, and chemical principles. Visual approach to understanding chemical concepts. Labs and simulations. Covers general chemistry topics. Great supplement to school chemistry. This Online Course focuses on Chemistry and serves grade 9-12 students. The program requires Self-paced commitment, free, available online. Prerequisites: Basic level.",27,49
Brilliant.org Number Theory,"Explore patterns in numbers through interactive problems. Learn divisibility, primes, modular arithmetic, and cryptography applications. Great for math competition preparation. Challenge problems for advanced students.","Explore patterns in numbers through interactive problems. Learn divisibility, primes, modular arithmetic, and cryptography applications. Great for math competition preparation. Challenge problems for advanced students. This Online Course focuses on Mathematics and serves grade 9-12 students. The program requires Self-paced commitment, free, available online. Prerequisites: Medium level.",25,47
Brilliant.org Logic and Deduction,"Develop logical thinking through puzzles and problems. Learn propositional logic, proof techniques, and reasoning. Great for critical thinking skills. Accessible to beginners. Applications to mathematics and computer science.","Develop logical thinking through puzzles and problems. Learn propositional logic, proof techniques, and reasoning. Great for critical thinking skills. Accessible to beginners. Applications to mathematics and computer science. This Online Course focuses on Mathematics, Logic and serves grade 8-12 students. The program requires Self-paced commitment, free, available online.",28,48
Brilliant.org Daily Challenges,"Free daily problem-solving challenges across all STEM subjects. New problems every day in math, science, computer science, and engineering. Build problem-solving streak. Community discussions and solutions. Great daily practice.","Free daily problem-solving challenges across all STEM subjects. New problems every day in math, science, computer science, and engineering. Build problem-solving streak. Community discussions and solutions. Great daily practice. This Online Course focuses on All STEM fields and serves grade 6-12 students. The program requires 15 minutes daily commitment, free, available online. Prerequisites: Basic level.",29,55
Brilliant.org Quantum Computing,"Introduction to quantum computing concepts through interactive visualizations. Learn qubits, quantum gates, and quantum algorithms. No physics background required. Build intuition for cutting-edge technology. Great for curious students.","Introduction to quantum computing concepts through interactive visualizations. Learn qubits, quantum gates, and quantum algorithms. No physics background required. Build intuition for cutting-edge technology. Great for curious students. This Online Course focuses on Computer Science, Physics and serves grade 11-12 students. The program requires Self-paced commitment, free, available online. Prerequisites: High level.",28,52
Brilliant.org Scientific Thinking,"Learn scientific method, experimental design, and data analysis. Develop skepticism and critical thinking. Interactive experiments and case studies. Great foundation for all sciences. Accessible to all students.","Learn scientific method, experimental design, and data analysis. Develop skepticism and critical thinking. Interactive experiments and case studies. Great foundation for all sciences. Accessible to all students. This Online Course focuses on Science and serves grade 7-12 students. The program requires Self-paced commitment, free, available online.",27,46
Brilliant.org Math Competition Preparation,"Advanced problem-solving for math competitions like AMC, MATHCOUNTS, and olympiads. Challenging problems and elegant solutions. Build competition skills. Learn problem-solving techniques. Great for ambitious math students.","Advanced problem-solving for math competitions like AMC, MATHCOUNTS, and olympiads. Challenging problems and elegant solutions. Build competition skills. Learn problem-solving techniques. Great for ambitious math students. This Online Course focuses on Mathematics and serves grade 8-12 students. The program requires Self-paced commitment, free, available online. Prerequisites: High level.",26,48
Pre-College Programs,Pre-College Programs,"Pre-College Programs This Summer Program focuses on Technology and serves grade 10-12 students. The program requires 3-6 weeks commitment, 7500, available residential. Prerequisites: Medium level.",2,25
Academic Programs,Carnegie Mellon Pre-College program focusing on Academic Programs. Intensive summer program for high school students on CMU's Pittsburgh campus.,"Carnegie Mellon Pre-College program focusing on Academic Programs. Intensive summer program for high school students on CMU's Pittsburgh campus. This Summer Program focuses on Technology and serves grade 10-12 students. The program requires 3-6 weeks commitment, 7500, available residential. Prerequisites: Medium level.",19,42
Community Engagement & Leadership Development,Community Engagement & Leadership Development,"Community Engagement & Leadership Development This Summer Program focuses on Technology and serves grade 10-12 students. The program requires 3-6 weeks commitment, 7500, available residential. Prerequisites: Medium level.",5,28
Introduction to Computer Science and Programming,"MIT course introducing computational problem-solving using Python. Learn algorithms, data structures, testing, and debugging. Covers programming fundamentals and computational thinking. Challenging but accessible to motivated high school students.","MIT course introducing computational problem-solving using Python. Learn algorithms, data structures, testing, and debugging. Covers programming fundamentals and computational thinking. Challenging but accessible to motivated high school students. This Online Course focuses on Computer Science and serves grade 10-12 students. The program requires 6 weeks at 10-12 hours/week commitment, free, available online.",28,52
Code Yourself! An Introduction to Programming,"University of Edinburgh course teaching programming basics using Scratch. Visual programming introduction perfect for beginners. Learn computational thinking, algorithms, and problem-solving. Fun, interactive approach to coding fundamentals.","University of Edinburgh course teaching programming basics using Scratch. Visual programming introduction perfect for beginners. Learn computational thinking, algorithms, and problem-solving. Fun, interactive approach to coding fundamentals. This Online Course focuses on Computer Science and serves grade 6-10 students. The program requires 5 weeks at 3-5 hours/week commitment, free, available online.",27,51
Introduction to Calculus,"University of Sydney course covering limits, derivatives, and integration fundamentals. Preparation for AP Calculus or university mathematics. Clear explanations with worked examples. Suitable for advanced high school students.","University of Sydney course covering limits, derivatives, and integration fundamentals. Preparation for AP Calculus or university mathematics. Clear explanations with worked examples. Suitable for advanced high school students. This Online Course focuses on Mathematics and serves grade 11-12 students. The program requires 8 weeks at 8-10 hours/week commitment, free, available online. Prerequisites: High level.",28,54
Introduction to Data Science,"IBM course introducing data science concepts and tools. Learn Python, data analysis, visualization, and machine learning basics. Hands-on labs using real datasets. Great for students interested in STEM careers.","IBM course introducing data science concepts and tools. Learn Python, data analysis, visualization, and machine learning basics. Hands-on labs using real datasets. Great for students interested in STEM careers. This Online Course focuses on Computer Science, Data Science and serves grade 10-12 students. The program requires 4 weeks at 2-3 hours/week commitment, free, available online.",29,55
Introduction to Chemistry: Reactions and Ratios,"Duke University chemistry course covering atomic structure, chemical reactions, and stoichiometry. Lab demonstrations and problem-solving practice. Excellent preparation for AP Chemistry or college chemistry.","Duke University chemistry course covering atomic structure, chemical reactions, and stoichiometry. Lab demonstrations and problem-solving practice. Excellent preparation for AP Chemistry or college chemistry. This Online Course focuses on Chemistry and serves grade 9-12 students. The program requires 7 weeks at 4-6 hours/week commitment, free, available online. Prerequisites: Basic level.",24,50
Introduction to Physics,"University of Virginia course covering mechanics, energy, momentum, and basic physics principles. Algebra-based physics suitable for high school students. Clear explanations and problem-solving practice.","University of Virginia course covering mechanics, energy, momentum, and basic physics principles. Algebra-based physics suitable for high school students. Clear explanations and problem-solving practice. This Online Course focuses on Physics and serves grade 9-12 students. The program requires 8 weeks at 6-8 hours/week commitment, free, available online. Prerequisites: Medium level.",24,50
Machine Learning,"Stanford University course by Andrew Ng introducing machine learning algorithms and applications. Learn supervised learning, neural networks, and best practices. Challenging but accessible to motivated students with math background.","Stanford University course by Andrew Ng introducing machine learning algorithms and applications. Learn supervised learning, neural networks, and best practices. Challenging but accessible to motivated students with math background. This Online Course focuses on Computer Science, Artificial Intelligence and serves grade 11-12 students. The program requires 11 weeks at 7-10 hours/week commitment, free, available online. Prerequisites: High level.",29,58
Introduction to Biology,"MIT introductory biology course covering biochemistry, genetics, molecular biology, and cell biology. University-level content accessible to advanced high school students. Rich multimedia content and problem sets.","MIT introductory biology course covering biochemistry, genetics, molecular biology, and cell biology. University-level content accessible to advanced high school students. Rich multimedia content and problem sets. This Online Course focuses on Biology and serves grade 10-12 students. The program requires 8 weeks at 6-8 hours/week commitment, free, available online. Prerequisites: Basic level.",26,52
Web Design for Everybody,"University of Michigan specialization teaching HTML, CSS, JavaScript, and responsive design. Build real websites and portfolios. Five-course series from beginner to advanced. Great for students interested in web development.","University of Michigan specialization teaching HTML, CSS, JavaScript, and responsive design. Build real websites and portfolios. Five-course series from beginner to advanced. Great for students interested in web development. This Online Course focuses on Computer Science and serves grade 9-12 students. The program requires 6 months at 3-4 hours/week commitment, free, available online.",29,53
Mathematics for Machine Learning,"Imperial College London specialization covering linear algebra, calculus, and statistics for machine learning. Strong math foundation for advanced CS topics. Suitable for students with precalculus background.","Imperial College London specialization covering linear algebra, calculus, and statistics for machine learning. Strong math foundation for advanced CS topics. Suitable for students with precalculus background. This Online Course focuses on Mathematics, Computer Science and serves grade 11-12 students. The program requires 4 months at 6-8 hours/week commitment, free, available online. Prerequisites: High level.",26,54
Cybersecurity Fundamentals,"RIT course introducing cybersecurity principles, network security, and cryptography. Learn about threats, vulnerabilities, and security best practices. Hands-on labs and real-world scenarios.","RIT course introducing cybersecurity principles, network security, and cryptography. Learn about threats, vulnerabilities, and security best practices. Hands-on labs and real-world scenarios. This Online Course focuses on Computer Science, Cybersecurity and serves grade 10-12 students. The program requires 4 weeks at 3-5 hours/week commitment, free, available online. Prerequisites: Basic level.",22,50
Introduction to Environmental Science,"Dartmouth course exploring environmental challenges including climate change, biodiversity, and sustainability. Interdisciplinary approach combining biology, chemistry, and social sciences. Great for environmentally-conscious students.","Dartmouth course exploring environmental challenges including climate change, biodiversity, and sustainability. Interdisciplinary approach combining biology, chemistry, and social sciences. Great for environmentally-conscious students. This Online Course focuses on Environmental Science and serves grade 9-12 students. The program requires 6 weeks at 4-6 hours/week commitment, free, available online.",23,47
Robotics: Foundations,"University of Pennsylvania course introducing robotics concepts including kinematics, dynamics, and control. Learn robot programming and simulation. Great for students interested in engineering and automation.","University of Pennsylvania course introducing robotics concepts including kinematics, dynamics, and control. Learn robot programming and simulation. Great for students interested in engineering and automation. This Online Course focuses on Engineering, Robotics and serves grade 10-12 students. The program requires 5 weeks at 5-7 hours/week commitment, free, available online. Prerequisites: Medium level.",25,52
Game Design and Development,"Michigan State University specialization teaching game design principles and Unity development. Learn programming, graphics, and user experience design through game creation. Five-course series covering full game development pipeline.","Michigan State University specialization teaching game design principles and Unity development. Learn programming, graphics, and user experience design through game creation. Five-course series covering full game development pipeline. This Online Course focuses on Computer Science and serves grade 9-12 students. The program requires 5 months at 5-7 hours/week commitment, free, available online. Prerequisites: Basic level.",28,55
Statistics with R,"Duke University specialization teaching statistical concepts and R programming. Learn data analysis, probability, inference, and regression modeling. Five-course series with practical data projects.","Duke University specialization teaching statistical concepts and R programming. Learn data analysis, probability, inference, and regression modeling. Five-course series with practical data projects. This Online Course focuses on Mathematics, Statistics and serves grade 10-12 students. The program requires 7 months at 5-7 hours/week commitment, free, available online. Prerequisites: Medium level.",23,50
Introduction to Engineering,"Exploration of engineering disciplines including mechanical, electrical, civil, and computer engineering. Learn about design process, problem-solving, and engineering careers. Great for students considering engineering majors.","Exploration of engineering disciplines including mechanical, electrical, civil, and computer engineering. Learn about design process, problem-solving, and engineering careers. Great for students considering engineering majors. This Online Course focuses on Engineering and serves grade 9-12 students. The program requires 4 weeks at 3-5 hours/week commitment, free, available online.",25,48
Algorithms Specialization,"Stanford University four-course specialization covering fundamental algorithms and data structures. Learn graph algorithms, greedy algorithms, dynamic programming, and more. Challenging content for advanced students.","Stanford University four-course specialization covering fundamental algorithms and data structures. Learn graph algorithms, greedy algorithms, dynamic programming, and more. Challenging content for advanced students. This Online Course focuses on Computer Science and serves grade 11-12 students. The program requires 4 months at 8-10 hours/week commitment, free, available online. Prerequisites: High level.",24,51
Introduction to Python Programming,"Georgia Tech course introducing Python programming fundamentals. Learn variables, conditionals, loops, functions, and object-oriented programming. Designed for beginners with no prior coding experience. Hands-on coding exercises and projects.","Georgia Tech course introducing Python programming fundamentals. Learn variables, conditionals, loops, functions, and object-oriented programming. Designed for beginners with no prior coding experience. Hands-on coding exercises and projects. This Online Course focuses on Computer Science and serves grade 9-12 students. The program requires 9-10 hours per week commitment, free, available online.",28,51
Introduction to Biology: The Secret of Life,"MIT course exploring fundamental principles of biology. Topics include biochemistry, genetics, molecular biology, recombinant DNA, genomics, and medicine. Taught by MIT professors. Excellent preparation for advanced biology studies.","MIT course exploring fundamental principles of biology. Topics include biochemistry, genetics, molecular biology, recombinant DNA, genomics, and medicine. Taught by MIT professors. Excellent preparation for advanced biology studies. This Online Course focuses on Biology and serves grade 10-12 students. The program requires 12-16 hours per week commitment, free, available online. Prerequisites: Basic level.",28,53
Introduction to Engineering and Design,"Explore engineering design process through hands-on projects. Learn problem-solving, prototyping, and teamwork. Covers mechanical, electrical, and civil engineering fundamentals. Suitable for students considering engineering careers.","Explore engineering design process through hands-on projects. Learn problem-solving, prototyping, and teamwork. Covers mechanical, electrical, and civil engineering fundamentals. Suitable for students considering engineering careers. This Online Course focuses on Engineering and serves grade 9-12 students. The program requires 6-8 hours per week commitment, free, available online.",25,47
Calculus 1A: Differentiation,"MIT course covering single-variable calculus differentiation. Learn limits, continuity, derivatives, and applications. First part of MIT's three-part calculus series. Interactive problem sets and animations. Excellent AP Calculus preparation.","MIT course covering single-variable calculus differentiation. Learn limits, continuity, derivatives, and applications. First part of MIT's three-part calculus series. Interactive problem sets and animations. Excellent AP Calculus preparation. This Online Course focuses on Mathematics and serves grade 11-12 students. The program requires 6-10 hours per week commitment, free, available online. Prerequisites: High level.",28,53
Calculus 1B: Integration,"MIT course covering integration techniques and applications. Definite and indefinite integrals, Fundamental Theorem of Calculus, applications to geometry and science. Second part of MIT's calculus series.","MIT course covering integration techniques and applications. Definite and indefinite integrals, Fundamental Theorem of Calculus, applications to geometry and science. Second part of MIT's calculus series. This Online Course focuses on Mathematics and serves grade 11-12 students. The program requires 6-10 hours per week commitment, free, available online. Prerequisites: High level.",26,51
Introduction to Chemistry: Reactions and Ratios,"Duke University course covering fundamental chemistry concepts. Atomic structure, chemical reactions, stoichiometry, and the periodic table. Hands-on problem-solving and real-world applications. Great preparation for AP Chemistry.","Duke University course covering fundamental chemistry concepts. Atomic structure, chemical reactions, stoichiometry, and the periodic table. Hands-on problem-solving and real-world applications. Great preparation for AP Chemistry. This Online Course focuses on Chemistry and serves grade 9-12 students. The program requires 5-7 hours per week commitment, free, available online. Prerequisites: Basic level.",26,51
Introduction to Environmental Science,"Dartmouth College course exploring environmental challenges and solutions. Topics include climate change, biodiversity, sustainability, and conservation. Interdisciplinary approach combining biology, chemistry, physics, and social sciences.","Dartmouth College course exploring environmental challenges and solutions. Topics include climate change, biodiversity, sustainability, and conservation. Interdisciplinary approach combining biology, chemistry, physics, and social sciences. This Online Course focuses on Environmental Science and serves grade 9-12 students. The program requires 4-6 hours per week commitment, free, available online.",25,48
AP Physics 1: Mechanics,"Rice University course covering classical mechanics for AP Physics 1 exam. Kinematics, Newton's laws, energy, momentum, rotational motion, and waves. Algebra-based physics with hands-on problem-solving.","Rice University course covering classical mechanics for AP Physics 1 exam. Kinematics, Newton's laws, energy, momentum, rotational motion, and waves. Algebra-based physics with hands-on problem-solving. This Online Course focuses on Physics and serves grade 10-12 students. The program requires 8-10 hours per week commitment, free, available online. Prerequisites: Medium level.",25,50
Data Science: R Basics,"Harvard University course introducing R programming for data science. Learn data manipulation, visualization, and statistical analysis. Part of HarvardX Data Science Professional Certificate. No prior programming required.","Harvard University course introducing R programming for data science. Learn data manipulation, visualization, and statistical analysis. Part of HarvardX Data Science Professional Certificate. No prior programming required. This Online Course focuses on Data Science, Computer Science and serves grade 10-12 students. The program requires 1-2 hours per week commitment, free, available online.",27,52
Introduction to Cybersecurity,"University of Washington course covering cybersecurity fundamentals. Network security, cryptography, ethical hacking, and security best practices. Hands-on labs and real-world scenarios. Great introduction to cybersecurity careers.","University of Washington course covering cybersecurity fundamentals. Network security, cryptography, ethical hacking, and security best practices. Hands-on labs and real-world scenarios. Great introduction to cybersecurity careers. This Online Course focuses on Computer Science, Cybersecurity and serves grade 10-12 students. The program requires 4-6 hours per week commitment, free, available online. Prerequisites: Basic level.",26,53
Web Development for Beginners,"Microsoft course teaching HTML, CSS, and JavaScript basics. Build responsive websites and interactive web applications. Project-based learning with real-world examples. No prior experience needed.","Microsoft course teaching HTML, CSS, and JavaScript basics. Build responsive websites and interactive web applications. Project-based learning with real-world examples. No prior experience needed. This Online Course focuses on Computer Science and serves grade 9-12 students. The program requires 3-5 hours per week commitment, free, available online.",24,47
Introduction to Artificial Intelligence (AI),"Columbia University course introducing AI concepts and applications. Machine learning, neural networks, natural language processing, and robotics. Explore AI ethics and societal impacts. Python programming used.","Columbia University course introducing AI concepts and applications. Machine learning, neural networks, natural language processing, and robotics. Explore AI ethics and societal impacts. Python programming used. This Online Course focuses on Computer Science, Artificial Intelligence and serves grade 11-12 students. The program requires 8-10 hours per week commitment, free, available online. Prerequisites: Medium level.",26,54
Introduction to Robotics,"University of Pennsylvania course exploring robotics fundamentals. Kinematics, dynamics, control systems, and robot programming. Hands-on simulations and projects. Great for students interested in engineering and automation.","University of Pennsylvania course exploring robotics fundamentals. Kinematics, dynamics, control systems, and robot programming. Hands-on simulations and projects. Great for students interested in engineering and automation. This Online Course focuses on Engineering, Robotics and serves grade 10-12 students. The program requires 5-7 hours per week commitment, free, available online. Prerequisites: Medium level.",26,52
Statistics and Probability,"Stanford University course covering probability theory and statistical inference. Descriptive statistics, probability distributions, hypothesis testing, and regression analysis. Applications to real-world data. Excellent for AP Statistics preparation.","Stanford University course covering probability theory and statistical inference. Descriptive statistics, probability distributions, hypothesis testing, and regression analysis. Applications to real-world data. Excellent for AP Statistics preparation. This Online Course focuses on Mathematics, Statistics and serves grade 10-12 students. The program requires 5-8 hours per week commitment, free, available online. Prerequisites: Medium level.",27,53
Electronics for Beginners,"Explore basic electronics circuits, components, and principles. Learn about resistors, capacitors, transistors, and integrated circuits. Hands-on circuit building and troubleshooting. Great foundation for electrical engineering.","Explore basic electronics circuits, components, and principles. Learn about resistors, capacitors, transistors, and integrated circuits. Hands-on circuit building and troubleshooting. Great foundation for electrical engineering. This Online Course focuses on Engineering, Electronics and serves grade 9-12 students. The program requires 4-6 hours per week commitment, free, available online. Prerequisites: Basic level.",25,51
Introduction to Quantum Computing,"MIT course introducing quantum computing concepts. Quantum mechanics basics, qubits, quantum gates, and quantum algorithms. Explore cutting-edge technology and future applications. Advanced high school students with strong math background.","MIT course introducing quantum computing concepts. Quantum mechanics basics, qubits, quantum gates, and quantum algorithms. Explore cutting-edge technology and future applications. Advanced high school students with strong math background. This Online Course focuses on Computer Science, Physics and serves grade 11-12 students. The program requires 6-8 hours per week commitment, free, available online. Prerequisites: High level.",29,56
Relational Database Certification,"Learn SQL, PostgreSQL, and database design. Master database queries, joins, and optimization. Complete database projects. 300 hours estimated. Essential skill for back-end development and data analysis. Industry-standard technology.","Learn SQL, PostgreSQL, and database design. Master database queries, joins, and optimization. Complete database projects. 300 hours estimated. Essential skill for back-end development and data analysis. Industry-standard technology. This Programming Certification focuses on Computer Science, Databases and serves grade 11-12 students. The program requires 300 hours commitment, free, available online. Prerequisites: Medium level.",28,53
Khan Academy Early Math,"Foundational math skills for young learners including counting, addition, subtraction, shapes, and measurement. Interactive exercises and videos. Builds number sense and mathematical thinking. Kindergarten through 2nd grade content.","Foundational math skills for young learners including counting, addition, subtraction, shapes, and measurement. Interactive exercises and videos. Builds number sense and mathematical thinking. Kindergarten through 2nd grade content. This Online Course focuses on Mathematics and serves grade K-2 students. The program requires Self-paced commitment, free, available online.",28,47
Khan Academy Arithmetic,"Core arithmetic skills including addition, subtraction, multiplication, division, fractions, and decimals. Practice exercises with instant feedback. Mastery-based progression. Elementary and middle school mathematics fundamentals.","Core arithmetic skills including addition, subtraction, multiplication, division, fractions, and decimals. Practice exercises with instant feedback. Mastery-based progression. Elementary and middle school mathematics fundamentals. This Online Course focuses on Mathematics and serves grade 3-6 students. The program requires Self-paced commitment, free, available online. Prerequisites: Basic level.",24,46
Khan Academy Pre-Algebra,"Pre-algebra topics including negative numbers, exponents, order of operations, variables, and equations. Prepares students for algebra. Interactive practice and instructional videos. Middle school mathematics.","Pre-algebra topics including negative numbers, exponents, order of operations, variables, and equations. Prepares students for algebra. Interactive practice and instructional videos. Middle school mathematics. This Online Course focuses on Mathematics and serves grade 7-8 students. The program requires Self-paced commitment, free, available online. Prerequisites: Basic level.",24,46
Khan Academy Algebra 1,"Complete Algebra 1 curriculum including linear equations, inequalities, functions, polynomials, and quadratic equations. Aligned with Common Core standards. Videos, practice problems, and assessments. High school mathematics.","Complete Algebra 1 curriculum including linear equations, inequalities, functions, polynomials, and quadratic equations. Aligned with Common Core standards. Videos, practice problems, and assessments. High school mathematics. This Online Course focuses on Mathematics and serves grade 9-10 students. The program requires Self-paced commitment, free, available online. Prerequisites: Medium level.",26,48
Khan Academy Geometry,"Comprehensive geometry course covering angles, triangles, circles, polygons, coordinate geometry, and geometric proofs. Interactive constructions and problem-solving. Aligned with high school geometry standards.","Comprehensive geometry course covering angles, triangles, circles, polygons, coordinate geometry, and geometric proofs. Interactive constructions and problem-solving. Aligned with high school geometry standards. This Online Course focuses on Mathematics and serves grade 9-10 students. The program requires Self-paced commitment, free, available online. Prerequisites: Medium level.",23,45
Khan Academy Algebra 2,"Advanced algebra topics including polynomials, rational expressions, exponential and logarithmic functions, trigonometry, and complex numbers. Prepares for precalculus. High school mathematics.","Advanced algebra topics including polynomials, rational expressions, exponential and logarithmic functions, trigonometry, and complex numbers. Prepares for precalculus. High school mathematics. This Online Course focuses on Mathematics and serves grade 10-11 students. The program requires Self-paced commitment, free, available online. Prerequisites: High level.",21,43
Khan Academy Trigonometry,"Trigonometric functions, identities, equations, and applications. Right triangle trigonometry, unit circle, graphs, and laws of sines and cosines. Essential for calculus preparation.","Trigonometric functions, identities, equations, and applications. Right triangle trigonometry, unit circle, graphs, and laws of sines and cosines. Essential for calculus preparation. This Online Course focuses on Mathematics and serves grade 10-11 students. The program requires Self-paced commitment, free, available online. Prerequisites: High level.",22,44
Khan Academy Precalculus,"Pre-calculus topics including functions, conic sections, vectors, matrices, series, and limits. Prepares students for AP Calculus. Advanced high school mathematics.","Pre-calculus topics including functions, conic sections, vectors, matrices, series, and limits. Prepares students for AP Calculus. Advanced high school mathematics. This Online Course focuses on Mathematics and serves grade 11-12 students. The program requires Self-paced commitment, free, available online. Prerequisites: High level.",20,42
Khan Academy AP Calculus AB,"Complete AP Calculus AB curriculum including limits, derivatives, integrals, and Fundamental Theorem of Calculus. Practice problems aligned with AP exam. Video lessons and test preparation.","Complete AP Calculus AB curriculum including limits, derivatives, integrals, and Fundamental Theorem of Calculus. Practice problems aligned with AP exam. Video lessons and test preparation. This Online Course focuses on Mathematics and serves grade 11-12 students. The program requires Self-paced commitment, free, available online. Prerequisites: High level.",25,47
Khan Academy AP Calculus BC,"Advanced calculus topics including series, parametric equations, polar coordinates, and advanced integration techniques. Full AP Calculus BC curriculum. College-level mathematics.","Advanced calculus topics including series, parametric equations, polar coordinates, and advanced integration techniques. Full AP Calculus BC curriculum. College-level mathematics. This Online Course focuses on Mathematics and serves grade 11-12 students. The program requires Self-paced commitment, free, available online. Prerequisites: High level.",20,42
Khan Academy Statistics and Probability,"Introduction to statistics and probability including data analysis, probability theory, distributions, inference, and hypothesis testing. Real-world applications and data interpretation.","Introduction to statistics and probability including data analysis, probability theory, distributions, inference, and hypothesis testing. Real-world applications and data interpretation. This Online Course focuses on Mathematics and serves grade 9-12 students. The program requires Self-paced commitment, free, available online. Prerequisites: Medium level.",20,42
