name,description,url,source,category,stem_fields,target_grade,cost,location_type,time_commitment,prerequisite_level,support_level,deadline,financial_barrier_level,financial_aid_available,family_income_consideration,hidden_costs_level,cost_category,diversity_focus,underrepresented_friendly,first_gen_support,cultural_competency,rural_accessible,transportation_required,internet_dependency,regional_availability,family_involvement_required,peer_network_building,mentor_access_level,source_file,program_family
Discover Chemistry,"Explore the interesting world of science with articles, videos and more.",https://www.acs.org/education/students.html,American Chemical Society,Chemistry Program,"Chemistry, Chemical Engineering",9-12,Free,Hybrid,Flexible,Basic,High,Check ACS website,,False,False,,Free,True,True,False,High,True,False,Basic,National,Optional,True,Professional,acs_programs,
Student Programs & Resources,Student Programs & Resources,https://www.acs.org/education/students.html,American Chemical Society,Chemistry Program,"Chemistry, Chemical Engineering",9-12,Free,Hybrid,Flexible,Basic,High,Check ACS website,,False,False,,Free,True,True,False,High,True,False,Basic,National,Optional,True,Professional,acs_programs,
High School Chemistry Student Programs and Resources,High School Chemistry Student Programs and Resources,https://www.acs.org/education/students/highschool.html,American Chemical Society,Chemistry Program,"Chemistry, Chemical Engineering",9-12,Free,School-based,Flexible,Basic,High,Check ACS website,,False,False,,Free,True,True,False,High,False,False,Basic,National,Optional,True,Professional,acs_programs,
National Chemistry Week 2025The Hidden Life of Spices,National Chemistry Week 2025The Hidden Life of Spices,https://www.acs.org/education/outreach/celebrating-chemistry-editions.html,American Chemical Society,Outreach Program,"Chemistry, Chemical Engineering",9-12,Free,Hybrid,Flexible,Basic,High,Check ACS website,,False,False,,Free,True,True,False,High,True,False,Basic,National,Optional,True,Professional,acs_programs,
Celebrating Chemistryin Print,Celebrating Chemistryin Print,https://www.acs.org/education/outreach/celebrating-chemistry-editions.html,American Chemical Society,Outreach Program,"Chemistry, Chemical Engineering",9-12,Free,Hybrid,Flexible,Basic,High,Check ACS website,,False,False,,Free,True,True,False,High,True,False,Basic,National,Optional,True,Professional,acs_programs,
Past Issues ofCelebrating Chemistry,Past Issues ofCelebrating Chemistry,https://www.acs.org/education/outreach/celebrating-chemistry-editions.html,American Chemical Society,Outreach Program,"Chemistry, Chemical Engineering",9-12,Free,Hybrid,Flexible,Basic,High,Check ACS website,,False,False,,Free,True,True,False,High,True,False,Basic,National,Optional,True,Professional,acs_programs,
National Chemistry Week Editions,National Chemistry Week Editions,https://www.acs.org/education/outreach/celebrating-chemistry-editions.html,American Chemical Society,Outreach Program,"Chemistry, Chemical Engineering",9-12,Free,Hybrid,Flexible,Basic,High,Check ACS website,,False,False,,Free,True,True,False,High,True,False,Basic,National,Optional,True,Professional,acs_programs,
AI4ALL at Stanford University,"Intensive 2-week residential AI summer program at Stanford. Learn machine learning fundamentals, neural networks, computer vision, and NLP. Hands-on projects with real-world datasets. Mentorship from Stanford faculty and graduate students. Explore AI ethics and societal impact. Build AI applications for social good. Campus housing and meals included. Focus on increasing diversity in AI.",https://ai-4-all.org/programs/,AI4ALL,Summer Program,"Artificial Intelligence, Computer Science, Machine Learning",11-Sep,500,Residential,2 weeks,Basic,High,Annual-Spring,Low,True,True,,Subsidized,True,True,True,High,True,True,Basic,California,Optional,True,Professional,ai4all_programs,AI4ALL
AI4ALL at Carnegie Mellon University,"Two-week residential program at CMU School of Computer Science. Introduction to AI, robotics, and computer vision. Work with CMU researchers on cutting-edge projects. Programming in Python with AI/ML libraries. Team projects addressing real-world problems. Tours of CMU AI labs. Interaction with diverse AI professionals. Full financial aid available for eligible students.",https://ai-4-all.org/programs/,AI4ALL,Summer Program,"Artificial Intelligence, Robotics, Computer Science",11-Sep,500,Residential,2 weeks,Basic,High,Annual-Spring,Low,True,True,,Subsidized,True,True,True,High,True,True,Basic,Pennsylvania,Optional,True,Professional,ai4all_programs,AI4ALL
AI4ALL at Princeton University,"Residential summer program introducing AI and machine learning at Princeton. Learn from world-renowned faculty. Hands-on coding workshops and research projects. Explore AI applications in healthcare, education, and social justice. Develop technical skills and leadership abilities. Network with peers passionate about AI. Full room, board, and instruction provided. Need-based financial aid covers all costs.",https://ai-4-all.org/programs/,AI4ALL,Summer Program,"Artificial Intelligence, Computer Science, Data Science",11-Sep,500,Residential,2 weeks,Basic,High,Annual-Spring,Low,True,True,,Subsidized,True,True,True,High,True,True,Basic,New Jersey,Optional,True,Professional,ai4all_programs,AI4ALL
AI4ALL at UC Berkeley,"Two-week immersive AI program at UC Berkeley. Introduction to machine learning, deep learning, and AI applications. Work alongside Berkeley researchers and PhD students. Project-based learning with real datasets. Explore AI for social impact. Learn responsible AI development. College preparation and career guidance. On-campus housing at UC Berkeley. Generous financial aid including travel stipends.",https://ai-4-all.org/programs/,AI4ALL,Summer Program,"Artificial Intelligence, Machine Learning, Computer Science",11-Sep,500,Residential,2 weeks,Basic,High,Annual-Spring,Low,True,True,,Subsidized,True,True,True,High,True,True,Basic,California,Optional,True,Professional,ai4all_programs,AI4ALL
AI4ALL at Boston University,"Residential AI summer program at Boston University. Fundamentals of artificial intelligence and machine learning. Python programming and data analysis. Work on team projects solving real-world challenges. Mentorship from BU faculty and industry professionals. Explore Boston tech scene. College readiness workshops. Financial aid covers tuition, housing, meals, and materials.",https://ai-4-all.org/programs/,AI4ALL,Summer Program,"Artificial Intelligence, Computer Science, Data Analysis",11-Sep,500,Residential,2 weeks,Basic,High,Annual-Spring,Low,True,True,,Subsidized,True,True,True,High,True,True,Basic,Massachusetts,Optional,True,Professional,ai4all_programs,AI4ALL
AI4ALL at University of Michigan,"Two-week residential AI program at University of Michigan. Introduction to machine learning, neural networks, and AI ethics. Hands-on projects with Michigan faculty. Explore AI applications in healthcare, environment, and education. Learn Python and ML frameworks. Campus life experience at top university. Support from diverse AI community. Full scholarships available covering all program costs.",https://ai-4-all.org/programs/,AI4ALL,Summer Program,"Artificial Intelligence, Machine Learning, Ethics",11-Sep,500,Residential,2 weeks,Basic,High,Annual-Spring,Low,True,True,,Subsidized,True,True,True,High,True,True,Basic,Michigan,Optional,True,Professional,ai4all_programs,AI4ALL
AI4ALL at Simon Fraser University,"Residential summer program at SFU in Vancouver, Canada. Learn AI and machine learning fundamentals. Work with SFU computer science researchers. Projects focusing on AI for social good and sustainability. International cohort of students. Experience Canadian university life. Python programming and data science skills. Financial aid available for international and domestic students.",https://ai-4-all.org/programs/,AI4ALL,Summer Program,"Artificial Intelligence, Computer Science, Sustainability",11-Sep,500,Residential,2 weeks,Basic,High,Annual-Spring,Low,True,True,,Subsidized,True,True,True,High,True,True,Basic,International,Optional,True,Professional,ai4all_programs,AI4ALL
AI4ALL at Columbia University,"Two-week residential program at Columbia in New York City. Introduction to AI, machine learning, and data science. Work with Columbia faculty and researchers. Explore AI applications in urban challenges, healthcare, and media. Tours of NYC tech companies. Networking with Columbia students and alumni. Housing in NYC. Generous financial aid including travel to New York.",https://ai-4-all.org/programs/,AI4ALL,Summer Program,"Artificial Intelligence, Data Science, Urban Technology",11-Sep,500,Residential,2 weeks,Basic,High,Annual-Spring,Low,True,True,,Subsidized,True,True,True,High,True,True,Basic,New York,Optional,True,Professional,ai4all_programs,AI4ALL
AI4ALL at University of Illinois Urbana-Champaign,"Residential AI program at UIUC, top computer science university. Learn machine learning, computer vision, and natural language processing. Hands-on projects with UIUC researchers. Access to state-of-the-art AI labs. Build AI models and applications. College preparation and career mentorship. Campus housing and meals included. Need-based financial aid covers full program costs.",https://ai-4-all.org/programs/,AI4ALL,Summer Program,"Artificial Intelligence, Computer Vision, NLP",11-Sep,500,Residential,2 weeks,Basic,High,Annual-Spring,Low,True,True,,Subsidized,True,True,True,High,True,True,Basic,Illinois,Optional,True,Professional,ai4all_programs,AI4ALL
AI4ALL Online Programs,"Virtual AI summer programs for students unable to travel to campus programs. Live online instruction from university faculty. Interactive coding workshops and group projects. Learn Python, machine learning, and AI ethics. Virtual mentorship from AI professionals. Flexible schedule for different time zones. Completely free with no hidden costs. Accessible to students worldwide. Great alternative to residential programs.",https://ai-4-all.org/programs/,AI4ALL,Summer Program,"Artificial Intelligence, Machine Learning, Computer Science",11-Sep,Free,Online,2-3 weeks,Basic,High,Annual-Spring,,False,True,,Free,True,True,True,High,True,False,High-speed-required,International,Optional,True,Professional,ai4all_programs,AI4ALL
AI4ALL Open Learning,"Free self-paced AI curriculum available year-round. Video lectures, coding exercises, and projects. Learn AI fundamentals at your own pace. Topics include machine learning, neural networks, and AI ethics. Community forums for peer support. Certificate upon completion. Great preparation for AI4ALL summer programs or independent study. Accessible to all high school students globally.",https://ai-4-all.org/open-learning/,AI4ALL,Online Course,"Artificial Intelligence, Machine Learning",12-Sep,Free,Online,Self-paced,,High,Rolling,,False,True,,Free,True,True,True,High,True,False,High-speed-required,International,Optional,True,Professional,ai4all_programs,AI4ALL
AMC 8,"25-question, 40-minute multiple choice mathematics competition for middle school students in grade 8 and below. Covers pre-algebra, elementary algebra, geometry, counting and probability. Administered in November at participating schools. Top students invited to state and national awards programs. Promotes problem-solving skills and mathematical reasoning.",https://www.maa.org/math-competitions/amc-8,Mathematical Association of America,Math Competition,Mathematics,6-8,20,School-based,40 minutes,Medium,Medium,Annual-November,Low,False,False,Low,Paid,False,True,False,Medium,True,False,Basic,National,Optional,True,Adult,amc_competitions,
AMC 10,"25-question, 75-minute multiple choice examination for students in grade 10 and below. Tests mathematical problem-solving with applications of pre-calculus mathematics. Covers algebra, geometry, number theory, and combinatorics. Administered in February. Top scorers qualify for AIME. No calculator permitted.",https://www.maa.org/math-competitions/amc-1012,Mathematical Association of America,Math Competition,Mathematics,9-10,30,School-based,75 minutes,Medium,Medium,Annual-February,Low,False,False,Low,Paid,False,True,False,Medium,True,False,Basic,National,Optional,True,Adult,amc_competitions,
AMC 12,"25-question, 75-minute multiple choice examination for students in grade 12 and below. Tests secondary school mathematics including pre-calculus concepts. More challenging than AMC 10. Covers advanced algebra, geometry, trigonometry, and number theory. Top performers qualify for AIME. National and international recognition.",https://www.maa.org/math-competitions/amc-1012,Mathematical Association of America,Math Competition,Mathematics,9-12,30,School-based,75 minutes,High,Medium,Annual-February,Low,False,False,Low,Paid,False,True,False,Medium,True,False,Basic,National,Optional,True,Adult,amc_competitions,
AIME (American Invitational Mathematics Examination),"15-question, 3-hour examination for top AMC 10/12 performers. Each answer is an integer from 0 to 999. Significantly more challenging than AMC competitions. Covers topics through pre-calculus with emphasis on creative problem-solving. Gateway to USAMO/USAJMO for top scorers. Prestigious recognition in mathematics community.",https://www.maa.org/math-competitions/invitational-competitions,Mathematical Association of America,Invitational Math Competition,Mathematics,9-12,20,School-based,3 hours,High,Medium,Invitation-only,Low,False,False,Low,Paid,False,True,False,Medium,True,False,Basic,National,Optional,True,Adult,amc_competitions,
AMC 8 Practice Materials,"Past AMC 8 exams, solutions, and practice problems available for purchase and online access. Study materials include problem sets organized by topic. Preparation guides and tips. Help students build problem-solving skills. Available through MAA bookstore and website.",https://www.maa.org/math-competitions/amc-8,Mathematical Association of America,Study Resources,Mathematics,6-8,15,Online,Self-paced,Basic,Medium,Rolling,Low,False,False,Low,Paid,False,True,False,Medium,True,False,High-speed-required,National,Optional,True,Adult,amc_competitions,
AMC 10/12 Practice Resources,Comprehensive collection of past AMC 10 and AMC 12 exams with detailed solutions. Organized problem sets by difficulty and topic. Online and print materials available. Essential for competition preparation. Includes problem-solving strategies and techniques.,https://www.maa.org/math-competitions/amc-1012,Mathematical Association of America,Study Resources,Mathematics,9-12,20,Online,Self-paced,Medium,Medium,Rolling,Low,False,False,Low,Paid,False,True,False,Medium,True,False,High-speed-required,National,Optional,True,Adult,amc_competitions,
MAA Math Competition Alumni Network,"Network of past AMC and AIME participants. Mentorship opportunities, career connections, and mathematical community. Access to advanced problem sets and discussions. Alumni events and reunions. Great for students continuing in mathematics.",https://www.maa.org/math-competitions,Mathematical Association of America,Alumni Network,Mathematics,9-12,Free,Online,Flexible,Medium,Medium,Rolling,,False,False,Low,Free,False,True,False,Medium,True,False,Basic,National,Optional,True,Professional,amc_competitions,
AMS Freshman Undergraduate Scholarship,Scholarship for high school seniors planning to pursue atmospheric science or related field in college. Award recognizes academic achievement and interest in meteorology. Recipients receive financial support for freshman year and connections to AMS professional community. Renewable scholarship for continued excellence.,https://www.ametsoc.org/index.cfm/ams/education-careers/scholarships-and-fellowships/,American Meteorological Society,Scholarship,"Meteorology, Atmospheric Science, Climate Science, Environmental Science",12,Free,Online application,2-4 hours (application),Medium,Medium,February (typically early February),,"Scholarship award ($5,000+)",,,Free,AMS diversity initiatives in atmospheric sciences,True,True,High,True,False,Basic,National,,True,Professional,ams_student_programs,
AMS Minority Scholarship,"Scholarships specifically supporting underrepresented minority students pursuing atmospheric and related sciences. Awards recognize traditionally underrepresented groups in meteorology including Hispanic, Black/African American, and Native American students. Provides financial support and mentorship connections to increase diversity in atmospheric sciences.",https://www.ametsoc.org/index.cfm/ams/education-careers/scholarships-and-fellowships/,American Meteorological Society,Scholarship,"Meteorology, Atmospheric Science, Climate Science",College,Free,Online application,3-5 hours (application),Medium,High,February (typically early February),,"Scholarship award ($3,000+)",,,Free,Underrepresented minorities in atmospheric sciences,True,True,High,True,False,Basic,National,,True,Professional,ams_student_programs,
AMS Women in Science Scholarship,Scholarship supporting women pursuing careers in atmospheric and related oceanic and hydrologic sciences. Encourages female students entering traditionally male-dominated field. Recipients receive financial support and access to women in science mentorship networks within AMS. Promotes gender equity in meteorology.,https://www.ametsoc.org/index.cfm/ams/education-careers/scholarships-and-fellowships/,American Meteorological Society,Scholarship,"Meteorology, Atmospheric Science, Oceanography",College,Free,Online application,3-5 hours (application),Medium,High,February (typically early February),,"Scholarship award ($3,000+)",,,Free,Women in atmospheric sciences,True,True,High,True,False,Basic,National,,True,Professional,ams_student_programs,
AMS K-12 Weather and Climate Education Resources,"Free educational materials for middle and high school students learning about weather, climate, and atmospheric science. Includes lesson plans, weather data activities, career information, and educational videos. Resources align with science standards and inspire students to explore meteorology careers. Self-directed learning tools.",https://www.ametsoc.org/index.cfm/ams/education-careers/k-12-resources/,American Meteorological Society,Meteorology Program,"Meteorology, Climate Science, Earth Science",6-12,Free,Online,Self-paced learning,Basic,Low,Available year-round,,,,,Free,Free access to atmospheric science education,True,True,High,True,False,Basic,National,,False,,ams_student_programs,
AMS Summer Policy Colloquium,"Intensive week-long program in Washington, D.C. introducing early-career professionals and students to weather, water, and climate policy. Participants meet with policymakers, federal agencies, and advocacy organizations. Learn about science policy, government decision-making, and career paths at science-policy interface. Fully funded program.",https://www.ametsoc.org/index.cfm/ams/education-careers/,American Meteorological Society,Meteorology Program,"Meteorology, Climate Policy, Science Policy","College, Graduate",Free,"Washington, D.C.",1 week (summer),Medium,High,Spring (typically March-April),,Fully funded (travel and lodging),,,Free,Diverse perspectives in science policy,True,True,High,True,True,Basic,National,,True,Professional,ams_student_programs,
AMS Broadcast Meteorology Scholarship,"Scholarship for students pursuing careers in broadcast meteorology and weather communication. Supports students combining meteorology science with communications skills for television, radio, or digital media weather forecasting. Recipients gain connections to broadcast meteorology community and career mentorship.",https://www.ametsoc.org/index.cfm/ams/education-careers/scholarships-and-fellowships/,American Meteorological Society,Scholarship,"Broadcast Meteorology, Atmospheric Science, Communications",College,Free,Online application,3-5 hours (application),Medium,Medium,February (typically),,"Scholarship award ($3,000+)",,,Free,Weather communication careers,True,True,High,True,False,Basic,National,,True,Professional,ams_student_programs,
DNA Day Essay Contest,National essay competition for high school students exploring genetics and genomics topics. Students write 750-word essays addressing genetics questions or current issues in genomics research. Questions released annually on DNA Day (April 25). Winners receive cash prizes and recognition. Judged by genetics professionals. Encourages critical thinking about genetics and society.,https://www.ashg.org/discover-genetics/k-12-education/dna-day/,American Society of Human Genetics,Essay Contest,"Genetics, Biology, Genomics",9-12,Free,Online,2-3 weeks for essay writing,Basic,Low,Annual-March,,False,False,,Free,True,True,True,High,True,False,Basic,National,Optional,False,Adult,ashg_dna_day_programs,
DNA Day Essay Contest - Grand Prize,"Top prize for DNA Day Essay Contest. Winner receives $1,000 cash award plus recognition on ASHG website. Essay demonstrates exceptional understanding of genetics concepts and societal implications. Clear writing, scientific accuracy, and thoughtful analysis. National recognition for genetics knowledge.",https://www.ashg.org/discover-genetics/k-12-education/dna-day/,American Society of Human Genetics,Essay Contest,"Genetics, Biology, Genomics",9-12,Free,Online,2-3 weeks for essay writing,Basic,Low,Annual-March,,False,False,,Free,True,True,True,High,True,False,Basic,National,Optional,False,Adult,ashg_dna_day_programs,
DNA Day Essay Contest - Runner-Up Awards,Runner-up prizes for outstanding DNA Day essays. Multiple winners receive $500 cash awards. Essays show strong grasp of genetics principles and clear communication. Recognized nationally by genetics community. Great opportunity for students interested in biology and genetics careers.,https://www.ashg.org/discover-genetics/k-12-education/dna-day/,American Society of Human Genetics,Essay Contest,"Genetics, Biology, Genomics",9-12,Free,Online,2-3 weeks for essay writing,Basic,Low,Annual-March,,False,False,,Free,True,True,True,High,True,False,Basic,National,Optional,False,Adult,ashg_dna_day_programs,
DNA Day Essay Contest - Honorable Mentions,Recognition for exemplary DNA Day essays. Honorable mention recipients acknowledged on ASHG website. Essays demonstrate solid understanding of genetics topics. No cash prize but valuable recognition from professional genetics organization. Certificate of achievement awarded.,https://www.ashg.org/discover-genetics/k-12-education/dna-day/,American Society of Human Genetics,Essay Contest,"Genetics, Biology, Genomics",9-12,Free,Online,2-3 weeks for essay writing,Basic,Low,Annual-March,,False,False,,Free,True,True,True,High,True,False,Basic,National,Optional,False,Adult,ashg_dna_day_programs,
ASHG Genetics Expert Q&A Sessions,"Virtual sessions connecting students with genetics professionals. Ask questions about genetics careers, research, and scientific topics. Held around DNA Day annually. Free participation for classrooms and individuals. Learn from leading geneticists and genetic counselors. Great for career exploration.",https://www.ashg.org/discover-genetics/k-12-education/,American Society of Human Genetics,Educational Program,"Genetics, Biology, Genomics",9-12,Free,Online,1 hour session,,Low,Annual-April,,False,False,,Free,True,True,True,High,True,False,High-speed-required,National,Optional,False,Professional,ashg_dna_day_programs,
ASHRAE High School Senior Scholarship,"Scholarship for graduating high school seniors pursuing engineering or related technical degree. Focus on HVAC&R and building systems fields. Award amount $3,000. Must demonstrate interest in heating, ventilation, air conditioning, and refrigeration. Essay and recommendation letters required. Renewable for college if maintain GPA. Great for students interested in sustainable buildings and energy efficiency.",https://www.ashrae.org/communities/student-zone/scholarships,ASHRAE,Scholarship,"Engineering, HVAC, Building Systems, Energy Efficiency",12,Free,Online,Application,Medium,Medium,Annual-Spring,,True,False,,Free,True,True,True,Medium,True,False,Basic,National,,True,Professional,ashrae_student_programs,
ASHRAE Student Branch Chapter Participation,"Join ASHRAE student chapters at universities nationwide. Participate in technical presentations, plant tours, and networking events. Leadership opportunities as chapter officers. Connect with local ASHRAE professionals. Attend regional and national conferences. Career fair access and job placement. Community service projects related to energy efficiency.",https://www.ashrae.org/communities/student-zone,ASHRAE,Student Chapter,"Engineering, Professional Development",College,Free,Regional,Monthly meetings,,Medium,Rolling,,True,False,,Free,True,True,True,Medium,True,True,Basic,National,,True,Professional,ashrae_student_programs,
ASHRAE Women in ASHRAE Scholarship,"Scholarship specifically for women pursuing HVAC&R engineering degrees. Support for underrepresented gender in engineering field. Award amounts up to $5,000. Mentorship connections with women ASHRAE professionals. Networking at Women in ASHRAE events. Focus on building diversity in building systems industry. Essay on career goals required.",https://www.ashrae.org/communities/student-zone/scholarships,ASHRAE,Diversity Scholarship,"Engineering, HVAC, Women in STEM",College,Free,Online,Application,Medium,Medium,Annual-Spring,,True,False,,Free,True,True,True,Medium,True,False,Basic,National,,True,Professional,ashrae_student_programs,
ASHRAE Student Conference Experience,Attend ASHRAE annual and winter conferences at discounted student rates. Access technical sessions on latest HVAC technology. Expo with industry exhibits and innovations. Student track programming and networking events. Career fair with engineering companies. Scholarship to cover conference costs for select students. Experience professional engineering society.,https://www.ashrae.org/about/students,ASHRAE,Conference,"Engineering, HVAC, Professional Development",College,200,National,3-4 days,,Medium,Seasonal,Low,True,False,,$100-500,True,True,True,Medium,True,True,Basic,National,,True,Professional,ashrae_student_programs,
ASHRAE Research and Technical Resources,"Access to ASHRAE research database and technical publications. Handbooks on HVAC systems, refrigeration, and building design. Standards and guidelines for engineering practice. Student access to digital library. Research papers on energy efficiency and sustainability. Support for student research projects. Free or discounted for student members.",https://www.ashrae.org/communities/student-zone,ASHRAE,Technical Resources,"Engineering, Research, Building Systems",College,Free,Online,Self-paced,Medium,Medium,Rolling,,True,False,,Free,True,True,True,Medium,True,False,High-speed-required,National,,True,Professional,ashrae_student_programs,
ASHRAE High School Outreach Program,Introduction to HVAC&R careers for high school students. Virtual and in-person presentations by ASHRAE professionals. Learn about engineering careers in building systems and sustainability. Hands-on demonstrations of HVAC technology. Guidance on college preparation for engineering. Scholarship information for graduating seniors. Connection to local ASHRAE chapters.,https://www.ashrae.org/about/students,ASHRAE,Outreach Program,"Engineering, Career Exploration, HVAC",9-12,Free,Hybrid,Single events,,Medium,Rolling,,True,False,,Free,True,True,True,Medium,True,False,Basic,National,,True,Professional,ashrae_student_programs,
Blue Ocean Competition - High School Division,"National STEM entrepreneurship competition for high school students developing innovative business ideas using Blue Ocean Strategy principles. Students create business plans for products or services that open new markets rather than competing in existing ones. Teams develop comprehensive proposals including market analysis, innovation strategy, and implementation plans. Emphasizes technology-driven innovation and creative problem-solving.",https://www.blueoceancompetition.com/high-school,Blue Ocean Entrepreneurship Competition,Entrepreneurship Competition,"STEM Business, Innovation, Entrepreneurship, Strategic Planning",9-12,Free,Online submission,3-4 months (fall semester preparation),Medium,Medium,January (typically mid-January),,,,,Free,Open to all students regardless of background,True,True,High,True,False,Basic,National,,True,Optional,blue_ocean_entrepreneurship,
Blue Ocean Competition - Team Track,"Collaborative entrepreneurship competition allowing teams of 2-5 high school students to develop business innovations together. Teams combine diverse skills including technology development, business planning, market research, and presentation. Develops teamwork, communication, and collaborative innovation skills. Team members share responsibilities for research, analysis, and proposal development.",https://www.blueoceancompetition.com/high-school,Blue Ocean Entrepreneurship Competition,Entrepreneurship Competition,"STEM Business, Innovation, Entrepreneurship, Team Collaboration",9-12,Free,Online submission,3-4 months (team development),Medium,Medium,January (typically mid-January),,,,,Free,Encourages diverse team composition,True,True,High,True,False,Basic,National,,True,Optional,blue_ocean_entrepreneurship,
