name,description,url,source,category,stem_fields,target_grade,cost,location_type,time_commitment,prerequisite_level,support_level,deadline,financial_barrier_level,financial_aid_available,family_income_consideration,hidden_costs_level,cost_category,diversity_focus,underrepresented_friendly,first_gen_support,cultural_competency,rural_accessible,transportation_required,internet_dependency,regional_availability,family_involvement_required,peer_network_building,mentor_access_level,source_file,program_family,word_count,tfidf_text,financial_barrier_level_predicted,financial_barrier_level_confidence,hidden_costs_level_predicted,hidden_costs_level_confidence,internet_dependency_predicted,internet_dependency_confidence,category_tier2,category_tier1,stem_field_tier2,stem_field_tier1
Discover Chemistry,"Explore the interesting world of science with articles, videos and more. This Chemistry Program focuses on Chemistry, Chemical Engineering and serves grade 9-12 students. The program requires Flexible commitment, free, available hybrid. Prerequisites: Basic level.",https://www.acs.org/education/students.html,American Chemical Society,Chemistry Program,"Chemistry, Chemical Engineering",9-12,Free,Hybrid,Flexible,Basic,High,Check ACS website,Low,False,False,Moderate,Free,True,True,False,High,True,False,Basic,National,Optional,True,Professional,acs_programs,,35,"Discover Chemistry Explore the interesting world of science with articles, videos and more. This Chemistry Program focuses on Chemistry, Chemical Engineering and serves grade 9-12 students. The program requires Flexible commitment, free, available hybrid. Prerequisites: Basic level. Chemistry, Chemical Engineering Chemistry Program 9-12 Basic High Hybrid",True,0.49,True,0.47,False,,Chemistry Program,Other,"Chemistry, Chemical Engineering",Chemical Engineering; Chemistry
Student Programs & Resources,"Student Programs & Resources This Chemistry Program focuses on Chemistry, Chemical Engineering and serves grade 9-12 students. The program requires Flexible commitment, free, available hybrid. Prerequisites: Basic level.",https://www.acs.org/education/students.html,American Chemical Society,Chemistry Program,"Chemistry, Chemical Engineering",9-12,Free,Hybrid,Flexible,Basic,High,Check ACS website,Low,False,False,Moderate,Free,True,True,False,High,True,False,Basic,National,Optional,True,Professional,acs_programs,,28,"Student Programs & Resources Student Programs & Resources This Chemistry Program focuses on Chemistry, Chemical Engineering and serves grade 9-12 students. The program requires Flexible commitment, free, available hybrid. Prerequisites: Basic level. Chemistry, Chemical Engineering Chemistry Program 9-12 Basic High Hybrid",True,0.49,True,0.47,False,,Chemistry Program,Other,"Chemistry, Chemical Engineering",Chemical Engineering; Chemistry
High School Chemistry Student Programs and Resources,"High School Chemistry Student Programs and Resources This Chemistry Program focuses on Chemistry, Chemical Engineering and serves grade 9-12 students. The program requires Flexible commitment, free, available school-based. Prerequisites: Basic level.",https://www.acs.org/education/students/highschool.html,American Chemical Society,Chemistry Program,"Chemistry, Chemical Engineering",9-12,Free,School-based,Flexible,Basic,High,Check ACS website,Medium,False,False,Low,Free,True,True,False,High,False,False,Basic,National,Optional,True,Professional,acs_programs,,31,"High School Chemistry Student Programs and Resources High School Chemistry Student Programs and Resources This Chemistry Program focuses on Chemistry, Chemical Engineering and serves grade 9-12 students. The program requires Flexible commitment, free, available school-based. Prerequisites: Basic level. Chemistry, Chemical Engineering Chemistry Program 9-12 Basic High School-based",True,0.67,True,0.43,False,,Chemistry Program,Other,"Chemistry, Chemical Engineering",Chemical Engineering; Chemistry
National Chemistry Week 2025The Hidden Life of Spices,"National Chemistry Week 2025The Hidden Life of Spices This Outreach Program focuses on Chemistry, Chemical Engineering and serves grade 9-12 students. The program requires Flexible commitment, free, available hybrid. Prerequisites: Basic level.",https://www.acs.org/education/outreach/celebrating-chemistry-editions.html,American Chemical Society,Outreach Program,"Chemistry, Chemical Engineering",9-12,Free,Hybrid,Flexible,Basic,High,Check ACS website,Low,False,False,Low,Free,True,True,False,High,True,False,Basic,National,Optional,True,Professional,acs_programs,,32,"National Chemistry Week 2025The Hidden Life of Spices National Chemistry Week 2025The Hidden Life of Spices This Outreach Program focuses on Chemistry, Chemical Engineering and serves grade 9-12 students. The program requires Flexible commitment, free, available hybrid. Prerequisites: Basic level. Chemistry, Chemical Engineering Outreach Program 9-12 Basic High Hybrid",True,0.61,True,0.46,False,,Outreach Program,Other,"Chemistry, Chemical Engineering",Chemical Engineering; Chemistry
Celebrating Chemistryin Print,"Celebrating Chemistryin Print This Outreach Program focuses on Chemistry, Chemical Engineering and serves grade 9-12 students. The program requires Flexible commitment, free, available hybrid. Prerequisites: Basic level.",https://www.acs.org/education/outreach/celebrating-chemistry-editions.html,American Chemical Society,Outreach Program,"Chemistry, Chemical Engineering",9-12,Free,Hybrid,Flexible,Basic,High,Check ACS website,Low,False,False,Low,Free,True,True,False,High,True,False,Basic,National,Optional,True,Professional,acs_programs,,27,"Celebrating Chemistryin Print Celebrating Chemistryin Print This Outreach Program focuses on Chemistry, Chemical Engineering and serves grade 9-12 students. The program requires Flexible commitment, free, available hybrid. Prerequisites: Basic level. Chemistry, Chemical Engineering Outreach Program 9-12 Basic High Hybrid",True,0.61,True,0.46,False,,Outreach Program,Other,"Chemistry, Chemical Engineering",Chemical Engineering; Chemistry
Past Issues ofCelebrating Chemistry,"Past Issues ofCelebrating Chemistry This Outreach Program focuses on Chemistry, Chemical Engineering and serves grade 9-12 students. The program requires Flexible commitment, free, available hybrid. Prerequisites: Basic level.",https://www.acs.org/education/outreach/celebrating-chemistry-editions.html,American Chemical Society,Outreach Program,"Chemistry, Chemical Engineering",9-12,Free,Hybrid,Flexible,Basic,High,Check ACS website,Low,False,False,Low,Free,True,True,False,High,True,False,Basic,National,Optional,True,Professional,acs_programs,,28,"Past Issues ofCelebrating Chemistry Past Issues ofCelebrating Chemistry This Outreach Program focuses on Chemistry, Chemical Engineering and serves grade 9-12 students. The program requires Flexible commitment, free, available hybrid. Prerequisites: Basic level. Chemistry, Chemical Engineering Outreach Program 9-12 Basic High Hybrid",True,0.61,True,0.46,False,,Outreach Program,Other,"Chemistry, Chemical Engineering",Chemical Engineering; Chemistry
National Chemistry Week Editions,"National Chemistry Week Editions This Outreach Program focuses on Chemistry, Chemical Engineering and serves grade 9-12 students. The program requires Flexible commitment, free, available hybrid. Prerequisites: Basic level.",https://www.acs.org/education/outreach/celebrating-chemistry-editions.html,American Chemical Society,Outreach Program,"Chemistry, Chemical Engineering",9-12,Free,Hybrid,Flexible,Basic,High,Check ACS website,Low,False,False,Low,Free,True,True,False,High,True,False,Basic,National,Optional,True,Professional,acs_programs,,28,"National Chemistry Week Editions National Chemistry Week Editions This Outreach Program focuses on Chemistry, Chemical Engineering and serves grade 9-12 students. The program requires Flexible commitment, free, available hybrid. Prerequisites: Basic level. Chemistry, Chemical Engineering Outreach Program 9-12 Basic High Hybrid",True,0.61,True,0.46,False,,Outreach Program,Other,"Chemistry, Chemical Engineering",Chemical Engineering; Chemistry
AI4ALL at Stanford University,"Intensive 2-week residential AI summer program at Stanford. Learn machine learning fundamentals, neural networks, computer vision, and NLP. Hands-on projects with real-world datasets. Mentorship from Stanford faculty and graduate students. Explore AI ethics and societal impact. Build AI applications for social good. Campus housing and meals included. Focus on increasing diversity in AI.",https://ai-4-all.org/programs/,AI4ALL,Summer Program,"Artificial Intelligence, Computer Science, Machine Learning",11-Sep,500,Residential,2 weeks,Basic,High,Annual-Spring,Low,True,True,Low,Subsidized,True,True,True,High,True,True,Basic,California,Optional,True,Professional,ai4all_programs,AI4ALL,53,"AI4ALL at Stanford University Intensive 2-week residential AI summer program at Stanford. Learn machine learning fundamentals, neural networks, computer vision, and NLP. Hands-on projects with real-world datasets. Mentorship from Stanford faculty and graduate students. Explore AI ethics and societal impact. Build AI applications for social good. Campus housing and meals included. Focus on increasing diversity in AI. Artificial Intelligence, Computer Science, Machine Learning Summer Program 11-Sep Basic High Residential",False,,True,0.37235408440417345,False,,Summer Program,Summer Program,"Artificial Intelligence, Computer Science, Machine Learning",Artificial Intelligence/Machine Learning; Computer Science
AI4ALL at Carnegie Mellon University,"Two-week residential program at CMU School of Computer Science. Introduction to AI, robotics, and computer vision. Work with CMU researchers on cutting-edge projects. Programming in Python with AI/ML libraries. Team projects addressing real-world problems. Tours of CMU AI labs. Interaction with diverse AI professionals. Full financial aid available for eligible students.",https://ai-4-all.org/programs/,AI4ALL,Summer Program,"Artificial Intelligence, Robotics, Computer Science",11-Sep,500,Residential,2 weeks,Basic,High,Annual-Spring,Low,True,True,Low,Subsidized,True,True,True,High,True,True,Basic,Pennsylvania,Optional,True,Professional,ai4all_programs,AI4ALL,51,"AI4ALL at Carnegie Mellon University Two-week residential program at CMU School of Computer Science. Introduction to AI, robotics, and computer vision. Work with CMU researchers on cutting-edge projects. Programming in Python with AI/ML libraries. Team projects addressing real-world problems. Tours of CMU AI labs. Interaction with diverse AI professionals. Full financial aid available for eligible students. Artificial Intelligence, Robotics, Computer Science Summer Program 11-Sep Basic High Residential",False,,True,0.37235408440417345,False,,Summer Program,Summer Program,"Artificial Intelligence, Robotics, Computer Science",Artificial Intelligence/Machine Learning; Computer Science; Robotics
AI4ALL at Princeton University,"Residential summer program introducing AI and machine learning at Princeton. Learn from world-renowned faculty. Hands-on coding workshops and research projects. Explore AI applications in healthcare, education, and social justice. Develop technical skills and leadership abilities. Network with peers passionate about AI. Full room, board, and instruction provided. Need-based financial aid covers all costs.",https://ai-4-all.org/programs/,AI4ALL,Summer Program,"Artificial Intelligence, Computer Science, Data Science",11-Sep,500,Residential,2 weeks,Basic,High,Annual-Spring,Low,True,True,Low,Subsidized,True,True,True,High,True,True,Basic,New Jersey,Optional,True,Professional,ai4all_programs,AI4ALL,53,"AI4ALL at Princeton University Residential summer program introducing AI and machine learning at Princeton. Learn from world-renowned faculty. Hands-on coding workshops and research projects. Explore AI applications in healthcare, education, and social justice. Develop technical skills and leadership abilities. Network with peers passionate about AI. Full room, board, and instruction provided. Need-based financial aid covers all costs. Artificial Intelligence, Computer Science, Data Science Summer Program 11-Sep Basic High Residential",False,,True,0.37235408440417345,False,,Summer Program,Summer Program,"Artificial Intelligence, Computer Science, Data Science",Artificial Intelligence/Machine Learning; Computer Science; Data Science
AI4ALL at UC Berkeley,"Two-week immersive AI program at UC Berkeley. Introduction to machine learning, deep learning, and AI applications. Work alongside Berkeley researchers and PhD students. Project-based learning with real datasets. Explore AI for social impact. Learn responsible AI development. College preparation and career guidance. On-campus housing at UC Berkeley. Generous financial aid including travel stipends.",https://ai-4-all.org/programs/,AI4ALL,Summer Program,"Artificial Intelligence, Machine Learning, Computer Science",11-Sep,500,Residential,2 weeks,Basic,High,Annual-Spring,Low,True,True,Low,Subsidized,True,True,True,High,True,True,Basic,California,Optional,True,Professional,ai4all_programs,AI4ALL,53,"AI4ALL at UC Berkeley Two-week immersive AI program at UC Berkeley. Introduction to machine learning, deep learning, and AI applications. Work alongside Berkeley researchers and PhD students. Project-based learning with real datasets. Explore AI for social impact. Learn responsible AI development. College preparation and career guidance. On-campus housing at UC Berkeley. Generous financial aid including travel stipends. Artificial Intelligence, Machine Learning, Computer Science Summer Program 11-Sep Basic High Residential",False,,True,0.37235408440417345,False,,Summer Program,Summer Program,"Artificial Intelligence, Machine Learning, Computer Science",Artificial Intelligence/Machine Learning; Computer Science
AI4ALL at Boston University,"Residential AI summer program at Boston University. Fundamentals of artificial intelligence and machine learning. Python programming and data analysis. Work on team projects solving real-world challenges. Mentorship from BU faculty and industry professionals. Explore Boston tech scene. College readiness workshops. Financial aid covers tuition, housing, meals, and materials.",https://ai-4-all.org/programs/,AI4ALL,Summer Program,"Artificial Intelligence, Computer Science, Data Analysis",11-Sep,500,Residential,2 weeks,Basic,High,Annual-Spring,Low,True,True,Low,Subsidized,True,True,True,High,True,True,Basic,Massachusetts,Optional,True,Professional,ai4all_programs,AI4ALL,48,"AI4ALL at Boston University Residential AI summer program at Boston University. Fundamentals of artificial intelligence and machine learning. Python programming and data analysis. Work on team projects solving real-world challenges. Mentorship from BU faculty and industry professionals. Explore Boston tech scene. College readiness workshops. Financial aid covers tuition, housing, meals, and materials. Artificial Intelligence, Computer Science, Data Analysis Summer Program 11-Sep Basic High Residential",False,,True,0.37235408440417345,False,,Summer Program,Summer Program,"Artificial Intelligence, Computer Science, Data Analysis",Artificial Intelligence/Machine Learning; Computer Science; Data Science
AI4ALL at University of Michigan,"Two-week residential AI program at University of Michigan. Introduction to machine learning, neural networks, and AI ethics. Hands-on projects with Michigan faculty. Explore AI applications in healthcare, environment, and education. Learn Python and ML frameworks. Campus life experience at top university. Support from diverse AI community. Full scholarships available covering all program costs.",https://ai-4-all.org/programs/,AI4ALL,Summer Program,"Artificial Intelligence, Machine Learning, Ethics",11-Sep,500,Residential,2 weeks,Basic,High,Annual-Spring,Low,True,True,Low,Subsidized,True,True,True,High,True,True,Basic,Michigan,Optional,True,Professional,ai4all_programs,AI4ALL,53,"AI4ALL at University of Michigan Two-week residential AI program at University of Michigan. Introduction to machine learning, neural networks, and AI ethics. Hands-on projects with Michigan faculty. Explore AI applications in healthcare, environment, and education. Learn Python and ML frameworks. Campus life experience at top university. Support from diverse AI community. Full scholarships available covering all program costs. Artificial Intelligence, Machine Learning, Ethics Summer Program 11-Sep Basic High Residential",False,,True,0.37235408440417345,False,,Summer Program,Summer Program,"Artificial Intelligence, Machine Learning, Ethics",Artificial Intelligence/Machine Learning; Other STEM
AI4ALL at Simon Fraser University,"Residential summer program at SFU in Vancouver, Canada. Learn AI and machine learning fundamentals. Work with SFU computer science researchers. Projects focusing on AI for social good and sustainability. International cohort of students. Experience Canadian university life. Python programming and data science skills. Financial aid available for international and domestic students.",https://ai-4-all.org/programs/,AI4ALL,Summer Program,"Artificial Intelligence, Computer Science, Sustainability",11-Sep,500,Residential,2 weeks,Basic,High,Annual-Spring,Low,True,True,Low,Subsidized,True,True,True,High,True,True,Basic,International,Optional,True,Professional,ai4all_programs,AI4ALL,51,"AI4ALL at Simon Fraser University Residential summer program at SFU in Vancouver, Canada. Learn AI and machine learning fundamentals. Work with SFU computer science researchers. Projects focusing on AI for social good and sustainability. International cohort of students. Experience Canadian university life. Python programming and data science skills. Financial aid available for international and domestic students. Artificial Intelligence, Computer Science, Sustainability Summer Program 11-Sep Basic High Residential",False,,True,0.37235408440417345,False,,Summer Program,Summer Program,"Artificial Intelligence, Computer Science, Sustainability",Artificial Intelligence/Machine Learning; Computer Science; Environmental Science
AI4ALL at Columbia University,"Two-week residential program at Columbia in New York City. Introduction to AI, machine learning, and data science. Work with Columbia faculty and researchers. Explore AI applications in urban challenges, healthcare, and media. Tours of NYC tech companies. Networking with Columbia students and alumni. Housing in NYC. Generous financial aid including travel to New York.",https://ai-4-all.org/programs/,AI4ALL,Summer Program,"Artificial Intelligence, Data Science, Urban Technology",11-Sep,500,Residential,2 weeks,Basic,High,Annual-Spring,Low,True,True,Low,Subsidized,True,True,True,High,True,True,Basic,New York,Optional,True,Professional,ai4all_programs,AI4ALL,54,"AI4ALL at Columbia University Two-week residential program at Columbia in New York City. Introduction to AI, machine learning, and data science. Work with Columbia faculty and researchers. Explore AI applications in urban challenges, healthcare, and media. Tours of NYC tech companies. Networking with Columbia students and alumni. Housing in NYC. Generous financial aid including travel to New York. Artificial Intelligence, Data Science, Urban Technology Summer Program 11-Sep Basic High Residential",False,,True,0.37235408440417345,False,,Summer Program,Summer Program,"Artificial Intelligence, Data Science, Urban Technology",Artificial Intelligence/Machine Learning; Data Science; Technology
AI4ALL at University of Illinois Urbana-Champaign,"Residential AI program at UIUC, top computer science university. Learn machine learning, computer vision, and natural language processing. Hands-on projects with UIUC researchers. Access to state-of-the-art AI labs. Build AI models and applications. College preparation and career mentorship. Campus housing and meals included. Need-based financial aid covers full program costs.",https://ai-4-all.org/programs/,AI4ALL,Summer Program,"Artificial Intelligence, Computer Vision, NLP",11-Sep,500,Residential,2 weeks,Basic,High,Annual-Spring,Low,True,True,Low,Subsidized,True,True,True,High,True,True,Basic,Illinois,Optional,True,Professional,ai4all_programs,AI4ALL,50,"AI4ALL at University of Illinois Urbana-Champaign Residential AI program at UIUC, top computer science university. Learn machine learning, computer vision, and natural language processing. Hands-on projects with UIUC researchers. Access to state-of-the-art AI labs. Build AI models and applications. College preparation and career mentorship. Campus housing and meals included. Need-based financial aid covers full program costs. Artificial Intelligence, Computer Vision, NLP Summer Program 11-Sep Basic High Residential",False,,True,0.37235408440417345,False,,Summer Program,Summer Program,"Artificial Intelligence, Computer Vision, NLP",Artificial Intelligence/Machine Learning; Other STEM
AI4ALL Online Programs,"Virtual AI summer programs for students unable to travel to campus programs. Live online instruction from university faculty. Interactive coding workshops and group projects. Learn Python, machine learning, and AI ethics. Virtual mentorship from AI professionals. Flexible schedule for different time zones. Completely free with no hidden costs. Accessible to students worldwide. Great alternative to residential programs.",https://ai-4-all.org/programs/,AI4ALL,Summer Program,"Artificial Intelligence, Machine Learning, Computer Science",11-Sep,Free,Online,2-3 weeks,Basic,High,Annual-Spring,Low,False,True,Low,Free,True,True,True,High,True,False,High-speed-required,International,Optional,True,Professional,ai4all_programs,AI4ALL,57,"AI4ALL Online Programs Virtual AI summer programs for students unable to travel to campus programs. Live online instruction from university faculty. Interactive coding workshops and group projects. Learn Python, machine learning, and AI ethics. Virtual mentorship from AI professionals. Flexible schedule for different time zones. Completely free with no hidden costs. Accessible to students worldwide. Great alternative to residential programs. Artificial Intelligence, Machine Learning, Computer Science Summer Program 11-Sep Basic High Online",True,0.56,True,0.42,False,,Summer Program,Summer Program,"Artificial Intelligence, Machine Learning, Computer Science",Artificial Intelligence/Machine Learning; Computer Science
AI4ALL Open Learning,"Free self-paced AI curriculum available year-round. Video lectures, coding exercises, and projects. Learn AI fundamentals at your own pace. Topics include machine learning, neural networks, and AI ethics. Community forums for peer support. Certificate upon completion. Great preparation for AI4ALL summer programs or independent study. Accessible to all high school students globally.",https://ai-4-all.org/open-learning/,AI4ALL,Online Course,"Artificial Intelligence, Machine Learning",12-Sep,Free,Online,Self-paced,,High,Rolling,Low,False,True,Low,Free,True,True,True,High,True,False,High-speed-required,International,Optional,True,Professional,ai4all_programs,AI4ALL,52,"AI4ALL Open Learning Free self-paced AI curriculum available year-round. Video lectures, coding exercises, and projects. Learn AI fundamentals at your own pace. Topics include machine learning, neural networks, and AI ethics. Community forums for peer support. Certificate upon completion. Great preparation for AI4ALL summer programs or independent study. Accessible to all high school students globally. Artificial Intelligence, Machine Learning Online Course 12-Sep High Online",True,0.58,True,0.57,False,,Online Course,Online Course,"Artificial Intelligence, Machine Learning",Artificial Intelligence/Machine Learning
