duplicate_type,count,name,url,files,recommendation,source
"Same name, source, and description",2,PLTW Biomedical Science - Medical Interventions,,"pltw_programs.csv, pltw_progress.csv","Keep one, remove others",Project Lead The Way
"Same name, source, and description",2,PLTW Biomedical Science - Principles of Biomedical Sciences,,"pltw_programs.csv, pltw_progress.csv","Keep one, remove others",Project Lead The Way
"Same name, source, and description",2,PLTW Computer Science - Computer Science A,,"pltw_programs.csv, pltw_progress.csv","Keep one, remove others",Project Lead The Way
"Same name, source, and description",2,PLTW Computer Science - Computer Science Essentials,,"pltw_programs.csv, pltw_progress.csv","Keep one, remove others",Project Lead The Way
"Same name, source, and description",2,PLTW Computer Science - Computer Science Principles,,"pltw_programs.csv, pltw_progress.csv","Keep one, remove others",Project Lead The Way
"Same name, source, and description",2,PLTW Computer Science - Cybersecurity,,"pltw_programs.csv, pltw_progress.csv","Keep one, remove others",Project Lead The Way
"Same name, source, and description",2,PLTW Engineering - Aerospace Engineering,,"pltw_programs.csv, pltw_progress.csv","Keep one, remove others",Project Lead The Way
"Same name, source, and description",2,PLTW Engineering - Digital Electronics,,"pltw_programs.csv, pltw_progress.csv","Keep one, remove others",Project Lead The Way
"Same name, source, and description",2,PLTW Engineering - Engineering Design and Development,,"pltw_programs.csv, pltw_progress.csv","Keep one, remove others",Project Lead The Way
"Same name, source, and description",2,PLTW Engineering - Introduction to Engineering Design,,"pltw_programs.csv, pltw_progress.csv","Keep one, remove others",Project Lead The Way
"Same name, source, and description",2,PLTW Engineering - Principles of Engineering,,"pltw_programs.csv, pltw_progress.csv","Keep one, remove others",Project Lead The Way
"Same name, source, and description",2,PLTW Gateway - Automation and Robotics,,"pltw_programs.csv, pltw_progress.csv","Keep one, remove others",Project Lead The Way
"Same name, source, and description",2,PLTW Gateway - Computer Science for Innovators and Makers,,"pltw_programs.csv, pltw_progress.csv","Keep one, remove others",Project Lead The Way
"Same name, source, and description",2,PLTW Gateway - Design and Modeling,,"pltw_programs.csv, pltw_progress.csv","Keep one, remove others",Project Lead The Way
"Same name, source, and description",2,PLTW Gateway - Medical Detectives,,"pltw_programs.csv, pltw_progress.csv","Keep one, remove others",Project Lead The Way
"Same name, source, and description",2,PLTW Launch - Automation and Robotics,,"pltw_programs.csv, pltw_progress.csv","Keep one, remove others",Project Lead The Way
"Same name, source, and description",2,PLTW Launch - Modeling and Analysis,,"pltw_programs.csv, pltw_progress.csv","Keep one, remove others",Project Lead The Way
"Same name, source, and description",2,PLTW Launch - Structure and Function,,"pltw_programs.csv, pltw_progress.csv","Keep one, remove others",Project Lead The Way
