duplicate_type,duplicate_key,name,url,source,file_source,description,index
"Same URL, different names",URL:https://pathwaystoscience.org/programs.aspx,Clark Scholars Program at Texas Tech,https://pathwaystoscience.org/programs.aspx,Pathways to Science,pathways_to_science.csv,Seven-week intensive research program where high school students work one-on-one with faculty mentor,1021
"Same URL, different names",URL:https://pathwaystoscience.org/programs.aspx,Fermilab TARGET - Teachers and Researchers Generating Excitement for Technology,https://pathwaystoscience.org/programs.aspx,Pathways to Science,pathways_to_science.csv,Two-week summer program introducing high school students to particle physics through hands-on activi,1029
"Same URL, different names",URL:https://pioneeracademics.com/subjects/,Pioneer Academics - Artificial Intelligence and Machine Learning,https://pioneeracademics.com/subjects/,Pioneer Academics,pioneer_academics.csv,"Research track exploring artificial intelligence, machine learning algorithms, and neural networks. ",2081
"Same URL, different names",URL:https://pioneeracademics.com/subjects/,Pioneer Academics - Biotechnology and Genetic Engineering,https://pioneeracademics.com/subjects/,Pioneer Academics,pioneer_academics.csv,"Research in cutting-edge biotechnology including CRISPR, gene therapy, and synthetic biology. Mentor",2082
"Same URL, different names",URL:https://pioneeracademics.com/subjects/,Pioneer Academics - Neuroscience and Cognitive Science,https://pioneeracademics.com/subjects/,Pioneer Academics,pioneer_academics.csv,"Research exploring brain function, cognition, and behavior. Work with neuroscience professor on topi",2083
"Same URL, different names",URL:https://pioneeracademics.com/subjects/,Pioneer Academics - Astrophysics and Cosmology,https://pioneeracademics.com/subjects/,Pioneer Academics,pioneer_academics.csv,"Research in astrophysics, cosmology, and space science. Work with astronomy professor on topics like",2084
"Same URL, different names",URL:https://pioneeracademics.com/subjects/,Pioneer Academics - Environmental Science and Climate Change,https://pioneeracademics.com/subjects/,Pioneer Academics,pioneer_academics.csv,Research addressing environmental challenges and climate science. Work with environmental science pr,2085
"Same URL, different names",URL:https://pioneeracademics.com/subjects/,Pioneer Academics - Computer Science and Algorithms,https://pioneeracademics.com/subjects/,Pioneer Academics,pioneer_academics.csv,"Research in theoretical or applied computer science. Work with CS professor on algorithms, complexit",2086
"Same URL, different names",URL:https://pioneeracademics.com/subjects/,Pioneer Academics - Mathematics and Number Theory,https://pioneeracademics.com/subjects/,Pioneer Academics,pioneer_academics.csv,Research in pure or applied mathematics. Work with mathematics professor on topics like number theor,2087
"Same URL, different names",URL:https://pioneeracademics.com/subjects/,Pioneer Academics - Biochemistry and Molecular Biology,https://pioneeracademics.com/subjects/,Pioneer Academics,pioneer_academics.csv,"Research in biochemistry exploring protein structure, enzyme function, or metabolic pathways. Work w",2088
"Same URL, different names",URL:https://pioneeracademics.com/subjects/,Pioneer Academics - Physics and Quantum Mechanics,https://pioneeracademics.com/subjects/,Pioneer Academics,pioneer_academics.csv,Research in theoretical or experimental physics. Work with physics professor on topics like quantum ,2089
"Same URL, different names",URL:https://pioneeracademics.com/subjects/,Pioneer Academics - Chemistry and Materials Science,https://pioneeracademics.com/subjects/,Pioneer Academics,pioneer_academics.csv,"Research in organic, inorganic, physical chemistry, or materials science. Work with chemistry profes",2090
"Same URL, different names",URL:https://pioneeracademics.com/subjects/,Pioneer Academics - Engineering and Robotics,https://pioneeracademics.com/subjects/,Pioneer Academics,pioneer_academics.csv,"Research in mechanical, electrical, or computer engineering. Work with engineering professor on topi",2091
"Same URL, different names",URL:https://pioneeracademics.com/subjects/,Pioneer Academics - Data Science and Statistics,https://pioneeracademics.com/subjects/,Pioneer Academics,pioneer_academics.csv,"Research in data science, statistical analysis, or machine learning applications. Work with data sci",2092
"Same URL, different names",URL:https://pioneeracademics.com/subjects/,Pioneer Academics - Biomedical Science and Medicine,https://pioneeracademics.com/subjects/,Pioneer Academics,pioneer_academics.csv,"Research in biomedical sciences exploring disease mechanisms, treatments, or medical technology. Wor",2093
"Same URL, different names",URL:https://pioneeracademics.com/subjects/,Pioneer Academics - Economics and Game Theory,https://pioneeracademics.com/subjects/,Pioneer Academics,pioneer_academics.csv,"Research in economics, game theory, or behavioral economics. Work with economics professor on topics",2094
"Same URL, different names",URL:https://pioneeracademics.com/subjects/,Pioneer Academics - Public Health and Epidemiology,https://pioneeracademics.com/subjects/,Pioneer Academics,pioneer_academics.csv,"Research in public health addressing disease prevention, health policy, or epidemiology. Work with p",2096
"Same URL, different names",URL:https://pioneeracademics.com/subjects/,Pioneer Academics - Applied Mathematics and Optimization,https://pioneeracademics.com/subjects/,Pioneer Academics,pioneer_academics.csv,"Research in applied mathematics focusing on optimization, operations research, or mathematical model",2097
"Same URL, different names",URL:https://spcs.stanford.edu/programs,Stanford Pre-Collegiate Summer Institutes,https://spcs.stanford.edu/programs,Stanford Pre-Collegiate Programs,stanford_precollege_programs.csv,"Three-week intensive summer courses for grades 8-11 in various subjects including computer science, ",510
"Same URL, different names",URL:https://spcs.stanford.edu/programs,Stanford University Mathematics Camp (SUMaC),https://spcs.stanford.edu/programs,Stanford Pre-Collegiate Programs,stanford_precollege_programs.csv,Intensive four-week residential program for grades 10-11 in advanced mathematics. Focus on abstract ,512
"Same URL, different names",URL:https://spcs.stanford.edu/programs,Stanford University-Level Online Math & Physics,https://spcs.stanford.edu/programs,Stanford Pre-Collegiate Programs,stanford_precollege_programs.csv,Advanced online courses offering Stanford University credit in mathematics and physics. College-leve,519
"Same URL, different names",URL:https://summerinstitutes.spcs.stanford.edu/,Stanford Pre-Collegiate Computer Science,https://summerinstitutes.spcs.stanford.edu/,Stanford Pre-Collegiate Programs,stanford_precollege_programs.csv,"Three-week intensive computer science program covering programming, algorithms, data structures, and",513
"Same URL, different names",URL:https://summerinstitutes.spcs.stanford.edu/,Stanford Pre-Collegiate Engineering,https://summerinstitutes.spcs.stanford.edu/,Stanford Pre-Collegiate Programs,stanford_precollege_programs.csv,Engineering design and problem-solving program introducing students to various engineering disciplin,514
"Same URL, different names",URL:https://summerinstitutes.spcs.stanford.edu/,Stanford Pre-Collegiate Artificial Intelligence,https://summerinstitutes.spcs.stanford.edu/,Stanford Pre-Collegiate Programs,stanford_precollege_programs.csv,"Advanced AI and machine learning program covering neural networks, computer vision, natural language",515
"Same URL, different names",URL:https://summerinstitutes.spcs.stanford.edu/,Stanford Pre-Collegiate Biomedical Sciences,https://summerinstitutes.spcs.stanford.edu/,Stanford Pre-Collegiate Programs,stanford_precollege_programs.csv,"Exploration of biomedical research, biotechnology, and medical sciences. Laboratory techniques, rese",516
"Same URL, different names",URL:https://summerinstitutes.spcs.stanford.edu/,Stanford Pre-Collegiate Physics,https://summerinstitutes.spcs.stanford.edu/,Stanford Pre-Collegiate Programs,stanford_precollege_programs.csv,"Advanced physics topics beyond high school curriculum including modern physics, quantum mechanics, a",517
"Same URL, different names",URL:https://summerinstitutes.spcs.stanford.edu/,Stanford Pre-Collegiate Data Science,https://summerinstitutes.spcs.stanford.edu/,Stanford Pre-Collegiate Programs,stanford_precollege_programs.csv,"Introduction to data science covering statistics, data analysis, visualization, and machine learning",518
"Same URL, different names",URL:https://summerinstitutes.spcs.stanford.edu/,Stanford Pre-Collegiate Game Design,https://summerinstitutes.spcs.stanford.edu/,Stanford Pre-Collegiate Programs,stanford_precollege_programs.csv,"Game design and development program combining programming, art, storytelling, and game mechanics. Cr",520
"Same URL, different names",URL:https://summerinstitutes.spcs.stanford.edu/,Stanford Pre-Collegiate Robotics,https://summerinstitutes.spcs.stanford.edu/,Stanford Pre-Collegiate Programs,stanford_precollege_programs.csv,"Hands-on robotics program covering robot design, programming, sensors, and autonomous systems. Build",521
"Same URL, different names",URL:https://summerinstitutes.spcs.stanford.edu/,Stanford Pre-Collegiate Environmental Science,https://summerinstitutes.spcs.stanford.edu/,Stanford Pre-Collegiate Programs,stanford_precollege_programs.csv,"Study environmental challenges, sustainability, and climate science. Field work, laboratory research",522
"Same URL, different names",URL:https://summerinstitutes.spcs.stanford.edu/,Stanford Pre-Collegiate Medical Sciences,https://summerinstitutes.spcs.stanford.edu/,Stanford Pre-Collegiate Programs,stanford_precollege_programs.csv,"Introduction to medical careers and healthcare through lectures, simulations, and clinical observati",524
"Same URL, different names",URL:https://summerinstitutes.spcs.stanford.edu/,Stanford Pre-Collegiate Chemistry,https://summerinstitutes.spcs.stanford.edu/,Stanford Pre-Collegiate Programs,stanford_precollege_programs.csv,"Advanced chemistry covering topics beyond AP level including organic chemistry, chemical synthesis, ",525
"Same URL, different names",URL:https://summerinstitutes.spcs.stanford.edu/,Stanford Pre-Collegiate Business & Entrepreneurship,https://summerinstitutes.spcs.stanford.edu/,Stanford Pre-Collegiate Programs,stanford_precollege_programs.csv,"Introduction to business principles, entrepreneurship, and innovation. Develop business plans, learn",526
"Same URL, different names",URL:https://summerscience.org/programs/,Summer Science Program (SSP) - Astrophysics at New Mexico Tech,https://summerscience.org/programs/,Summer Science Program,ssp_summer_program.csv,39-day residential research program for rising 10th and 11th graders at New Mexico Institute of Mini,2286
"Same URL, different names",URL:https://summerscience.org/programs/,Summer Science Program (SSP) - Biochemistry at Indiana University,https://summerscience.org/programs/,Summer Science Program,ssp_summer_program.csv,39-day residential research program for rising 10th and 11th graders at Indiana University Bloomingt,2290
"Same URL, different names",URL:https://www.byjusfutureschool.com/,BYJU'S Future School - Coding for Beginners (Ages 6-8),https://www.byjusfutureschool.com/,BYJU'S Future School,byjus_future_school.csv,Introduction to coding through visual programming and storytelling. One-on-one live classes teaching,1481
"Same URL, different names",URL:https://www.byjusfutureschool.com/,BYJU'S Future School - Calculus and Advanced Topics (Ages 14-18),https://www.byjusfutureschool.com/,BYJU'S Future School,byjus_future_school.csv,"High school calculus, statistics, and college-prep mathematics. AP exam preparation, advanced proble",1490
"Same URL, different names",URL:https://www.byjusfutureschool.com/,BYJU'S Future School - Free Trial Classes,https://www.byjusfutureschool.com/,BYJU'S Future School,byjus_future_school.csv,Free trial classes to experience one-on-one learning approach. Sample coding or math class with cert,1494
"Same URL, different names",URL:https://www.cmu.edu/pre-college/,AI Scholars,https://www.cmu.edu/pre-college/,Carnegie Mellon Pre-College,cmu_precollege_programs.csv,Intensive summer program exploring artificial intelligence and machine learning. Students work on AI,107
"Same URL, different names",URL:https://www.cmu.edu/pre-college/,CS Scholars,https://www.cmu.edu/pre-college/,Carnegie Mellon Pre-College,cmu_precollege_programs.csv,"Comprehensive computer science program for high school students. Learn programming, algorithms, data",108
"Same URL, different names",URL:https://www.cmu.edu/pre-college/,National High School Game Academy,https://www.cmu.edu/pre-college/,Carnegie Mellon Pre-College,cmu_precollege_programs.csv,"Game design and development program combining art, programming, and storytelling. Students create or",109
"Same URL, different names",URL:https://www.cmu.edu/pre-college/,Summer Academy for Math and Science,https://www.cmu.edu/pre-college/,Carnegie Mellon Pre-College,cmu_precollege_programs.csv,Rigorous STEM program covering advanced mathematics and science topics. Students engage in problem-s,111
"Same URL, different names",URL:https://www.cmu.edu/pre-college/,Architecture Program,https://www.cmu.edu/pre-college/,Carnegie Mellon Pre-College,cmu_precollege_programs.csv,Intensive architecture and design program introducing students to architectural thinking and practic,112
"Same URL, different names",URL:https://www.cmu.edu/pre-college/,Design Program,https://www.cmu.edu/pre-college/,Carnegie Mellon Pre-College,cmu_precollege_programs.csv,"Explore communication design, product design, and environmental design. Learn design thinking method",113
"Same URL, different names",URL:https://www.cmu.edu/pre-college/,Summer Session,https://www.cmu.edu/pre-college/,Carnegie Mellon Pre-College,cmu_precollege_programs.csv,Take actual Carnegie Mellon undergraduate courses for college credit. Choose from variety of STEM an,120
"Same URL, different names",URL:https://www.kodewithklossy.com/programs,Kode With Klossy Virtual Web Development Camp,https://www.kodewithklossy.com/programs,Kode With Klossy,kode_with_klossy_programs.csv,"Free 2-week virtual coding camp for girls ages 13-18 teaching HTML, CSS, and JavaScript. Build websi",329
"Same URL, different names",URL:https://www.kodewithklossy.com/programs,Kode With Klossy Capstone Project,https://www.kodewithklossy.com/programs,Kode With Klossy,kode_with_klossy_programs.csv,Final project component of camp where students design and build complete web or mobile applications.,343
"Same URL, different names",URL:https://www.microsoft.com/en-us/teals,TEALS Introduction to Computer Science,https://www.microsoft.com/en-us/teals,Microsoft TEALS,microsoft_teals_programs.csv,Year-long introductory computer science course bringing industry volunteers into high school classro,398
"Same URL, different names",URL:https://www.microsoft.com/en-us/teals,TEALS AP Computer Science A,https://www.microsoft.com/en-us/teals,Microsoft TEALS,microsoft_teals_programs.csv,College Board-aligned AP Computer Science A course with Java programming. Industry volunteers suppor,399
"Same URL, different names",URL:https://www.microsoft.com/en-us/teals,TEALS AP Computer Science Principles,https://www.microsoft.com/en-us/teals,Microsoft TEALS,microsoft_teals_programs.csv,"AP Computer Science Principles course exploring computing foundations, internet, data, algorithms, a",400
"Same URL, different names",URL:https://www.microsoft.com/en-us/teals,TEALS Cybersecurity,https://www.microsoft.com/en-us/teals,Microsoft TEALS,microsoft_teals_programs.csv,"Introduction to cybersecurity fundamentals including network security, cryptography, and ethical hac",403
"Same URL, different names",URL:https://www.ncssm.edu/online/courses,NCSSM Online - Advanced Mathematics,https://www.ncssm.edu/online/courses,NCSSM Online,ncssm_online_progress.csv,"College-level mathematics courses including multivariable calculus, linear algebra, differential equ",930
"Same URL, different names",URL:https://www.ncssm.edu/online/courses,NCSSM Online - Advanced Sciences,https://www.ncssm.edu/online/courses,NCSSM Online,ncssm_online_progress.csv,"Advanced science courses beyond AP level including astrophysics, organic chemistry, molecular biolog",932
"Same URL, different names",URL:https://www.nsbe.org/nsbejr,NSBE Jr. - College Tours Program,https://www.nsbe.org/nsbejr,NSBE Jr.,nsbe_jr.csv,Organized visits to Historically Black Colleges and Universities (HBCUs) and other top engineering s,2018
"Same URL, different names",URL:https://www.nsbe.org/nsbejr,NSBE Jr. - Mentorship Circles,https://www.nsbe.org/nsbejr,NSBE Jr.,nsbe_jr.csv,Structured mentorship pairing NSBE Jr. members with college students and professional engineers. Mon,2019
"Same URL, different names",URL:https://www.nsbe.org/nsbejr,NSBE Jr. - Scholarship and Financial Aid Workshops,https://www.nsbe.org/nsbejr,NSBE Jr.,nsbe_jr.csv,"Workshops helping students and families navigate college funding. Information on NSBE scholarships, ",2025
"Same URL, different names",URL:https://www.polygence.org/,Polygence - Scholarship and Financial Aid,https://www.polygence.org/,Polygence,polygence_research.csv,Need-based scholarships available for talented students from underrepresented backgrounds. Partial a,2113
"Same URL, different names",URL:https://www.polygence.org/,Polygence Research Academy - Virtual Mentorship,https://www.polygence.org/,Polygence,science_research_mentorship.csv,One-on-one virtual research mentorship connecting high school students with PhD mentors. Students de,2248
"Same URL, different names",URL:https://www.polygence.org/programs,Polygence - Core Research Program,https://www.polygence.org/programs,Polygence,polygence_research.csv,One-on-one research mentorship program pairing high school students ages 13-18 with PhD and Masters-,2101
"Same URL, different names",URL:https://www.polygence.org/programs,Polygence - Biotechnology and Life Sciences,https://www.polygence.org/programs,Polygence,polygence_research.csv,"Research mentorship in biology, biotechnology, and life sciences. Explore topics like genetics, mole",2106
"Same URL, different names",URL:https://www.polygence.org/programs,Polygence - Engineering and Design,https://www.polygence.org/programs,Polygence,polygence_research.csv,"One-on-one mentorship in engineering disciplines and design thinking. Explore mechanical, electrical",2107
"Same URL, different names",URL:https://www.polygence.org/programs,Polygence - Chemistry and Materials Science,https://www.polygence.org/programs,Polygence,polygence_research.csv,"One-on-one research in chemistry and materials science. Explore organic chemistry, physical chemistr",2110
"Same URL, different names",URL:https://www.polygence.org/programs,Polygence - Psychology and Cognitive Science,https://www.polygence.org/programs,Polygence,polygence_research.csv,"Research mentorship in psychology, neuroscience, and cognitive science. Explore behavioral psycholog",2112
"Same URL, different names",URL:https://www.riseprograms.org/programs,MIT RISE - Research in Science and Engineering,https://www.riseprograms.org/programs,RISE Programs,rise_research.csv,7-week summer research program at MIT for underrepresented high school students. Conduct research in,2146
"Same URL, different names",URL:https://www.riseprograms.org/programs,Stanford RISE Summer Research Program,https://www.riseprograms.org/programs,RISE Programs,rise_research.csv,8-week residential research program at Stanford University for high school juniors and seniors. Stud,2147
"Same URL, different names",URL:https://www.riseprograms.org/programs,UC Berkeley RISE Research Internship,https://www.riseprograms.org/programs,RISE Programs,rise_research.csv,6-week summer research program at UC Berkeley for California high school students. Conduct research ,2150
"Same URL, different names",URL:https://www.riseprograms.org/programs,Carnegie Mellon RISE Computer Science Research,https://www.riseprograms.org/programs,RISE Programs,rise_research.csv,7-week summer research program focusing on computer science and robotics at Carnegie Mellon Universi,2151
"Same URL, different names",URL:https://www.riseprograms.org/programs,Columbia RISE Biomedical Research,https://www.riseprograms.org/programs,RISE Programs,rise_research.csv,8-week summer biomedical research program at Columbia University Medical Center for NYC-area high sc,2152
"Same URL, different names",URL:https://www.riseprograms.org/programs,University of Washington RISE Engineering Research,https://www.riseprograms.org/programs,RISE Programs,rise_research.csv,6-week engineering research program for Pacific Northwest high school students. Conduct research in ,2153
"Same URL, different names",URL:https://www.riseprograms.org/programs,University of Michigan RISE Research Fellows,https://www.riseprograms.org/programs,RISE Programs,rise_research.csv,7-week summer research fellowship at University of Michigan for Midwest high school students. Resear,2155
"Same URL, different names",URL:https://www.riseprograms.org/programs,Georgia Tech RISE Engineering and Computing,https://www.riseprograms.org/programs,RISE Programs,rise_research.csv,6-week summer research program at Georgia Institute of Technology for high school students intereste,2156
"Same URL, different names",URL:https://www.riseprograms.org/programs,Northwestern RISE Materials Science Research,https://www.riseprograms.org/programs,RISE Programs,rise_research.csv,7-week summer research program at Northwestern University focusing on materials science and nanotech,2158
"Same URL, different names",URL:https://www.riseprograms.org/programs,Duke RISE Environmental Science Research,https://www.riseprograms.org/programs,RISE Programs,rise_research.csv,6-week environmental science research program at Duke University for rising high school seniors. Con,2159
"Same URL, different names",URL:https://www.riseprograms.org/programs,University of Illinois RISE Physics and Astronomy,https://www.riseprograms.org/programs,RISE Programs,rise_research.csv,8-week summer research program in physics and astronomy at University of Illinois Urbana-Champaign. ,2160
"Same URL, different names",URL:https://www.riseprograms.org/programs,Johns Hopkins RISE Neuroscience Research,https://www.riseprograms.org/programs,RISE Programs,rise_research.csv,7-week neuroscience research program at Johns Hopkins University for high school students passionate,2161
"Same URL, different names",URL:https://www.riseprograms.org/programs,University of Pennsylvania RISE Bioengineering,https://www.riseprograms.org/programs,RISE Programs,rise_research.csv,6-week bioengineering research program at UPenn for high school students interested in medical devic,2162
"Same URL, different names",URL:https://www.riseprograms.org/programs,Rice University RISE Research Experience,https://www.riseprograms.org/programs,RISE Programs,rise_research.csv,7-week summer research program at Rice University for Texas and Louisiana high school students. Rese,2163
"Same URL, different names",URL:https://www.roboticseducation.org/,CMU Robotics Academy - VEX V5 Curriculum,https://www.roboticseducation.org/,Carnegie Mellon Robotics Academy,cmu_robotics_academy.csv,"High school VEX V5 robotics curriculum with advanced C++ programming. Design, build, and program com",1592
"Same URL, different names",URL:https://www.roboticseducation.org/,CMU Robotics Academy - Robotics Engineering 2,https://www.roboticseducation.org/,Carnegie Mellon Robotics Academy,cmu_robotics_academy.csv,"Advanced robotics engineering with kinematics, dynamics, path planning, and computer vision. Design ",1595
"Same URL, different names",URL:https://www.societyforscience.org/broadcom-masters/,Broadcom MASTERS Competition,https://www.societyforscience.org/broadcom-masters/,Broadcom MASTERS,broadcom_masters.csv,Premier national STEM competition for middle school students grades 6-8. Top 30 finalists compete in,668
"Same URL, different names",URL:https://www.societyforscience.org/broadcom-masters/,Broadcom MASTERS - Finals Competition,https://www.societyforscience.org/broadcom-masters/,Broadcom MASTERS,broadcom_masters.csv,Top 30 finalists travel to Washington DC for week-long STEM competition. Team and individual challen,670
"Same URL, different names",URL:https://www.societyforscience.org/broadcom-masters/,Broadcom MASTERS - Samueli Foundation Prize,https://www.societyforscience.org/broadcom-masters/,Broadcom MASTERS,broadcom_masters.csv,Special award for engineering projects in MASTERS competition. Recognizes outstanding middle school ,671
"Same URL, different names",URL:https://www.societyforscience.org/broadcom-masters/,"Broadcom MASTERS (Math, Applied Science, Technology and Engineering for Rising Stars)",https://www.societyforscience.org/broadcom-masters/,Society for Science,intel_science_fair_programs.csv,National middle school science and engineering competition recognizing excellence in project-based l,1858
"Same URL, different names",URL:https://www.societyforscience.org/broadcom-masters/how-to-enter/,Broadcom MASTERS - Science Fair Qualification,https://www.societyforscience.org/broadcom-masters/how-to-enter/,Broadcom MASTERS,broadcom_masters.csv,Students must first compete in affiliated science fair to be nominated for MASTERS. Complete indepen,669
"Same URL, different names",URL:https://www.societyforscience.org/broadcom-masters/how-to-enter/,Broadcom MASTERS - Application Process,https://www.societyforscience.org/broadcom-masters/how-to-enter/,Broadcom MASTERS,broadcom_masters.csv,"Online application for nominated students. Submit essays, video, and science fair project documentat",673
"Same URL, different names",URL:https://www.stonybrook.edu/commcms/garcia/,Garcia Research Scholars Program - Summer Research,https://www.stonybrook.edu/commcms/garcia/,Garcia Research Scholars,garcia_scholars.csv,Intensive 7-week summer research program at Stony Brook University for high school students. Work on,1815
"Same URL, different names",URL:https://www.stonybrook.edu/commcms/garcia/,Garcia Research Scholars - Academic Year Extension,https://www.stonybrook.edu/commcms/garcia/,Garcia Research Scholars,garcia_scholars.csv,Continuation of summer research during academic year for Garcia Scholars. Students continue working ,1816
"Same URL, different names",URL:https://www.stonybrook.edu/commcms/garcia/,Garcia Research Scholars - Biology and Life Sciences Track,https://www.stonybrook.edu/commcms/garcia/,Garcia Research Scholars,garcia_scholars.csv,"Research opportunities in molecular biology, genetics, neuroscience, ecology, or biomedical sciences",1817
"Same URL, different names",URL:https://www.stonybrook.edu/commcms/garcia/,Garcia Research Scholars - Research Symposium and Competitions,https://www.stonybrook.edu/commcms/garcia/,Garcia Research Scholars,garcia_scholars.csv,"End-of-summer research symposium where Garcia Scholars present findings to faculty, peers, and famil",1822
"Same URL, different names",URL:https://www.stonybrook.edu/commcms/garcia/,Garcia Research Scholars - College Application Support,https://www.stonybrook.edu/commcms/garcia/,Garcia Research Scholars,garcia_scholars.csv,Guidance leveraging Garcia research experience for college applications. Help framing research in pe,1823
"Same URL, different names",URL:https://www.tynker.com/summer-camps/,Tynker Summer Coding Camp - Python,https://www.tynker.com/summer-camps/,Tynker,tynker.csv,"Intensive week-long Python programming camp for beginners and intermediate students. Build projects,",1283
"Same URL, different names",URL:https://www.tynker.com/summer-camps/,Tynker Summer Coding Camp - Mobile Apps,https://www.tynker.com/summer-camps/,Tynker,tynker.csv,"Design and develop mobile applications in this week-long intensive camp. Learn UI design, app logic,",1285
"Same URL, different names",URL:https://www.usabo-trc.org/,Biology Olympiad Training Camp,https://www.usabo-trc.org/,USA Biology Olympiad,usabo_programs.csv,Intensive two-week residential training for USABO National Finals participants. Advanced biology lec,592
"Same URL, different names",URL:https://www.usabo-trc.org/,USABO School Registration,https://www.usabo-trc.org/,USA Biology Olympiad,usabo_programs.csv,High schools register to participate in USABO competition. Registration includes access to all exam ,593
"Same URL, different names",URL:https://www.usabo-trc.org/,USABO Study Groups and Preparation Courses,https://www.usabo-trc.org/,USA Biology Olympiad,usabo_programs.csv,Student-organized and teacher-led study groups for USABO preparation. Regular meetings to review bio,594
