file_source,name,description,target_grade,reason_flagged,confidence_level,,Decisions
ashrae_student_programs.csv,ASHRAE Mentor Match Program,Mentorship program connecting students with ASHRAE professionals. One-on-one guidance from experienced engineers. Career advice and industry insights. Support for academic and professional development,College,Found: \bprofessional development,MEDIUM,,Remove
botball_programs.csv,Botball Educator Workshops,"Professional development for teachers and coaches starting Botball programs. Hands-on training with Botball kit and curriculum. Learn robot construction, programming, and game strategy. Receive curric",12-Jun,Found: \beducator; Found: \bteacher; Found: \bprofessional development,LOW,,Remove
botball_programs.csv,Botball Alumni Network,Community of Botball alumni pursuing engineering and technology careers. Mentorship for current teams from college students and professionals. Many alumni at top engineering schools and tech companies,12-Oct,Found: \bcollege student,MEDIUM,,Remove
cmu_precollege_programs.csv,AI Scholars,"Intensive summer program exploring artificial intelligence and machine learning. Students work on AI projects, learn from CMU faculty, and gain hands-on experience with cutting-edge AI technologies. C",12-Oct,Found: \bfaculty,HIGH,,Keep
cmu_precollege_programs.csv,CS Scholars,"Comprehensive computer science program for high school students. Learn programming, algorithms, data structures, and software development from CMU faculty. Work on real-world projects and collaborate ",12-Oct,Found: \bfaculty,HIGH,,Keep
cmu_precollege_programs.csv,National High School Game Academy,"Game design and development program combining art, programming, and storytelling. Students create original video games working in teams. Learn game engines, 3D modeling, animation, and game design pri",12-Oct,Found: \bfaculty,HIGH,,Keep
cmu_precollege_programs.csv,Summer Academy for Math and Science,"Rigorous STEM program covering advanced mathematics and science topics. Students engage in problem-solving, research projects, and mathematical exploration. Learn from CMU faculty and graduate student",12-Oct,Found: \bgraduate student; Found: \bfaculty,HIGH,,Keep
cmu_precollege_programs.csv,Architecture Program,"Intensive architecture and design program introducing students to architectural thinking and practice. Learn design principles, technical drawing, 3D modeling, and sustainable design. Work on design p",12-Oct,Found: \bfaculty,HIGH,,Keep
cmu_precollege_programs.csv,Design Program,"Explore communication design, product design, and environmental design. Learn design thinking methodology, prototyping, user research, and visual communication. Work on real design challenges and buil",12-Oct,Found: \bfaculty,HIGH,,Keep
cmu_precollege_programs.csv,Drama Program,"Intensive theater arts program with CMU School of Drama. Explore acting, directing, playwriting, and technical theater. Work on productions and develop performance skills. Learn from professional thea",12-Oct,Found: \bfaculty,HIGH,,
cmu_precollege_programs.csv,Writing & Culture Program,"Creative writing and cultural studies program. Explore fiction, poetry, creative nonfiction, and cultural criticism. Participate in writing workshops, readings, and literary discussions. Learn from CM",12-Oct,Found: \bfaculty,HIGH,,
cmu_precollege_programs.csv,Summer Session,Take actual Carnegie Mellon undergraduate courses for college credit. Choose from variety of STEM and humanities courses. Experience university-level academics and campus life. Earn transferable colle,12-Oct,Found: \bcollege student; Found: \bundergraduate,MEDIUM,,Keep
coding_school_programs.csv,Coding School Summer Programs,"Intensive summer programs in quantum computing, AI, and emerging technologies. Multi-week courses with daily live sessions. Project-based learning with expert instructors. Build portfolio-worthy proje",12-Sep,Found: \binstructor,LOW,,Keep
coding_school_programs.csv,The Coding School School Partnerships,"Schools partner with The Coding School to bring quantum computing and AI education to their students. Curriculum, training, and support provided. Teachers receive professional development. Students ac",12-Sep,Found: \bteacher; Found: \bprofessional development,LOW,,
congress_app_challenge.csv,Congressional App Challenge Educator Support,Resources for teachers and advisors supporting student participants. Classroom integration guides and lesson plans. How to organize school app challenge programs. Mentorship resources and industry con,12-Sep,Found: \beducator; Found: \bteacher,LOW,,
cyberpatriot_programs.csv,CyberPatriot CyberCamps,"Summer cybersecurity camps for middle and high school students. Hands-on training in network security, digital forensics, and ethical hacking. One-week intensive programs at university campuses nation",12-Jun,Found: \bcollege student,MEDIUM,,Keep
cyberpatriot_programs.csv,CyberPatriot Elementary School Cyber Education Initiative,"Cybersecurity awareness program for elementary students grades 4-5. Age-appropriate curriculum teaching digital citizenship, online safety, and basic cybersecurity concepts. Free classroom resources a",5-Apr,Found: \bteacher,LOW,,
destination_imagination_programs.csv,Destination Imagination Rising Stars Challenge,Non-competitive introductory program for younger students (PreK-2) exploring creativity and problem-solving. Structured activities introduce teamwork concepts without tournament pressure. Focuses on f,PreK-2,Found: \beducator,LOW,,Keep
destination_imagination_programs.csv,Destination Imagination Team Manager Training,"Training for adult team managers (parents, teachers, community members) who guide DI teams. Workshops cover DI philosophy, challenge facilitation, and team mentorship without interference. Teaches how",Adult (benefits K-12 students),Found: \bteacher,LOW,,
ecybermission_programs.csv,eCYBERMISSION Team Advisor Resources,"Comprehensive resources for teachers and team advisors. Lesson plans, project guides, and judging rubrics. Training webinars and advisor community forums. Help with team formation and project developm",9-Jun,Found: \bteacher,LOW,,
edx_highschool_programs.csv,Introduction to Biology: The Secret of Life,"MIT course exploring fundamental principles of biology. Topics include biochemistry, genetics, molecular biology, recombinant DNA, genomics, and medicine. Taught by MIT professors. Excellent preparati",12-Oct,Found: \bprofessor,HIGH,,Keep
envirothon_programs.csv,Envirothon Advisor Training,Professional development for teachers and team advisors. Workshops on environmental science topics and competition format. Field training sessions led by natural resource professionals. Curriculum int,12-Sep,Found: \bteacher; Found: \bprofessional development,LOW,,
exploravision_programs.csv,ExploraVision Educational Resources and Teacher Guides,"Free educational materials supporting ExploraVision participation. Includes project planning guides, research tips, sample projects, rubrics, and classroom integration resources. Materials help teache",K-12,Found: \beducator; Found: \bteacher,LOW,,
exploravision_programs.csv,ExploraVision Coach Training and Workshops,"Professional development for teachers and coaches guiding ExploraVision teams. Webinars and online resources explain competition format, judging criteria, project components, and coaching strategies. ",Educator (benefits K-12 students),Found: \beducator; Found: \bteacher; Found: \bprofessional development,LOW,,
future_city_competition.csv,Future City Competition - Full Program,"Premier middle school engineering competition where teams design cities of the future. Students work in teams of 3-4 with educator and engineer mentor to imagine, research, design, and build cities us",8-Jun,Found: \beducator,LOW,,Keep
future_city_competition.csv,Future City - Oral Presentation and Q&A,"Public speaking component where teams deliver 7-minute presentation to judges at regional competition. Students explain city design, demonstrate engineering solutions, and answer technical questions f",8-Jun,Found: \beducator,LOW,,Keep
future_city_competition.csv,Future City - Educator Curriculum and Resources,"Comprehensive curriculum materials and resources for teachers facilitating Future City teams. Includes lesson plans, engineering design activities, project management guides, rubrics, and timeline tem",8-Jun,Found: \beducator; Found: \bteacher; Found: \bprofessional development,LOW,,
google_code_jam.csv,Google Code-in (Educational Archive),"Archive of Google's student competition for pre-university students (ages 13-17) focused on open source software development. While no longer active, the educational materials and project ideas remain",12-Sep,Found: \buniversity student,LOW,,
google_cs_edu_programs.csv,CS First,"Free computer science curriculum for grades 4-8 using Scratch block-based coding. Project-based learning with themed units including game design, storytelling, and animation. Includes video tutorials,",8-Apr,Found: \bteacher,LOW,,Keep
google_cs_edu_programs.csv,Applied Digital Skills,"Free curriculum teaching practical digital skills through project-based video lessons. Students create real-world projects using Google tools. Topics include digital citizenship, productivity, data an",12-Jun,Found: \bteacher,LOW,,Keep
google_cs_edu_programs.csv,Explore Machine Learning,"Introduction to machine learning and artificial intelligence for middle and high school students. Hands-on activities exploring ML concepts, ethics, and applications. Uses Teachable Machine and other ",12-Jun,Found: \bteacher,LOW,,Keep
google_cs_edu_programs.csv,Google Educator Training: CS,"Professional development for teachers to integrate computer science into their classrooms. Free online courses covering CS pedagogy, curriculum implementation, and classroom management. Earn badges an",K-12,Found: \beducator; Found: \bteacher; Found: \bprofessional development,LOW,,
google_cs_edu_programs.csv,Google Computational Thinking Course,"Curriculum for grades 3-8 developing computational thinking skills without computers. Hands-on activities teaching decomposition, pattern recognition, abstraction, and algorithms. Can be used as CS fu",8-Mar,Found: \bteacher,LOW,,Keep
google_cs_edu_programs.csv,Google Applied Computing Series,"Advanced computer science curriculum for high school students with prior coding experience. Topics include data structures, algorithms, mobile development, and user experience design. College-level co",12-Oct,Found: \bteacher,MEDIUM,,Keep
google_cs_edu_programs.csv,Google Tech Exchange,"Computer science enrichment program for university students from historically underrepresented groups. While primarily for college students, offers mentorship and career pathway information valuable f",12-Nov,Found: \bcollege student; Found: \buniversity student,MEDIUM,,
google_cs_edu_programs.csv,Google Computer Science Education Resources,"Comprehensive library of free CS teaching materials, lesson plans, and activities for K-12 educators. Curriculum maps aligned to standards. Video tutorials, assessment tools, and differentiation strat",K-12,Found: \beducator,LOW,,
google_summer_code_programs.csv,Google Summer of Code - Standard Track,"Premier open source program connecting student developers with open source organizations. Contributors work on 12-week coding projects with mentorship from experienced developers. Students write code,",12 (must be 18+ or college student),Found: \bcollege student; Found: \b18\+,MEDIUM,,
google_summer_code_programs.csv,Google Summer of Code - Extended Track,"Extended timeline option for Google Summer of Code allowing contributors to work on larger, more complex projects over 22 weeks. Provides additional time for ambitious open source contributions requir",12 (must be 18+ or college student),Found: \bcollege student; Found: \b18\+,MEDIUM,,
google_summer_code_programs.csv,Google Summer of Code - Open Source Mentorship,"High-quality mentorship component where contributors work one-on-one with experienced open source developers. Mentors provide technical guidance, code review, career advice, and professional developme",12 (must be 18+ or college student),Found: \bcollege student; Found: \b18\+; Found: \bprofessional development,MEDIUM,,
google_summer_code_programs.csv,Google Summer of Code - Diverse Project Opportunities,"Wide variety of participating open source organizations across multiple domains. Projects span web development, mobile apps, data science, machine learning, cloud computing, security, accessibility, a",12 (must be 18+ or college student),Found: \bcollege student; Found: \b18\+,MEDIUM,,
google_summer_code_programs.csv,Google Summer of Code - Open Source Community Engagement,"Integration into global open source community through GSoC participation. Contributors join mailing lists, chat channels, forums, and development teams. Attend virtual meetings, participate in code re",12 (must be 18+ or college student),Found: \bcollege student; Found: \b18\+,MEDIUM,,
google_summer_code_programs.csv,Google Summer of Code - Contributor Application Support,"Resources and support for preparing competitive GSoC applications. Organizations publish project ideas lists, contribution guides, and communication channels. Prospective contributors explore projects",12 (must be 18+ or college student),Found: \bcollege student; Found: \b18\+,MEDIUM,,
ibm_skillsbuild_programs.csv,Explore available learning,Use this course catalog to explore all of the free learning you'll be able to access when you join IBM SkillsBuild for Students and Educators. Interested in exploring technology topics? Looking to sha,12-Sep,Found: \beducator,LOW,,
jason_learning_programs.csv,JASON Teacher Training and Professional Development,"Professional development for educators implementing JASON curriculum. While targeting teachers, enhances quality of STEM instruction benefiting students. Training covers inquiry-based learning, digita",Teacher (benefits K-12 students),Found: \beducator; Found: \bteacher; Found: \bprofessional development,LOW,,
kode_with_klossy_programs.csv,Kode With Klossy Virtual Web Development Camp,"Free 2-week virtual coding camp for girls ages 13-18 teaching HTML, CSS, and JavaScript. Build websites and web applications through project-based learning with experienced instructors. Daily live ins",12-Jul,Found: \binstructor,LOW,,Keep
kode_with_klossy_programs.csv,Kode With Klossy Capstone Project,Final project component of camp where students design and build complete web or mobile applications. Work individually or in teams to create original projects addressing real-world problems. Receive m,12-Jul,Found: \binstructor,MEDIUM,,Keep
lockheed_martin_programs.csv,Lockheed Martin STEM Scholarship,"Scholarship program supporting students pursuing postsecondary STEM credentials. Launched in 2019, offers multiple scholarship types for students interested in science, technology, engineering, and ma",College,Found: \bpost-?secondary,MEDIUM,,Keep
lockheed_martin_programs.csv,Lockheed Martin STEM Teacher Professional Development,"Professional development program for educators teaching STEM subjects. Teachers learn about aerospace engineering, defense technology, and industry careers. Includes curriculum materials, hands-on act",Educators,Found: \beducator; Found: \bteacher; Found: \bprofessional development,LOW,,
lockheed_martin_programs.csv,STEM Education,"Advancing science, technology, engineering and mathematics (STEM) education is a critical focus for Lockheed Martin. We know firsthand the importance of educating our young people in these areas. Our ",12-Sep,Found: \beducator,LOW,,
mathworks_m3_programs.csv,M3 Challenge Advisor Network,"Community of math teachers and team advisors supporting M3 Challenge teams. Share strategies, resources, and experiences. Help with team preparation and logistics. Access to exclusive advisor material",12-Sep,Found: \bteacher,LOW,,
microsoft_teals_programs.csv,TEALS Introduction to Computer Science,"Year-long introductory computer science course bringing industry volunteers into high school classrooms. Learn programming fundamentals, problem-solving, and computational thinking. Microsoft-funded p",12-Sep,Found: \bteacher,LOW,,Keep
microsoft_teals_programs.csv,TEALS AP Computer Science A,College Board-aligned AP Computer Science A course with Java programming. Industry volunteers support teachers in delivering rigorous CS curriculum. Prepare students for AP CS A exam. Full year course,12-Oct,Found: \bteacher,MEDIUM,,Keep
microsoft_teals_programs.csv,TEALS AP Computer Science Principles,"AP Computer Science Principles course exploring computing foundations, internet, data, algorithms, and societal impacts. Industry mentors team-teach with classroom teachers. Prepares students for AP C",12-Sep,Found: \bteacher,LOW,,Keep
microsoft_teals_programs.csv,TEALS Cybersecurity,"Introduction to cybersecurity fundamentals including network security, cryptography, and ethical hacking. Industry professionals teach alongside classroom teachers. Hands-on labs and real-world scenar",12-Oct,Found: \bteacher,LOW,,Keep
microsoft_teals_programs.csv,TEALS Teacher Professional Development,Professional development program for teachers building computer science teaching capacity. Industry volunteers co-teach to transfer CS knowledge to teachers. Goal is sustainable CS programs after TEAL,12-Sep,Found: \bteacher; Found: \bprofessional development,LOW,,
microsoft_teals_programs.csv,TEALS Computer Science Equity Initiative,"Initiative focused on bringing computer science education to underserved schools and communities. Prioritizes schools with limited CS access, high percentages of underrepresented students, and rural a",12-Sep,Found: \bteacher,LOW,,
mit_mites_programs.csv,MITES Application Workshops,"Free workshops helping students prepare strong MITES applications. Cover essay writing, recommendation letters, showcasing STEM interests, and understanding eligibility. Offered virtually and in-perso",11-Oct,Found: \bcollege student,MEDIUM,,Keep
ncwit_aspirations_programs.csv,NCWIT Aspirations Educator Award,"Recognition for K-12 educators who encourage young women in computing. Teachers, counselors, and mentors nominated by Aspirations applicants. Awards honor educators who inspire and support female stud",Educator/Adult,Found: \beducator; Found: \bteacher,LOW,,
ncwit_aspirations_programs.csv,NCWIT Aspirations Virtual Awards and Networking Events,"National and regional virtual award ceremonies celebrating winners. Features keynote speakers from tech industry, networking opportunities with computing professionals, workshops on college applicatio",12-Sep,Found: \beducator,MEDIUM,,
nosb_programs.csv,NOSB Coach Training and Support Resources,"Professional development and support for teachers and coaches leading NOSB teams. Includes webinars, coaching guides, question banks, competition strategies, and access to ocean science experts. Resou",12-Sep,Found: \bteacher; Found: \bprofessional development,LOW,,
physics_competitions.csv,High School Physics Photo Contest,Annual photo contest showcasing physics phenomena captured by high school students. Submit original photographs demonstrating physics principles with written explanations. Categories include mechanics,12-Sep,Found: \beducator,LOW,,Keep
physics_competitions.csv,Physics Bowl Preparation Programs,School-based preparation programs for Physics Bowl competition. After-school study sessions and practice exams. Review of physics concepts and problem-solving strategies. Teacher-led instruction and p,12-Sep,Found: \bteacher,LOW,,
picoctf_programs.csv,picoCTF for Classrooms (Educator Resources),"Free platform for teachers to integrate picoCTF into curriculum. Educators can create custom competitions, assign specific challenges, track student progress, and access teaching materials. Includes l",12-Jun,Found: \beducator; Found: \bteacher,LOW,,
picoctf_programs.csv,picoCTF Top Performer Recognition,"Recognition and certificates for top-performing students in annual picoCTF competition. High scorers may receive invitations to Carnegie Mellon cybersecurity events, summer programs, and networking op",12-Jun,Found: \bfaculty,HIGH,,Keep
scratch_programming.csv,Scratch for Educators,"Complete educator resources for teaching with Scratch. Curriculum guides, lesson plans, and classroom activities. Step-by-step tutorials for teachers new to coding. Classroom management tools and stud",K-12,Found: \beducator; Found: \bteacher; Found: \bprofessional development,LOW,,
scratch_programming.csv,Scratch Creative Computing Curriculum,"Complete free curriculum guide from Harvard Graduate School of Education. Seven units covering programming fundamentals through creative projects. Designed for classrooms, after-school programs, or se",9-May,Found: \beducator,LOW,,
scratch_programming.csv,Scratch Teacher Accounts,Free teacher accounts for classroom management. Create and manage student accounts. Monitor student projects and progress. Provide feedback on student work. Organize class studios for collaboration. S,K-12,Found: \bteacher,LOW,,
seaperch_programs.csv,SeaPerch Underwater ROV Building Program,"Hands-on underwater robotics curriculum sponsored by US Navy Office of Naval Research. Students build remotely operated vehicles (ROVs) from PVC pipe, motors, and simple materials. Learn engineering d",12-Jun,Found: \bteacher,LOW,,Keep
seaperch_programs.csv,SeaPerch Teacher Professional Development,Free training workshops for educators teaching SeaPerch. Learn to build ROVs and implement curriculum. Receive teaching materials and support resources. Hands-on training in robotics and marine scienc,12-Jun,Found: \beducator; Found: \bteacher; Found: \bprofessional development,LOW,,
seaperch_programs.csv,SeaPerch Elementary Curriculum,Age-appropriate underwater robotics program for elementary students (grades 3-5). Simplified ROV design with teacher assistance. Focus on basic engineering concepts and teamwork. Introduction to buoya,5-Mar,Found: \bteacher,LOW,,
seaperch_programs.csv,SeaPerch Online Resources and Community,"Comprehensive online resources for SeaPerch teams and teachers. Building instructions, curriculum downloads, and troubleshooting guides. Video tutorials and webinars. Teacher forums and community supp",K-12,Found: \bteacher,LOW,,Keep
simons_foundation_programs.csv,Simons Summer Research Program at Stony Brook University,"Prestigious 7-week residential research program for high school students. Conduct authentic scientific research in mathematics, physics, or life sciences under mentorship of Stony Brook faculty. Stude",12-Nov,Found: \bfaculty,HIGH,,Keep
simons_foundation_programs.csv,Math for America (MfA) Fellowship Program,"Multi-year fellowship program supporting exceptional mathematics and science teachers in public schools. While primarily for teachers, MfA partners with schools that create strong STEM learning enviro",12-Sep,Found: \bteacher; Found: \bprofessional development,LOW,,
simons_foundation_programs.csv,Simons Society of Fellows Junior Fellows Program,"Prestigious postdoctoral fellowship for exceptional early-career researchers in theoretical sciences. While aimed at PhD graduates, creates research ecosystem where advanced undergraduates may partici",College,Found: \bundergraduate; Found: \bphd; Found: \bpostdoc,HIGH,,
simons_foundation_programs.csv,Simons Collaboration Public Lectures and Workshops,"Large-scale research collaborations in mathematics and theoretical physics that host public lectures, workshops, and educational events. High school and college students can attend public seminars, su","11-12, College",Found: \bcollege student,MEDIUM,,
simons_foundation_programs.csv,Simons Foundation Science Education Resources,"Online educational content including articles, videos, and interactive materials about mathematics, physics, life sciences, and computational science. Free access to high-quality science communication","9-12, College",Found: \beducator,MEDIUM,,
simons_foundation_programs.csv,Simons Foundation Mathematics Programs at Partner Institutions,"Foundation funds mathematics departments and research centers that offer undergraduate research opportunities, summer programs, and mentorship. Partner institutions include major research universities",College,Found: \bundergraduate,MEDIUM,,
stanford_precollege_programs.csv,Stanford Pre-Collegiate Summer Institutes,"Three-week intensive summer courses for grades 8-11 in various subjects including computer science, engineering, humanities, and sciences. Single-subject enrichment with Stanford faculty. Residential ",11-Aug,Found: \bcollegiate; Found: \bfaculty,HIGH,,Keep
stanford_precollege_programs.csv,Stanford Summer Humanities Institute,"Three-week residential program for grades 10-11 exploring humanities questions through seminars, workshops, and collaborative projects. Small seminar-style classes with Stanford faculty. Includes writ",11-Oct,Found: \bfaculty,HIGH,,
stanford_precollege_programs.csv,Stanford University Mathematics Camp (SUMaC),"Intensive four-week residential program for grades 10-11 in advanced mathematics. Focus on abstract mathematical thinking, proofs, and problem-solving. Two tracks: Program I (algebra and number theory",11-Oct,Found: \bgraduate student; Found: \bfaculty,HIGH,,Keep
stanford_precollege_programs.csv,Stanford Pre-Collegiate Computer Science,"Three-week intensive computer science program covering programming, algorithms, data structures, and software development. Hands-on coding projects using Python, Java, or other languages. Learn from S",12-Sep,Found: \bgraduate student; Found: \bcollegiate; Found: \bfaculty,HIGH,,Keep
stanford_precollege_programs.csv,Stanford Pre-Collegiate Engineering,"Engineering design and problem-solving program introducing students to various engineering disciplines. Includes mechanical, electrical, biomedical, and computer engineering projects. Team-based desig",12-Sep,Found: \bcollegiate; Found: \bfaculty,HIGH,,Keep
stanford_precollege_programs.csv,Stanford Pre-Collegiate Artificial Intelligence,"Advanced AI and machine learning program covering neural networks, computer vision, natural language processing, and AI ethics. Programming projects using Python and ML frameworks. Learn from Stanford",12-Oct,Found: \bcollegiate,LOW,,Keep
stanford_precollege_programs.csv,Stanford Pre-Collegiate Biomedical Sciences,"Exploration of biomedical research, biotechnology, and medical sciences. Laboratory techniques, research methods, and ethical issues in biomedicine. Visit Stanford medical facilities and research labs",12-Oct,Found: \bcollegiate; Found: \bfaculty,HIGH,,Keep
stanford_precollege_programs.csv,Stanford Pre-Collegiate Physics,"Advanced physics topics beyond high school curriculum including modern physics, quantum mechanics, and relativity. Laboratory experiments, problem-solving, and mathematical modeling. Taught by Stanfor",12-Oct,Found: \bcollegiate; Found: \bfaculty,HIGH,,Keep
stanford_precollege_programs.csv,Stanford Pre-Collegiate Data Science,"Introduction to data science covering statistics, data analysis, visualization, and machine learning applications. Work with real datasets, learn Python and R, and develop data-driven projects. Includ",12-Sep,Found: \bcollegiate,LOW,,Keep
stanford_precollege_programs.csv,Stanford University-Level Online Math & Physics,Advanced online courses offering Stanford University credit in mathematics and physics. College-level curriculum taught by Stanford instructors. Self-paced with regular assignments and exams. Covers t,12-Sep,Found: \binstructor,MEDIUM,,Keep
stanford_precollege_programs.csv,Stanford Pre-Collegiate Game Design,"Game design and development program combining programming, art, storytelling, and game mechanics. Create original video games using industry tools. Learn game engines, 3D modeling, level design, and g",12-Sep,Found: \bcollegiate,LOW,,Keep
stanford_precollege_programs.csv,Stanford Pre-Collegiate Robotics,"Hands-on robotics program covering robot design, programming, sensors, and autonomous systems. Build and program robots for competitions and challenges. Learn mechanical design, electronics, and contr",12-Sep,Found: \bcollegiate,LOW,,Keep
stanford_precollege_programs.csv,Stanford Pre-Collegiate Environmental Science,"Study environmental challenges, sustainability, and climate science. Field work, laboratory research, and data analysis. Explore Stanford sustainability initiatives and environmental research. Topics ",12-Sep,Found: \bcollegiate,LOW,,Keep
stanford_precollege_programs.csv,Stanford Pre-Collegiate Medical Sciences,"Introduction to medical careers and healthcare through lectures, simulations, and clinical observation. Learn anatomy, physiology, and medical ethics. Interact with Stanford medical students and physi",12-Oct,Found: \bcollegiate,LOW,,Keep
stanford_precollege_programs.csv,Stanford Pre-Collegiate Chemistry,"Advanced chemistry covering topics beyond AP level including organic chemistry, chemical synthesis, and spectroscopy. Laboratory-intensive program with research-style experiments. Learn modern chemica",12-Oct,Found: \bcollegiate; Found: \bfaculty,HIGH,,Keep
